,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
0,松山區,自強里,1463044.0,3491896.0,3723146.0,3581703.0,10176.0,10183.0,10202.0,10218.0,10218.0,143.77397798742138,342.9142688795051,364.94275632228977,350.5287727539636
1,松山區,龍田里,1225510.0,2592077.0,2825239.0,2739252.0,11327.0,11284.0,11284.0,11219.0,11219.0,108.19369647744328,229.71260191421482,250.37566465792273,244.16186825920315
2,松山區,復勢里,2858397.0,2828139.0,2997644.0,3031601.0,6638.0,6716.0,6709.0,6615.0,6615.0,430.61117806568245,421.104675402025,446.8093605604412,458.29191232048373
3,松山區,中華里,1602938.0,1557914.0,1730038.0,1739430.0,6891.0,6945.0,6919.0,6894.0,6894.0,232.6132636772602,224.3216702663787,250.04162451221273,252.31070496083552
4,松山區,東勢里,1991162.0,1934795.0,2092437.0,2124598.0,4790.0,4808.0,4787.0,4744.0,4744.0,415.6914405010438,402.41160565723794,437.10820973469816,447.84949409780774
5,松山區,吉祥里,4141504.0,4077472.0,4315008.0,4051379.0,8762.0,8755.0,8774.0,8817.0,8817.0,472.6665144944077,465.7306681896059,491.79484841577386,459.49631393898153
6,松山區,東光里,3244331.0,3203579.0,3477216.0,3302602.0,7457.0,7493.0,7539.0,7532.0,7532.0,435.071878771624,427.54290671293205,461.23040191006766,438.4761019649495
7,松山區,莊敬里,1038663.0,1030084.0,1112195.0,1133303.0,5705.0,5725.0,5664.0,5667.0,5667.0,182.0618755477651,179.9273362445415,196.3621115819209,199.98288335980237
8,松山區,新益里,1352215.0,1282714.0,1358016.0,1396758.0,4877.0,4915.0,4907.0,4866.0,4866.0,277.26368669263894,260.9794506612411,276.75076421438763,287.0443896424168
9,松山區,鵬程里,2260345.0,2141668.0,2303421.0,2246673.0,5883.0,5854.0,5748.0,5769.0,5769.0,384.21638619751826,365.84694226170143,400.73434237995826,389.43889755590226
10,松山區,美仁里,1377660.0,1399440.0,1482633.0,1465275.0,3750.0,3731.0,3803.0,3840.0,3840.0,367.376,375.0844277673546,389.85879568761504,381.58203125
11,松山區,福成里,1237680.0,1141358.0,1199606.0,1210924.0,2985.0,3043.0,3003.0,2983.0,2983.0,414.63316582914575,375.0765691751561,399.46919746919747,405.9416694602749
12,松山區,中崙里,1590970.0,1568288.0,1698625.0,1817979.0,4594.0,4586.0,4549.0,4563.0,4563.0,346.3147583804963,341.9729611862189,373.40624313035835,398.41748849441154
13,松山區,新東里,1630489.0,365353.0,1675812.0,1674693.0,5108.0,5161.0,5139.0,5202.0,5202.0,319.2030148786218,70.79112575082348,326.09690601284296,321.93252595155707
14,松山區,安平里,3708039.0,3468583.0,3989296.0,3937693.0,8427.0,8681.0,8749.0,8755.0,8755.0,440.0188679245283,399.56030411242944,455.9716539033032,449.7650485436893
15,松山區,松基里,2339836.0,,2481985.0,2475707.0,3836.0,3854.0,3862.0,3812.0,3812.0,609.9676746611053,,642.6683065769032,649.450944386149
16,松山區,敦化里,,,,3980.0,7727.0,7696.0,7645.0,7615.0,7615.0,,,,0.5226526592252134
17,松山區,復源里,,3473.0,2440.0,,3600.0,3654.0,3596.0,3561.0,3561.0,,0.9504652435686919,0.67853170189099,
18,松山區,東昌里,,,,,3019.0,2983.0,2951.0,2927.0,2927.0,,,,
19,松山區,民有里,,,8349.0,1585.0,8733.0,8913.0,8950.0,8958.0,8958.0,,,0.9328491620111732,0.17693681625362803
20,松山區,精忠里,7.0,,,,4883.0,4827.0,4676.0,4722.0,4722.0,0.0014335449518738481,,,
21,松山區,富錦里,,,,4900.0,5390.0,5398.0,5424.0,5457.0,5457.0,,,,0.8979292651640095
22,松山區,東榮里,11.0,,9240.0,36108.0,8843.0,8744.0,8671.0,8568.0,8568.0,0.0012439217460137961,,1.065621035636028,4.214285714285714
23,松山區,復建里,1984.0,6845.0,1895.0,4051.0,4840.0,4830.0,4841.0,4896.0,4896.0,0.4099173553719008,1.4171842650103519,0.39144804792398263,0.8274101307189542
24,松山區,吉仁里,4476.0,6884.0,3925.0,3495.0,4468.0,4469.0,4422.0,4384.0,4384.0,1.001790510295434,1.540389348847617,0.8876074174581637,0.7972171532846716
25,松山區,民福里,114488.0,,111160.0,90139.0,6481.0,6540.0,6605.0,6624.0,6624.0,17.66517512729517,,16.829674489023468,13.607940821256038
26,松山區,富泰里,1889339.0,5160.0,1891612.0,1828824.0,4832.0,4861.0,4909.0,4938.0,4938.0,391.0055877483444,1.0615099773709114,385.335506213078,370.3572296476306
27,松山區,復盛里,2851565.0,2700278.0,2870928.0,2728991.0,6935.0,6929.0,6858.0,6857.0,6857.0,411.18457101658254,389.70673978929136,418.62467191601047,397.98614554469884
28,松山區,三民里,1330638.0,,1326319.0,1274770.0,7118.0,7153.0,7132.0,7149.0,7149.0,186.93987075021073,,185.96733034212002,178.31444957336691
29,松山區,介壽里,1637304.0,2037.0,1647241.0,1583467.0,5059.0,5027.0,4925.0,4931.0,4931.0,323.6418264479146,0.4052118559777203,334.46517766497465,321.12492395051714
30,松山區,中正里,1914729.0,2573.0,1964245.0,1976127.0,10787.0,10833.0,10812.0,10877.0,10877.0,177.503383702605,0.23751500046155266,181.67267850536442,181.67941527994853
31,松山區,新聚里,4024222.0,3720130.0,4037468.0,3925156.0,8252.0,8339.0,8313.0,8379.0,8379.0,487.6662627241881,446.11224367430145,485.6812221821244,468.4516052034849
32,松山區,慈祐里,3531101.0,31397.0,3567399.0,3381607.0,7775.0,7975.0,7975.0,8134.0,8134.0,454.1609003215434,3.9369278996865202,447.3227586206897,415.7372756331448
33,信義區,三張里,4266787.0,4191473.0,4430662.0,4324782.0,9339.0,9401.0,9418.0,9408.0,9408.0,456.8783595674055,445.8539517072652,470.4461669144192,459.6919642857143
