,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,用電量_2015,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
0,松山區,精忠里,1002883.0,126.0,987114.0,1022204.0,1008954,4883.0,4827.0,4676.0,4722.0,4722.0,205.38255171001433,0.02610316967060286,211.1022241231822,216.47691656077933
1,松山區,民有里,2935636.0,,2724746.0,2860800.0,2782233,8733.0,8913.0,8950.0,8958.0,8958.0,336.1543570365281,,304.4408938547486,319.35699933020766
2,松山區,中正里,1428593.0,1461211.0,1465259.0,1542955.0,1516509,10787.0,10833.0,10812.0,10877.0,10877.0,132.43654398813388,134.88516569740608,135.52155012948575,141.85483129539395
3,松山區,中華里,713341.0,89.0,697682.0,719738.0,712531,6891.0,6945.0,6919.0,6894.0,6894.0,103.51777681033232,0.012814974802015839,100.83566989449342,104.40063823614737
4,松山區,三民里,896999.0,352.0,852848.0,866270.0,835908,7118.0,7153.0,7132.0,7149.0,7149.0,126.01840404608036,0.04921012162728925,119.58048233314638,121.17359071198769
5,松山區,復建里,1056529.0,1045958.0,929968.0,963873.0,997152,4840.0,4830.0,4841.0,4896.0,4896.0,218.29111570247935,216.5544513457557,192.10245816979963,196.86948529411765
6,松山區,民福里,1616578.0,,1548717.0,1561707.0,1509459,6481.0,6540.0,6605.0,6624.0,6624.0,249.43342076839994,,234.47645722937168,235.7649456521739
7,松山區,東昌里,556020.0,,538260.0,552946.0,535503,3019.0,2983.0,2951.0,2927.0,2927.0,184.17356740642597,,182.39918671636732,188.91219678852067
8,松山區,東榮里,1932465.0,,1821530.0,1864136.0,1794449,8843.0,8744.0,8671.0,8568.0,8568.0,218.53047608277734,,210.07150271018338,217.56956115779644
9,松山區,莊敬里,490024.0,40.0,474773.0,486460.0,472451,5705.0,5725.0,5664.0,5667.0,5667.0,85.89377738825591,0.0069868995633187774,83.82291666666667,85.84083289218282
10,松山區,復盛里,586.0,12136.0,12877.0,6662.0,8691,6935.0,6929.0,6858.0,6857.0,6857.0,0.08449891852919972,1.7514792899408285,1.8776611256926217,0.9715619075397404
11,松山區,慈祐里,16881.0,60320.0,55116.0,63968.0,55247,7775.0,7975.0,7975.0,8134.0,8134.0,2.1711897106109324,7.5636363636363635,6.911097178683385,7.864273420211458
12,松山區,吉祥里,413.0,5.0,19318.0,30796.0,35246,8762.0,8755.0,8774.0,8817.0,8817.0,0.047135357224378,0.0005711022272986865,2.201732391155687,3.492798003856187
13,松山區,復勢里,764.0,740.0,785.0,800.0,886,6638.0,6716.0,6709.0,6615.0,6615.0,0.11509490810485086,0.11018463371054199,0.11700700551497988,0.12093726379440665
14,松山區,福成里,,,,1409.0,937,2985.0,3043.0,3003.0,2983.0,2983.0,,,,0.47234327857861214
15,松山區,新聚里,,,,2957.0,53150,8252.0,8339.0,8313.0,8379.0,8379.0,,,,0.352906074710586
16,松山區,美仁里,,,,,--,3750.0,3731.0,3803.0,3840.0,3840.0,,,,
17,松山區,安平里,,36.0,,5680.0,14890,8427.0,8681.0,8749.0,8755.0,8755.0,,0.004146987674231079,,0.6487721302113079
18,松山區,鵬程里,,,,,--,5883.0,5854.0,5748.0,5769.0,5769.0,,,,
19,松山區,自強里,,,,,--,10176.0,10183.0,10202.0,10218.0,10218.0,,,,
20,松山區,東勢里,,57.0,7720.0,7400.0,--,4790.0,4808.0,4787.0,4744.0,4744.0,,0.011855241264559068,1.6127010653854188,1.5598650927487352
21,松山區,東光里,,13.0,,,--,7457.0,7493.0,7539.0,7532.0,7532.0,,0.0017349526224476179,,
22,松山區,富泰里,,,,4457.0,17,4832.0,4861.0,4909.0,4938.0,4938.0,,,,0.9025921425678413
23,松山區,介壽里,,,,,596,5059.0,5027.0,4925.0,4931.0,4931.0,,,,
24,松山區,松基里,89.0,,6768.0,18090.0,17849,3836.0,3854.0,3862.0,3812.0,3812.0,0.023201251303441084,,1.7524598653547385,4.745540398740818
25,松山區,中崙里,8029.0,4861.0,4760.0,9555.0,9585,4594.0,4586.0,4549.0,4563.0,4563.0,1.7477144101001305,1.0599651112080244,1.0463838206199165,2.094017094017094
26,松山區,新東里,221506.0,7.0,214961.0,206410.0,203503,5108.0,5161.0,5139.0,5202.0,5202.0,43.364526233359435,0.0013563262933540012,41.829344230395016,39.678969627066515
27,松山區,龍田里,526302.0,,516105.0,536273.0,510773,11327.0,11284.0,11284.0,11219.0,11219.0,46.464377151937846,,45.73777029422191,47.80042784561904
28,松山區,新益里,322749.0,,291645.0,290627.0,279311,4877.0,4915.0,4907.0,4866.0,4866.0,66.17777322124256,,59.43448135316894,59.72605836415947
29,松山區,富錦里,1194283.0,,1130836.0,,1079717,5390.0,5398.0,5424.0,5457.0,5457.0,221.573840445269,,208.48746312684366,
30,松山區,復源里,729016.0,718693.0,692209.0,734058.0,686540,3600.0,3654.0,3596.0,3561.0,3561.0,202.50444444444443,196.68664477285168,192.49416017797552,206.13816343723673
31,松山區,吉仁里,977099.0,963873.0,909727.0,920445.0,895775,4468.0,4469.0,4422.0,4384.0,4384.0,218.6882273948075,215.67979413739093,205.72749886928992,209.9555200729927
32,松山區,敦化里,1687757.0,1650688.0,1606650.0,1617044.0,1652269,7727.0,7696.0,7645.0,7615.0,7615.0,218.42332082308786,214.48648648648648,210.15696533682146,212.34983585029548
33,信義區,新仁里,13148.0,1188247.0,1248733.0,1263616.0,1018643,3674.0,3685.0,3682.0,3707.0,3707.0,3.578660860097986,322.4550881953867,339.1453014665942,340.8729430806582
34,信義區,安康里,2944249.0,3909615.0,3878119.0,4027250.0,4008264,10611.0,10819.0,11003.0,11092.0,11092.0,277.47139760625765,361.365653017839,352.4601472325729,363.0769924269744
35,信義區,興隆里,,624844.0,638490.0,650877.0,595025,3077.0,3035.0,3041.0,3021.0,3021.0,,205.8794069192751,209.9605392962841,215.45084409136047
36,信義區,中行里,1628690.0,634090.0,581049.0,604018.0,1566303,8343.0,8390.0,8407.0,8496.0,8496.0,195.21634903511926,75.57687723480333,69.11490424646128,71.09439736346516
37,信義區,松光里,1202609.0,1185125.0,1148235.0,1152283.0,1163506,5065.0,5139.0,5177.0,5121.0,5121.0,237.43514313919053,230.61393267172602,221.79544137531389,225.01132591290764
38,信義區,永春里,1261488.0,1271462.0,1183721.0,1202626.0,1206410,5194.0,5133.0,5133.0,5170.0,5170.0,242.8740854832499,247.70348723943113,230.6099746736801,232.61624758220503
39,信義區,國業里,1688795.0,1695774.0,1598015.0,1608728.0,1607978,8096.0,8135.0,8139.0,8211.0,8211.0,208.59622035573122,208.4540872771973,196.34045951591105,195.92351723298015
40,信義區,黎順里,1139405.0,1166755.0,1086820.0,1149223.0,1169211,4047.0,4116.0,4172.0,4260.0,4260.0,281.5431183592785,283.4681729834791,260.503355704698,269.7706572769953
41,信義區,五全里,1146376.0,1188913.0,1059815.0,1147937.0,1076422,5140.0,5179.0,5204.0,5276.0,5276.0,223.03035019455254,229.56420158331724,203.65392006149116,217.57714177407126
42,信義區,松隆里,473193.0,477065.0,449102.0,,475607,2410.0,2457.0,2445.0,2379.0,2379.0,196.34564315352696,194.16564916564917,183.68179959100203,
43,信義區,長春里,1141386.0,1180735.0,1058848.0,1201615.0,1158177,4322.0,4274.0,4295.0,4344.0,4344.0,264.08745950948634,276.2599438465138,246.53038416763678,276.61487108655615
44,信義區,興雅里,1499368.0,,1512102.0,1539135.0,1454129,6058.0,6111.0,6126.0,6056.0,6056.0,247.5021459227468,,246.83349657198823,254.150429326288
45,信義區,中坡里,973881.0,447887.0,410909.0,422863.0,963964,4684.0,4691.0,4731.0,4752.0,4752.0,207.9165243381725,95.47793647409934,86.85457619953497,88.98632154882155
46,信義區,四維里,1112205.0,1115651.0,1080168.0,1105278.0,1053927,5477.0,5485.0,5546.0,5580.0,5580.0,203.0682855577871,203.4003646308113,194.7652362062748,198.07849462365593
47,信義區,景勤里,942814.0,963926.0,901707.0,933756.0,907481,4344.0,4392.0,4375.0,4378.0,4378.0,217.03821362799263,219.4731329690346,206.10445714285714,213.28369118318867
48,信義區,大道里,1487929.0,1533880.0,1421923.0,1479641.0,1443847,6399.0,6385.0,6408.0,6433.0,6433.0,232.52523831848725,240.23179326546594,221.8980961298377,230.00792787191045
49,信義區,富台里,1046994.0,1075410.0,1030663.0,1071538.0,1005653,4536.0,4597.0,4557.0,4664.0,4664.0,230.81878306878306,233.937350445943,226.17138468290543,229.74656946826758
50,信義區,黎安里,345389.0,374437.0,352221.0,370260.0,217010,2267.0,2245.0,2253.0,2251.0,2251.0,152.35509483899426,166.78708240534522,156.33422103861517,164.48689471346069
51,信義區,敦厚里,1222190.0,374.0,1178177.0,1272063.0,1219647,5340.0,5421.0,5477.0,5443.0,5443.0,228.874531835206,0.06899096107729201,215.11356582070476,233.70622818298733
52,信義區,廣居里,1921017.0,1866898.0,1792012.0,1811602.0,1785450,8255.0,8380.0,8373.0,8447.0,8447.0,232.70950938824956,222.7801909307876,214.02269198614596,214.4669113294661
53,信義區,松友里,1382153.0,1396384.0,1281431.0,1315803.0,1270802,7113.0,7217.0,7251.0,7267.0,7267.0,194.31365106143681,193.4853817375641,176.72472762377603,181.0655015824962
54,信義區,六藝里,802510.0,483034.0,725806.0,765286.0,756860,3959.0,3991.0,3976.0,4018.0,4018.0,202.70522859307906,121.03081934352292,182.54678068410462,190.46441015430563
55,信義區,嘉興里,842114.0,887886.0,836248.0,837466.0,813257,3311.0,3317.0,3339.0,3353.0,3353.0,254.33826638477802,267.6774193548387,250.44863731656184,249.7661795407098
56,信義區,大仁里,906070.0,739891.0,719485.0,740667.0,832620,4273.0,4288.0,4260.0,4214.0,4214.0,212.04540135736016,172.54920708955223,168.8931924882629,175.76340768865686
57,信義區,雙和里,1242402.0,1261398.0,1155193.0,1202796.0,1188850,7382.0,7440.0,7458.0,7532.0,7532.0,168.3015442969385,169.54274193548386,154.8931348887101,159.6914498141264
58,信義區,三犁里,10840.0,10360.0,16280.0,16880.0,20240,5381.0,5409.0,5415.0,5438.0,5438.0,2.0144954469429472,1.9153263080051766,3.0064635272391507,3.1040823832291284
59,信義區,正和里,,,,2421.0,--,4916.0,4892.0,4897.0,4954.0,4954.0,,,,0.48869600322971335
60,信義區,黎平里,1779594.0,1771953.0,1604277.0,1688328.0,1869365,7313.0,7344.0,7457.0,7427.0,7427.0,243.34664296458362,241.27900326797385,215.13705243395466,227.3230106368655
61,信義區,永吉里,11180.0,3688.0,34741.0,38470.0,15652,4456.0,4393.0,4369.0,4343.0,4343.0,2.5089766606822264,0.8395174140678352,7.951705195696956,8.857932304858393
62,信義區,黎忠里,1099517.0,1115648.0,1015155.0,1047501.0,1052481,4911.0,4952.0,4987.0,5073.0,5073.0,223.8886173895337,225.2924071082391,203.56025666733507,206.48551153163808
63,信義區,泰和里,1272.0,1456.0,1141.0,1137.0,1221,8301.0,8382.0,8393.0,8457.0,8457.0,0.15323455005421033,0.1737055595323312,0.1359466221851543,0.13444483859524653
64,信義區,三張里,960.0,4102.0,960.0,1000.0,7040,9339.0,9401.0,9418.0,9408.0,9408.0,0.10279473176999679,0.43633655994043186,0.10193246973879805,0.10629251700680271
65,信義區,景新里,257.0,271.0,265.0,13404.0,8279,5318.0,5369.0,5365.0,5452.0,5452.0,0.048326438510718314,0.05047494878003352,0.049394221808014914,2.458547322083639
66,信義區,六合里,,,1958.0,3815.0,--,7087.0,7064.0,7095.0,7189.0,7189.0,,,0.27596899224806204,0.5306718597857838
67,信義區,雅祥里,,,1190.0,1195.0,--,5072.0,5065.0,5126.0,5202.0,5202.0,,,0.23214982442450255,0.22971933871587852
68,信義區,西村里,,,,,--,6172.0,6192.0,6124.0,6127.0,6127.0,,,,
69,信義區,惠安里,1486.0,1513.0,2697.0,2600.0,995,6791.0,6777.0,6867.0,6902.0,6902.0,0.21881902518038582,0.22325512763759775,0.39274792485801663,0.37670240509997105
70,信義區,四育里,6440.0,5170.0,5059.0,5562.0,13669,5780.0,5840.0,5877.0,5897.0,5897.0,1.1141868512110726,0.8852739726027398,0.8608133401395269,0.9431914532813295
71,信義區,五常里,8431.0,,10887.0,7996.0,25187,3859.0,3899.0,3927.0,3946.0,3946.0,2.184762891940917,,2.7723453017570665,2.02635580334516
72,信義區,景聯里,1023706.0,1031097.0,959411.0,1009681.0,1006168,4872.0,4879.0,4814.0,4831.0,4831.0,210.12027914614123,211.33367493338798,199.29601163273784,209.0004139929621
73,信義區,中興里,524755.0,583067.0,604467.0,627861.0,613737,3596.0,3554.0,3537.0,3546.0,3546.0,145.92741935483872,164.05936972425437,170.89821882951654,177.0617597292724
74,大安區,民輝里,320417.0,2493465.0,2454204.0,2506283.0,2424211,7013.0,7043.0,7005.0,7125.0,7125.0,45.68900613147013,354.0345023427517,350.3503211991435,351.75901754385967
75,大安區,敦安里,,1910734.0,1927480.0,1998863.0,1904071,6716.0,6718.0,6668.0,6707.0,6707.0,,284.4200654956832,289.06418716256746,298.02639033845236
76,大安區,敦煌里,,1781624.0,1701196.0,1753367.0,1706458,6388.0,6437.0,6400.0,6502.0,6502.0,,276.7786235824142,265.811875,269.6657951399569
77,大安區,義村里,,1506161.0,1461660.0,1460584.0,1407718,6199.0,6183.0,6163.0,6179.0,6179.0,,243.59712113860584,237.1669641408405,236.37870205534875
78,大安區,光信里,491.0,1062491.0,1040692.0,1037222.0,1028512,8269.0,8265.0,8296.0,8313.0,8313.0,0.05937840125770952,128.55305505142167,125.4450337512054,124.77108143871045
79,大安區,昌隆里,16314.0,895879.0,906554.0,913618.0,873011,3191.0,3172.0,3168.0,3165.0,3165.0,5.112503917267314,282.43348045397227,286.15972222222223,288.6628751974724
80,大安區,誠安里,82121.0,757942.0,756529.0,768404.0,761803,4309.0,4368.0,4327.0,4366.0,4366.0,19.058018101647715,173.52152014652015,174.83914952623064,175.99725148877693
81,大安區,通化里,1429579.0,1714827.0,1671874.0,1710082.0,1738992,6358.0,6410.0,6440.0,6477.0,6477.0,224.8472790185593,267.5237129485179,259.6077639751553,264.02377643970976
82,大安區,通安里,1305377.0,1427064.0,1389378.0,1432568.0,1447775,5824.0,5871.0,5915.0,5901.0,5901.0,224.13753434065933,243.07000510986202,234.89061707523246,242.7669886459922
83,大安區,義安里,1646305.0,1783922.0,1769021.0,1828985.0,1799416,5670.0,5695.0,5707.0,5679.0,5679.0,290.3536155202822,313.24354697102723,309.9738917119327,322.06110230674415
84,大安區,仁愛里,9630.0,10688.0,21768.0,36912.0,21031,5711.0,5653.0,5595.0,5603.0,5603.0,1.6862195762563474,1.8906775163629932,3.8906166219839142,6.5878993396394785
85,大安區,建倫里,2353277.0,2350980.0,2188379.0,2275442.0,2385777,6508.0,6459.0,6470.0,6497.0,6497.0,361.5975722188076,363.98513701811424,338.23477588871714,350.2296444512852
