,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
0,松山區,自強里,1002772.0,2164497.0,2242606.0,2154771.0,10176.0,10183.0,10202.0,10218.0,10218.0,98.54284591194968,212.559854659727,219.82023132719075,210.87991779213152
1,松山區,龍田里,842499.0,1619568.0,1708845.0,1637790.0,11327.0,11284.0,11284.0,11219.0,11219.0,74.37971219210735,143.52782701169798,151.4396490606168,145.98359925127016
2,松山區,松基里,1627865.0,,1660305.0,1675869.0,3836.0,3854.0,3862.0,3812.0,3812.0,424.3652241918665,,429.9080787156914,439.62985309548793
3,松山區,吉祥里,2716615.0,2637449.0,2806203.0,2617048.0,8762.0,8755.0,8774.0,8817.0,8817.0,310.04508103172793,301.2505996573387,319.8316617278322,296.81841896336624
4,松山區,新東里,1056623.0,255147.0,1018829.0,1023507.0,5108.0,5161.0,5139.0,5202.0,5202.0,206.8564996084573,49.43751211005619,198.25432963611598,196.75259515570934
5,松山區,精忠里,9.0,,,23.0,4883.0,4827.0,4676.0,4722.0,4722.0,0.0018431292238378046,,,0.004870817450232952
6,松山區,東榮里,,,7000.0,26503.0,8843.0,8744.0,8671.0,8568.0,8568.0,,,0.8072886633606273,3.0932539682539684
7,松山區,富錦里,4.0,,,4047.0,5390.0,5398.0,5424.0,5457.0,5457.0,0.0007421150278293135,,,0.7416162726772952
8,松山區,東昌里,,,,,3019.0,2983.0,2951.0,2927.0,2927.0,,,,
9,松山區,民有里,709.0,,7199.0,1235.0,8733.0,8913.0,8950.0,8958.0,8958.0,0.08118630482079468,,0.8043575418994413,0.13786559499888368
10,松山區,敦化里,,,,,7727.0,7696.0,7645.0,7615.0,7615.0,,,,
11,松山區,復源里,,,1911.0,,3600.0,3654.0,3596.0,3561.0,3561.0,,,0.5314238042269188,
12,松山區,復建里,2010.0,7329.0,1981.0,3519.0,4840.0,4830.0,4841.0,4896.0,4896.0,0.4152892561983471,1.517391304347826,0.40921297252633754,0.71875
13,松山區,吉仁里,3530.0,5137.0,2389.0,2537.0,4468.0,4469.0,4422.0,4384.0,4384.0,0.7900626678603402,1.1494741552920116,0.5402532790592492,0.5786952554744526
14,松山區,民福里,77453.0,,71120.0,56849.0,6481.0,6540.0,6605.0,6624.0,6624.0,11.950779200740627,,10.767600302800908,8.58227657004831
