south_north,west_east,Time,xlat,xlon,Times,Ta2,RH2,VP2,WS_1,SW_down,time_hour,dayofyear,T_mrt,PET_v,mPET_v,WBGT
0,0,0,24.963715,121.4306,2014-07-15 00:00:00,27.83496,77.26213,28.862366,0.69078755,0.0,0,196,19.1957567384635,23.76096093750002,24.05396093749989,31.06533258056641
0,0,1,24.963715,121.4306,2014-07-15 01:00:00,27.590668,77.701904,28.616703,0.6917046,0.0,1,196,18.96010041205102,23.41966772460936,23.75966772460926,30.83027289199829
0,0,2,24.963715,121.4306,2014-07-15 02:00:00,27.44394,77.50807,28.302132,0.72221744,0.0,2,196,18.83156093133516,23.26293920898436,23.532939208984246,30.62345127105713
0,0,3,24.963715,121.4306,2014-07-15 03:00:00,27.256287,77.82859,28.109507,0.73762566,0.0,3,196,18.657092114328123,22.92528662109371,23.315286621093616,30.441350610733032
0,0,4,24.963715,121.4306,2014-07-15 04:00:00,27.125061,77.81228,27.888855,0.71946543,0.0,4,196,18.521269100446204,22.934061035156233,23.174061035156114,30.280229614257813
0,0,5,24.963715,121.4306,2014-07-15 05:00:00,26.98523,77.980125,27.721258,0.7389777,0.0,5,196,18.394692175274088,22.604229492187454,23.00422949218736,30.135079580307007
0,0,6,24.963715,121.4306,2014-07-15 06:00:00,27.061188,78.20559,27.925283,0.6175823,36.90576,6,196,22.002067297080544,24.24018774414051,24.660187744140575,30.258329839706423
0,0,7,24.963715,121.4306,2014-07-15 07:00:00,28.143036,75.81835,28.834558,0.11551673,178.07272,7,196,33.8356400397098,31.754035888671957,32.384035888671846,31.229082834243773
0,0,8,24.963715,121.4306,2014-07-15 08:00:00,29.245117,71.349815,28.919615,0.2844515,344.92477,8,196,44.26830867701415,37.166117187499836,37.94611718749988,31.887390058517454
0,0,9,24.963715,121.4306,2014-07-15 09:00:00,30.524231,65.84434,28.716673,0.3604606,507.52444,9,196,51.48428655717129,41.5502309570314,41.98523095703118,32.53289140129089
0,0,10,24.963715,121.4306,2014-07-15 10:00:00,31.650421,60.627033,28.186533,0.43839124,692.49554,10,196,54.08660301887505,43.11142114257805,43.41142114257799,32.96309624671936
0,0,11,24.963715,121.4306,2014-07-15 11:00:00,32.49579,57.409176,27.992428,0.5322802,762.62225,11,196,53.64255366341865,42.766788574218715,43.3467885742186,33.366136257171625
0,0,12,24.963715,121.4306,2014-07-15 12:00:00,33.19345,54.864662,27.81787,0.7582776,838.76843,12,196,52.62234581312356,42.12445092773421,42.73445092773429,33.69310926628113
0,0,13,24.963715,121.4306,2014-07-15 13:00:00,33.269073,55.832333,28.428328,0.9378314,751.40515,13,196,53.64019807017712,42.460073486328106,42.83007348632803,33.97589739799499
0,0,14,24.963715,121.4306,2014-07-15 14:00:00,33.101562,57.231052,28.869062,0.8220215,614.8906,14,196,55.48238492467823,43.48256249999994,43.79256249999988,34.054127470016475
0,0,15,24.963715,121.4306,2014-07-15 15:00:00,32.43341,61.058914,29.66789,1.3543761,421.38934,15,196,51.1943152386159,40.02441064453115,40.43541064453146,33.989224821090694
0,0,16,24.963715,121.4306,2014-07-15 16:00:00,31.799164,64.37736,30.182642,0.92980206,310.27716,16,196,45.123291090203566,37.42016381835927,38.08016381835934,33.831904184341425
