,lon,lat,T_11_0,T_11_1,T_11_2,T_11_3,T_11_4,T_11_5,T_11_6,T_11_7,T_11_8,T_11_9,T_11_10,T_11_11,T_11_12,T_11_13,T_11_14,T_11_15,T_11_16,T_11_17,T_11_18,T_11_19,T_11_20,T_11_21,T_11_22,T_11_23,T_12_0,T_12_1,T_12_2,T_12_3,T_12_4,T_12_5,T_12_6,T_12_7,T_12_8,T_12_9,T_12_10,T_12_11,T_12_12,T_12_13,T_12_14,T_12_15,T_12_16,T_12_17,T_12_18,T_12_19,T_12_20,T_12_21,T_12_22,T_12_23,T_13_0,T_13_1,T_13_2,T_13_3,T_13_4,T_13_5,T_13_6,T_13_7,T_13_8,T_13_9,T_13_10,T_13_11,T_13_12,T_13_13,T_13_14,T_13_15,T_13_16,T_13_17,T_13_18,T_13_19,T_13_20,T_13_21,T_13_22,T_13_23,T_14_0,T_14_1,T_14_2,T_14_3,T_14_4,T_14_5,T_14_6,T_14_7,T_14_8,T_14_9,T_14_10,T_14_11,T_14_12,T_14_13,T_14_14,T_14_15,T_14_16,T_14_17,T_14_18,T_14_19,T_14_20,T_14_21,T_14_22,T_14_23
24.963715_121.4306,121.4306,24.963715,23.083272460937486,22.93278295898437,22.725851806640616,22.480733398437486,22.473767578125003,22.05511694335933,22.62173071289052,30.062523437500104,36.19956689453112,41.19530908203115,43.55431054687484,43.46720727539049,43.29501245117172,42.91141503906245,41.90720239257803,39.556600341797065,36.49783715820299,31.87243920898448,27.363790039062486,25.167074951171788,24.563473876953022,24.113313964843627,23.672731445312547,23.44433471679695,22.800995849609247,22.66560034179675,22.538453124999872,22.404958251952998,22.289540771484244,21.91205908203124,22.412161621093663,29.021715332031253,34.5706911621093,39.11137475585923,42.22295068359359,42.21452661132812,42.6396608886717,43.5495729980467,42.18645410156248,38.32795190429671,34.44703271484363,30.533232666015675,25.747967285156165,24.00868017578113,23.655196289062385,23.45052465820301,23.344693359374897,23.08813940429676,23.166857666015485,22.96283789062486,22.636487792968747,22.462114257812512,22.292758544921877,22.03339697265624,22.490326904296783,28.342373291015665,36.60511376953123,42.03161035156241,45.29652978515613,45.98964501953118,45.82167871093737,46.341323486328086,43.231769042968594,41.18531152343744,36.873160644531126,31.273829589843825,27.031261962890618,24.949437011718675,24.35720678710928,24.04950292968738,23.63766455078112,23.37678930664049,23.624931396484254,23.202845703125032,22.907054199218734,22.57246435546872,22.397251953124965,22.22411474609371,22.72996679687489,28.816067138671954,35.50709399414068,40.710718505859546,42.86221337890608,43.83095117187485,44.47694360351549,44.700591064453015,44.2442592773436,40.51066918945333,36.73926660156234,33.37131005859357,27.810159667968616,25.416919921874943,24.662139648437407,24.392127441406146,24.18306127929677,23.94500463867177
24.963806_121.45114,121.45114,24.963806,20.80871801757804,20.70014990234368,20.565832275390555,20.243572753906165,20.234286865234296,20.0543906249999,20.91118530273438,29.262170654296945,35.24796777343742,40.73004174804671,43.54667504882799,43.45622705078114,44.28761254882799,42.75000024414061,41.36711425781254,40.00204980468741,36.37261132812488,31.038097167968733,26.136829345703227,22.74945898437486,22.068217529296863,21.706923583984334,21.27278295898431,21.02672949218743,20.954672607421863,20.976197021484385,20.6972629394531,20.65631933593748,20.517682861328083,20.19366186523431,20.97296484374988,28.14804589843761,33.746048828124955,38.82157006835933,42.48482519531268,42.47794946289059,42.74585424804694,43.28792382812488,41.75438256835922,38.20947412109358,34.05302758789057,29.69334863281259,24.65735815429682,22.22659033203111,21.76581274414066,21.570396484375,21.440949951171937,21.207520263671885,20.92518041992182,20.82635961914059,20.519557861328057,20.42841406249994,20.28958715820305,20.1818796386718,20.915220703124863,28.506698730468678,37.142862792968685,42.21410180664056,44.7557595214842,44.61384057617171,45.54216210937495,45.652422119140525,44.22063623046861,40.91678002929685,35.727612548828,30.622661376953108,25.610190185546863,22.952936767578013,22.30000122070318,21.827898925781227,21.423738769531205,21.19579321289058,21.226893066406216,20.833033203124927,20.50006079101553,20.3384677734374,20.14747656249989,20.010777343749886,20.794839843749983,28.991408935546907,35.78830224609357,41.319181152343695,43.12857275390645,44.1321401367189,44.25665307617181,44.86604272460924,44.596561523437465,39.32113671874998,37.14660791015618,32.267032714843914,26.38276220703112,23.18054052734365,22.25033642578126,21.932024902343727,21.663895019531218,21.53559179687498
24.963875_121.47168,121.47168,24.963875,20.791734374999933,20.687527832031183,20.528611816406183,20.175866455078047,20.148410400390546,19.955241455078035,20.92827368164049,28.91392480468753,34.84170556640623,40.29351586914052,42.88683374023434,43.00811669921869,43.53573999023434,42.93907495117177,41.25243554687496,39.83594506835927,36.398331542968606,30.952311035156264,25.76584082031249,22.544863525390724,21.89246557617186,21.665383056640604,21.268727783203072,21.03734350585932,21.084594482421743,20.98903295898424,20.55548681640622,20.672221435546863,20.512489990234357,20.24604589843746,21.0013193359374,27.94561791992197,33.53005273437497,38.39251904296879,41.90950341796864,42.37480493164057,41.92794702148432,42.609110351562485,41.04522851562493,37.5140761718749,34.460735107421705,29.635990234375107,24.56793676757809,22.13612890624987,21.63895141601573,21.407482666015618,21.222454589843743,21.17103857421861,20.99128515624996,20.81266943359372,20.5720834960937,20.45991186523433,20.251269287109317,20.09136450195305,20.965090087890506,28.676363769531275,37.07122827148431,42.13954980468742,43.86582788085934,43.64403222656249,43.727165771484245,45.70875024414046,44.42830200195316,41.0232253417968,34.853812744140775,30.123427978515736,25.281387695312468,22.724787353515516,22.1304453125,21.846285156249994,21.518776611328104,21.28930517578123,21.156052001953093,20.80433691406243,20.489430908203037,20.238520263671763,20.09248266601551,19.97809301757801,20.76069067382811,28.985693603515664,36.09356591796869,41.58894311523424,43.33231347656245,44.540860839843646,45.00731225585932,45.862254882812536,43.431718994140525,38.53147363281239,36.93029931640618,31.61861962890633,26.00817846679692,23.011392578124905,22.181801269531327,21.95965795898437,21.668180908203105,21.43030615234373
24.963943_121.49225,121.49225,24.963943,21.288744873046813,21.13140478515618,20.97912207031243,20.662530273437422,20.59722265624992,20.514549316406168,21.340231689453,29.23883325195315,35.216642089843745,40.26845361328123,42.860418945312354,43.45733789062493,44.1430690917968,43.218888183593656,41.8967763671874,39.86935693359372,36.6506728515624,31.35938623046877,26.245069091796942,23.15219335937488,22.434612792968743,22.22935278320312,21.79720312499996,21.542532714843706,21.471008056640493,21.224073242187497,20.95043310546871,21.053304199218736,20.91516088867186,20.678746093749965,21.42456884765615,28.460709472656365,34.152336669921795,38.64594628906233,41.89689599609371,42.66985620117183,42.129020019531225,42.22126245117181,41.78722558593736,38.20440454101547,34.9095852050783,30.17172998046887,24.997402099609342,22.569695800781133,22.071716064452996,21.79589086914062,21.56688574218749,21.468716552734428,21.433871826171835,21.313399414062463,20.97534033203119,20.861836914062447,20.75116796874994,20.574070800781172,21.34467626953112,28.879350830078128,37.09981347656256,42.15273706054688,44.70764306640613,44.63307153320299,44.56869775390622,46.11498803710922,44.2378249511718,41.48994531249991,35.77085839843741,30.2236184082032,25.705960449218725,23.272247070312407,22.67638281250009,22.240142578124985,22.037824462890622,21.69544287109373,21.561749023437454,21.183769287109293,21.00728369140616,20.738562988281146,20.561977294921768,20.510066894531143,21.235118164062488,29.76866845703135,36.37452539062497,41.25261010742192,43.392952636718896,44.9331435546874,45.03188989257828,45.35983178710936,42.94080590820296,40.742082763671824,36.85331787109393,31.73315209960942,26.478860839843616,23.45435766601554,22.682421630859235,22.361290039062496,22.136818603515604,21.78493749999997
24.964012_121.51276,121.51276,24.964012,23.56185644531236,23.28984716796874,23.157565673828124,22.85598852539061,22.729513916015616,22.47870581054685,23.05853369140616,29.347247558593835,35.861249023437324,41.4501882324218,44.12474511718749,44.65590600585925,45.37524682617175,43.90146386718746,42.39189477539062,39.93333154296872,37.10771752929671,32.27979394531253,27.503245605468734,25.26133154296865,24.67065893554676,24.41473730468738,23.97736889648445,23.80599707031236,23.34498266601554,22.91493749999987,22.656332763671863,22.579603027343747,22.548125000000077,22.23522924804686,22.81625585937492,28.60516503906252,35.56430200195314,39.79221826171872,42.94034570312495,43.96253320312489,42.64668237304674,41.96440576171874,42.19790087890626,38.78180566406245,35.49975976562492,31.138701416015717,26.247701171874947,24.297216552734263,24.119424804687405,23.651294921874864,23.463542236328,23.34567724609364,23.458380371093806,23.311668212890684,23.06420483398439,22.9361435546876,22.805087890625067,22.543926757812493,23.16090795898432,29.289148193359484,37.803937011718574,43.02529565429688,45.43809472656241,46.19203759765618,46.61099023437495,45.90230249023426,44.84359399414063,42.0708842773439,37.32916040039047,31.19959252929692,27.034040283203083,25.212618164062416,24.64597021484364,24.314434570312372,23.97849584960925,23.693783935546733,23.95040136718738,23.666319335937363,23.464869873046972,23.256520263671945,23.09731225585945,22.873131591796906,23.35869970703118,30.22557519531255,36.51457299804678,40.92694848632797,42.64250390624995,43.46159936523436,43.55947534179678,45.24890893554687,42.50620874023429,40.11806909179678,36.41596948242179,32.1298073730469,27.613138183593733,25.505652832031185,24.91639257812491,24.658415283203027,24.406703857421768,24.19089208984364
24.96408_121.533325,121.533325,24.96408,23.24776220703124,22.97381079101559,22.817724365234344,22.593591064453086,22.382773193359327,22.104895996093685,22.576578369140723,28.922501464843787,35.98922753906248,40.68628442382799,42.75691308593736,43.82705712890608,43.72687646484374,43.47151049804693,42.15850585937506,39.45667993164074,37.0283327636717,31.81280297851571,27.26171728515623,24.99020849609364,24.430480712890493,24.13719775390636,23.73641943359373,23.43293066406248,22.99728369140612,22.80910864257821,22.618865722656235,22.393041748046844,22.142935546874952,21.854721435546804,22.40418310546861,28.623396240234403,35.80852929687495,39.76574975585935,42.37125268554673,43.59200463867184,42.096584716796826,41.62516894531271,41.92708886718736,39.32260156249984,35.68750268554675,30.998744140625075,26.22503637695307,24.19153295898426,23.97914160156239,23.515327392578214,23.25241943359381,23.17872167968737,23.197956298828107,23.034441894531227,22.902740234374985,22.78105932617187,22.722550292968798,22.46228247070312,23.00852148437493,29.083952880859464,36.92933251953123,42.21284570312496,45.50983544921864,45.77564233398437,44.89233666992175,45.04933618164046,44.72989160156232,41.35724511718745,36.48077905273447,31.044386230468778,26.858204101562443,25.014065917968647,24.42208837890612,24.04338452148448,23.637920898437493,23.413157714843734,23.73099707031237,23.55487890624986,23.462250732421747,23.045015624999994,22.95251489257815,22.69188574218749,23.21319067382805,29.84350073242185,36.87825585937483,41.32311181640623,43.04009179687488,43.99298120117176,44.02106079101563,44.95906738281262,42.732536865234245,39.33705712890608,36.8125478515625,31.54461816406252,27.26399023437496,25.2785983886718,24.81005834960928,24.536618408203022,24.191938232421755,23.92737890624987
24.964142_121.55386,121.55386,24.964142,21.108866943359285,20.8910605468749,20.760435546874906,20.63381811523428,20.502409423828027,20.224512695312388,20.91289892578122,28.64719384765637,36.45832055664052,40.63349023437485,42.48840234374989,43.299686523437416,42.80504174804682,42.52814355468745,42.23590722656245,39.21933984374999,36.520083251953,30.765105224609503,25.797768310546854,22.959018310546877,22.35640966796872,22.11676367187496,21.77724829101556,21.36158422851554,21.0570590820312,21.021751464843707,20.90369726562495,20.78442358398432,20.496817382812413,20.173801025390507,20.79259863281247,28.283111816406343,35.06527978515617,40.01020288085931,42.25713281249988,43.18665551757796,41.410711914062354,41.64780053710934,40.93439062500013,38.6842067871093,34.93286035156249,29.93903955078136,24.96252783203121,22.51649023437487,22.0812412109375,21.689438232421843,21.35545996093745,21.39158789062497,21.28784521484367,21.136142333984296,20.93281347656242,20.8148337402343,20.880655273437444,20.562542480468665,21.326803955078,28.95929467773441,37.37111840820304,41.59779931640613,44.81256054687518,44.636697021484366,43.87003442382797,43.531803222656166,43.332440429687374,39.27879296874991,34.65687524414054,30.453307128906378,25.42187475585932,22.937362304687507,22.36030371093746,21.95369238281244,21.56177954101554,21.41830664062492,21.542162841796813,21.402117675781188,21.296541503906205,21.01917089843743,20.89875952148431,20.629904541015534,21.301836181640702,30.077201416015548,36.06664453125014,40.74811791992176,42.50242333984372,43.62019799804681,43.47673608398426,43.97530541992184,42.13524194335932,39.66326196289055,36.666715332031245,30.482212158203197,25.823155273437465,23.293071044921746,22.677889160156244,22.457591308593734,22.064560302734343,21.755025390624947
24.964203_121.5744,121.5744,24.964203,20.106254638671757,19.890066894531124,19.760113281249875,19.60225439453112,19.62286840820301,19.31746435546862,19.99408178710933,27.8234743652345,36.067850585937485,40.93043115234373,41.43167260742175,41.85787255859372,41.54888696289057,41.56375756835928,41.49655541992174,38.72145410156234,35.33401635742175,29.322473388671945,24.6054184570312,21.76089331054685,21.05848730468743,20.976425537109304,20.664599365234277,20.237785400390504,20.17773168945306,20.091283935546805,19.90752539062492,19.88026464843743,19.64461279296866,19.296264404296743,19.957917236328075,26.952809082031266,34.060952392578066,39.76381494140623,41.75968041992183,42.72189965820303,40.30299951171858,41.03387109374985,39.85304467773437,37.891948486328005,33.64416406249984,28.823690429687595,23.84296362304681,21.32313208007812,20.776873535156188,20.56878271484368,20.33398779296867,20.36834692382807,20.1894650878905,20.075788330078005,19.87518530273425,19.78174169921863,19.917413085937422,19.597081054687383,20.426542236328142,28.00580590820313,36.49405419921866,40.82026269531233,43.66123681640608,43.457986083984366,43.1818911132812,42.65336816406235,41.7593605957031,38.64218286132795,34.63192163085929,29.537984863281384,24.36675756835931,21.72912207031247,21.125907958984293,20.79890600585927,20.397867187499862,20.257017578124863,20.50136328124991,20.40943457031241,20.43927954101557,20.12806494140617,20.008842529296796,19.760923828124906,20.520846923828124,28.94566918945322,34.95611108398423,38.670355468749904,40.71959985351553,41.41261621093744,42.0341823730468,42.8758669433593,41.38746240234363,38.97081445312484,35.08675683593741,29.21487084960941,24.61897436523431,21.939128173828117,21.32666967773432,21.357688964843707,20.93624365234368,20.65633154296866
24.964264_121.59494,121.59494,24.964264,19.364478515624896,19.214831298828024,19.133719238281163,18.91189428710928,18.92926489257805,18.555081542968647,19.22559423828123,26.7137880859376,33.4494851074218,39.57470239257798,40.79661767578125,40.82622705078121,40.88237451171859,41.08733789062495,40.27808129882799,36.79901147460936,33.751163574218715,28.104591308593797,23.485021728515555,21.02631445312498,20.34497900390619,20.16455664062493,19.85599829101553,19.563953613281157,19.573268798828096,19.3876254882812,19.29960180664057,19.20277197265621,18.957679199218685,18.69042944335928,19.286598876953104,25.79056909179701,32.22215112304686,38.0833767089843,40.55435205078123,41.312319580078096,39.9739956054686,40.01520898437483,38.99229760742182,36.705864501953045,32.862881103515626,28.16129785156264,22.89021215820305,20.536753906249988,20.03045385742181,19.91408178710932,19.775107177734327,19.778033203124977,19.306133789062372,19.398172363281155,19.15161840820302,19.11049414062491,19.28972631835933,19.113912109374947,19.92055029296865,27.288739257812523,35.149173339843884,40.30547753906245,41.929214111328086,41.81868920898429,42.05716333007809,41.49112451171861,40.67997460937497,37.95039208984372,33.47093530273432,28.430505615234484,23.689294189453086,20.973588623046847,20.38116796874992,19.98439062499989,19.58329199218737,19.41623876953112,19.867643798828063,19.691861328124936,19.85384375,19.609170898437483,19.448268798828096,19.20472509765621,19.909712890624885,27.81993920898444,35.69916650390619,38.75570092773429,40.33572290039061,40.71058374023425,41.38109399414046,42.45959619140623,40.01414208984367,37.453764892578015,33.11193994140613,28.73917382812512,23.64251318359368,21.17486791992187,20.582571777343706,20.574192871093715,20.24683691406245,19.967016357421805
24.964302_121.61548,121.61548,24.964302,19.123311523437447,19.02741430664057,19.009504150390583,18.86529028320309,18.95635961914061,18.56200415039058,19.267885498046752,26.290663085937567,32.111322265624985,37.54191796874985,40.254243408203,39.880193115234285,39.44856835937488,40.18424340820302,39.415285888671846,36.61162744140621,33.224329345703296,28.48674584960951,23.45812475585934,20.72316455078132,20.198468994140622,20.033475097656225,19.80883398437497,19.37550024414058,19.47390795898447,19.494015869140483,19.279849609375,19.340933593749877,19.01983862304687,18.854532226562483,19.20172949218736,25.3636904296876,31.96350854492192,37.0791396484374,39.052129150390485,39.12294824218747,39.5246291503905,39.49551416015613,39.06761010742174,36.71046289062487,33.037077880859314,27.989320312500137,22.86060766601558,20.41406591796863,20.016646972656257,19.80681494140624,19.744196533203173,19.67792700195299,19.180505126953047,19.358779052734334,19.102876953124955,19.05035864257809,19.16497045898437,19.16109619140633,19.97980932617183,26.88412744140639,33.67863793945302,39.121084228515606,41.5238259277342,41.56874536132806,41.06469140624991,40.8536501464843,39.93757592773424,38.04658227539055,33.52178491210928,28.069955078125087,23.460291503906216,20.664096435546877,20.09577612304683,19.664826416015536,19.360463623046783,19.232413085937413,19.65767553710937,19.40088476562497,19.62720678710924,19.422411865234235,19.185273193359365,18.95899267578123,19.648547119140524,27.392317138671903,34.7097390136718,40.37745141601561,41.09280664062482,41.16670190429684,41.15204858398421,42.11060327148437,39.7727077636718,36.9710048828124,33.152203613281074,28.432217041015743,23.51263769531246,20.835051025390488,20.43408984375001,20.296552001953128,20.04016333007812,19.791359619140604
