,lon,lat,mPET_v_11,Ta2_11,PET_v_11,WBGT_11,mPET_v_12,Ta2_12,PET_v_12,WBGT_12,mPET_v_13,Ta2_13,PET_v_13,WBGT_13,mPET_v_14,Ta2_14,PET_v_14,WBGT_14
24.963715_121.4306,121.4306,24.963715,10.403696044921878,12.594696,9.123696044921884,15.798718818664549,14.580517333984382,14.961517,13.22051733398439,17.960237435340883,18.29755395507813,16.186554,16.517553955078164,18.43029373550415,19.53527490234375,16.444275,17.545274902343753,17.710880479812623
24.963806_121.45114,121.45114,24.963806,10.70620458984376,12.197205,9.246204589843767,15.679494444847109,14.90963159179687,14.628632,13.437631591796878,17.9083168926239,18.760046874999905,15.748047,16.82104687499998,18.373240674972536,20.380023437500046,15.999023,18.14002343750001,17.73585891532898
24.963875_121.47168,121.47168,24.963875,10.482551025390634,11.983551,9.012551025390644,15.551626070976257,14.524322753906269,14.468323,13.077322753906255,17.799855936050417,18.59854077148428,15.585541,16.65654077148435,18.27394864463806,20.488125244140704,15.897125,18.218125244140666,17.682841773986816
24.963943_121.49225,121.49225,24.963943,10.921154541015632,12.302155,9.441154541015642,15.785774234771727,14.27457373046876,14.775574,12.974573730468766,18.023318920135495,18.98464990234371,15.92865,17.119649902343767,18.528564629554747,20.716167236328182,16.265167,18.55616723632816,17.939680364608765
24.964012_121.51276,121.51276,24.964012,11.051502441406264,12.752502,9.651502441406253,15.944417894363404,14.963660644531254,15.214661,13.63366064453126,18.14406567001343,18.560454345703132,16.409454,16.930454345703193,18.580124245643617,20.29008325195319,16.779083,18.28008325195319,17.922598787307738
24.96408_121.533325,121.533325,24.96408,11.42373999023438,12.76474,9.933739990234391,15.956194800376892,15.814491210937488,15.203491,14.332491210937516,18.12865546512604,18.78979516601568,16.358795,17.11979516601573,18.55534557247162,20.476810546875107,16.70581,18.446810546875103,17.895952724456787
24.964142_121.55386,121.55386,24.964142,11.70215185546876,12.293152,10.052151855468754,15.752850626945497,16.279558349609413,14.678558,14.61855834960936,17.913655738830567,19.99976708984377,15.798767,18.029767089843773,18.40835929107666,21.4668666992188,16.075867,19.186866699218758,17.786235303878783
24.964203_121.5744,121.5744,24.964203,10.829297851562512,11.430298,9.149297851562505,15.16608913230896,15.259583984374991,13.798584,13.567583984375004,17.307782293319704,19.996695556640564,14.956696,17.887695556640757,17.850605115890502,21.003268066406356,15.262268,18.54326806640628,17.263043015480044
24.964264_121.59494,121.59494,24.964264,9.372978271484376,10.483978,7.752978271484388,14.511370620727538,13.72428979492186,12.90329,12.032289794921892,16.671406497955324,19.13167138671876,14.000671,16.881671386718875,17.207186117172242,19.92808251953135,14.1970825,17.285082519531247,16.595181931495667
24.964302_121.61548,121.61548,24.964302,8.86734716796876,10.368347,7.3183471679687635,14.438307032585142,13.685553222656234,12.854553,11.983553222656267,16.634643629074098,18.43733056640632,13.926331,16.237330566406285,17.16006435394287,19.883031250000112,14.082031,17.193031250000004,16.525027565956115
24.96437_121.63605,121.63605,24.96437,9.786020263671894,10.72702,8.136020263671886,14.706274547576903,14.97024682617186,13.259247,13.19824682617186,16.933851818084715,20.09574731445323,14.334747,17.9057473144532,17.45703970336914,21.10985986328133,14.51886,18.54785986328117,16.825001024246216
24.982338_121.43051,121.43051,24.982338,10.994204101562486,13.059204,9.688204101562508,16.065056509017943,14.709297851562514,15.430298,13.46929785156252,18.22046692466736,18.23212304687508,16.651123,16.682123046874928,18.68306063556671,19.930204833984316,16.891205,17.951204833984338,17.93474698829651
24.982422_121.45105,121.45105,24.982422,10.953532470703143,12.864532,9.59353247070313,15.95252675151825,14.632266601562511,15.223267,13.332266601562518,18.09929441165924,17.741664062500035,16.430664,16.239664062499983,18.540485176086428,19.61215234375013,16.681152,17.65215234375014,17.823159222602843
24.982498_121.47162,121.47162,24.982498,10.535389404296836,12.555389,9.21438940429688,15.78154601764679,14.644432128906256,15.005432,13.274432128906264,17.98074753665924,17.55371118164068,16.122711,15.881711181640624,18.36589425754547,19.20256860351573,16.451569,17.27256860351574,17.69793364715576
24.982574_121.49216,121.49216,24.982574,11.41498510742188,12.665985,9.93498510742189,16.015601355552675,15.12831665039067,15.118317,13.767316650390631,18.249991757392884,18.937523437500104,16.186523,17.147523437500137,18.66423634338379,20.10831567382821,16.467316,18.14831567382822,18.01917620754242
24.982628_121.512695,121.512695,24.982628,11.125805419921893,13.006805,9.77580541992188,16.086584919929503,15.248594726562503,15.459595,13.93859472656251,18.280019151687625,18.45944848632824,16.628448,16.87944848632815,18.676630002975465,20.13363427734376,17.012634,18.15363427734376,18.02561175823212
24.98272_121.533264,121.533264,24.98272,11.337574218750014,13.038574,9.94757421875,16.112436270713808,15.406892333984349,15.445892,14.034892333984384,18.269054401397707,18.654985595703128,16.553986,17.024985595703185,18.64655961608887,20.01080883789056,16.972809,18.02680883789058,18.035282507896422
24.982765_121.5538,121.5538,24.982765,11.048139404296892,12.899139,9.698139404296878,16.026337349891662,15.666982666015617,15.225983,14.176982666015602,18.13316002845764,19.028962646484477,16.317963,17.3469626464843,18.528716569900517,19.89697290039064,16.715973,17.876972900390637,17.902121055603025
24.982841_121.57434,121.57434,24.982841,10.735927490234385,12.2569275,9.275927490234396,15.629570630073546,15.93183129882812,14.570831,14.219831298828131,17.71850543785095,19.29973779296882,15.768738,17.329737792968825,18.234198793411256,20.1983530273437,16.149353,17.920353027343857,17.590332124710084
24.98288_121.59488,121.59488,24.98288,10.83132421875001,11.382324,9.151324218750004,15.15681148147583,15.615291992187483,13.774292,13.8752919921875,17.305417088508605,19.728338867187617,14.897339,17.6283388671876,17.83672962665558,20.90617822265634,15.245178,18.44617822265627,17.264489703178405
24.98294_121.61542,121.61542,24.98294,10.55969091796876,11.020691,8.839690917968753,14.919702897071838,15.125824218749989,13.444824,13.375824218749989,17.09131711101532,19.74218774414064,14.561188,17.60618774414057,17.626309084892274,21.04310083007814,14.872101,18.51310083007821,17.043192936897277
24.982994_121.63599,121.63599,24.982994,11.116114746093736,11.180115,9.329114746093769,15.03611815547943,15.435206542968734,13.624207,13.71520654296875,17.213399941444397,20.457835937500096,14.756836,18.387835937500085,17.768157993316652,21.68976708984384,15.048767,19.239767089843767,17.171156680107117
25.000977_121.43042,121.43042,25.000977,11.045187255859329,13.048187,9.71718725585938,16.042317147254945,14.814607910156262,15.435608,13.564607910156267,18.205300968170167,18.502785888672,16.611786,16.91278588867191,18.63959222412109,20.064605957031265,16.883606,18.074605957031267,17.9215944108963
25.001053_121.45099,121.45099,25.001053,11.441225341796889,13.062225,10.009225341796856,16.06342751407623,14.803185791015636,15.384186,13.543185791015642,18.18859116077423,18.105747314453197,16.584747,16.567747314453214,18.622432357788085,20.110628906250025,16.869629,18.120628906250023,17.92110421180725
