south_north,west_east,Time,xlat,xlon,Times,Ta2,RH2,VP2,WS_1,SW_down,time_hour,dayofyear,T_mrt,PET_v,mPET_v,WBGT
0,0,0,24.963715,121.4306,2012-01-15 00:00:00,13.748627,88.50953,13.910497,1.4578925,0.0,0,15,5.358929615202612,7.663626708984377,8.067626708984388,17.202296551704407
0,0,1,24.963715,121.4306,2012-01-15 01:00:00,13.598663,88.86215,13.830477,1.523611,0.0,1,15,5.221569549564322,7.467663330078126,7.837663330078139,17.08581947517395
0,0,2,24.963715,121.4306,2012-01-15 02:00:00,13.465027,89.44094,13.800056,1.5199338,0.0,2,15,5.088232247412691,7.324026855468751,7.704026855468764,16.998092414855957
0,0,3,24.963715,121.4306,2012-01-15 03:00:00,13.339539,90.007866,13.774494,1.3148708,0.0,3,15,4.909707477770041,7.348538574218769,7.858538574218758,16.916894580841063
0,0,4,24.963715,121.4306,2012-01-15 04:00:00,13.130951,90.83985,13.713997,1.264231,0.0,4,15,4.686855217667187,7.159950927734394,7.719950927734382,16.774849952697753
0,0,5,24.963715,121.4306,2012-01-15 05:00:00,13.07196,90.99931,13.685265,1.1739148,0.0,5,15,4.599317724584978,7.160960449218767,7.800960449218754,16.730110557556152
0,0,6,24.963715,121.4306,2012-01-15 06:00:00,13.076324,91.06151,13.698521,1.2171085,0.0,6,15,4.618378451539115,7.135324462890643,7.73532446289063,16.737794589996337
0,0,7,24.963715,121.4306,2012-01-15 07:00:00,13.116364,90.95392,13.718148,1.2265016,0.6308834,7,15,4.7553156089917366,7.205363525390642,7.79536352539063,16.76821037387848
0,0,8,24.963715,121.4306,2012-01-15 08:00:00,13.797668,88.57596,13.965336,1.3698723,34.571384,8,15,10.089386238306076,9.006668457031266,9.751668457031226,17.251655002593996
0,0,9,24.963715,121.4306,2012-01-15 09:00:00,14.464966,85.611855,14.093954,1.4647077,91.172165,9,15,17.41999370765666,11.401965820312485,12.513965820312519,17.680559576034547
0,0,10,24.963715,121.4306,2012-01-15 10:00:00,14.961517,82.88772,14.089204,1.6371181,140.73322,10,15,23.335893902464136,13.22051733398439,14.580517333984382,17.960237435340883
0,0,11,24.963715,121.4306,2012-01-15 11:00:00,15.34903,80.97649,14.111148,1.6680675,190.88484,11,15,28.265199573416794,14.898029541015633,16.54002954101564,18.18858086681366
0,0,12,24.963715,121.4306,2012-01-15 12:00:00,15.599579,79.696976,14.112861,1.882433,197.4919,12,15,29.086068667542918,14.968578857421887,16.550578857421954,18.331315459251403
0,0,13,24.963715,121.4306,2012-01-15 13:00:00,15.66217,79.63715,14.158848,1.9282469,181.51488,13,15,27.731887530973268,14.57117041015625,16.01317041015625,18.384877811431885
0,0,14,24.963715,121.4306,2012-01-15 14:00:00,15.629456,79.857574,14.168356,2.1487265,199.52843,14,15,28.4672862097716,14.418455566406253,15.870455566406246,18.37006519126892
0,0,15,24.963715,121.4306,2012-01-15 15:00:00,15.406067,80.650894,14.10589,2.0537145,111.36465,15,15,20.375332187939705,12.245066894531252,13.135066894531255,18.218854806900023
0,0,16,24.963715,121.4306,2012-01-15 16:00:00,15.213898,81.25457,14.037392,1.9306222,47.818188,16,15,13.127892456604457,10.392897705078141,10.852897705078131,18.082974922180178
0,0,17,24.963715,121.4306,2012-01-15 17:00:00,14.842346,82.75206,13.9586935,1.8439924,15.059441,17,15,8.267907107705241,9.001346191406267,9.221346191406262,17.841376837730408
0,0,18,24.963715,121.4306,2012-01-15 18:00:00,14.503204,84.337555,13.918491,1.7769212,0.0,18,15,6.162707940246776,8.282204345703128,8.425204345703118,17.63328396987915
0,0,19,24.963715,121.4306,2012-01-15 19:00:00,14.332367,85.53849,13.961756,1.8722148,0.0,19,15,6.023432250897258,8.06136694335938,8.161366943359377,17.553422067642213
0,0,20,24.963715,121.4306,2012-01-15 20:00:00,14.31015,85.9846,14.014427,1.9254267,0.0,20,15,6.019025933188914,7.9991501464843795,8.079150146484379,17.561525016784667
0,0,21,24.963715,121.4306,2012-01-15 21:00:00,14.227295,86.40651,14.00793,1.8093312,0.0,21,15,5.914368635098583,7.966294921875003,8.116294921875001,17.511992632865905
0,0,22,24.963715,121.4306,2012-01-15 22:00:00,13.9861145,87.54806,13.973045,1.729896,0.0,22,15,5.660538696486469,7.765114501953128,7.965114501953148,17.36153374481201
0,0,23,24.963715,121.4306,2012-01-15 23:00:00,13.7534485,88.65893,13.93834,1.3325266,0.0,23,15,5.333064249951917,7.762448486328144,8.242448486328135,17.21597298526764
0,1,0,24.963806,121.45114,2012-01-15 00:00:00,13.382141,90.73556,13.924452,1.20162,0.0,0,15,4.935869475738514,7.481141113281267,8.061141113281256,16.99998357963562
0,1,1,24.963806,121.45114,2012-01-15 01:00:00,13.317017,90.57914,13.841591,1.3200698,0.0,1,15,4.897782706439841,7.31601660156253,7.826016601562508,16.930493629455565
0,1,2,24.963806,121.45114,2012-01-15 02:00:00,13.235931,90.9661,13.827436,1.193591,0.0,2,15,4.780916697639782,7.324931396484392,7.934931396484379,16.878955625534058
0,1,3,24.963806,121.45114,2012-01-15 03:00:00,13.162628,91.2456,13.803759,1.1954752,0.0,3,15,4.708044877634677,7.251628173828142,7.8516281738281295,16.828087312698365
0,1,4,24.963806,121.45114,2012-01-15 04:00:00,13.133057,91.094284,13.754299,1.1362584,0.0,4,15,4.655012966804463,7.262056640625016,7.922056640625002,16.79188268661499
0,1,5,24.963806,121.45114,2012-01-15 05:00:00,12.996368,91.22638,13.651839,0.9688172,0.0,5,15,4.454285610885279,7.255368408203139,8.055368408203144,16.674113715171814
0,1,6,24.963806,121.45114,2012-01-15 06:00:00,13.093109,91.19526,13.7336855,1.0300218,0.0,6,15,4.579067510161849,7.30210913085939,8.045109130859352,16.761131276130676
0,1,7,24.963806,121.45114,2012-01-15 07:00:00,13.11087,91.269356,13.76079,1.0280383,0.6907807,7,15,4.698719386476171,7.359870361328139,8.098870361328082,16.781853914260864
0,1,8,24.963806,121.45114,2012-01-15 08:00:00,13.66214,90.580894,14.156274,1.133897,36.058746,8,15,10.01382222178728,9.171139892578134,10.051139892578137,17.249848938941955
0,1,9,24.963806,121.45114,2012-01-15 09:00:00,14.176941,88.77736,14.345466,1.1537354,93.82215,9,15,17.373621143787773,11.68594091796876,12.945940917968754,17.616093504905702
0,1,10,24.963806,121.45114,2012-01-15 10:00:00,14.628632,86.7765,14.437361,1.2968987,140.9819,10,15,22.86695384301231,13.437631591796878,14.90963159179687,17.9083168926239
0,1,11,24.963806,121.45114,2012-01-15 11:00:00,14.987122,85.005196,14.472941,1.3344014,201.76718,11,15,28.521327989851613,15.398121582031242,17.18812158203127,18.12556390666962
0,1,12,24.963806,121.45114,2012-01-15 12:00:00,15.108673,84.45534,14.492099,1.4865878,199.14444,12,15,28.946387693875863,15.279673095703123,17.04967309570326,18.20201247692108
0,1,13,24.963806,121.45114,2012-01-15 13:00:00,15.14978,84.250534,14.495175,1.5090371,178.71635,13,15,27.19979688597266,14.748780273437507,16.36078027343752,18.22652933216095
0,1,14,24.963806,121.45114,2012-01-15 14:00:00,15.0694275,84.7162,14.500252,1.6201127,178.76125,14,15,26.63295802880799,14.29842749023439,15.85042749023436,18.182964332580568
