,lon,lat,T_11_0,T_11_1,T_11_2,T_11_3,T_11_4,T_11_5,T_11_6,T_11_7,T_11_8,T_11_9,T_11_10,T_11_11,T_11_12,T_11_13,T_11_14,T_11_15,T_11_16,T_11_17,T_11_18,T_11_19,T_11_20,T_11_21,T_11_22,T_11_23,T_12_0,T_12_1,T_12_2,T_12_3,T_12_4,T_12_5,T_12_6,T_12_7,T_12_8,T_12_9,T_12_10,T_12_11,T_12_12,T_12_13,T_12_14,T_12_15,T_12_16,T_12_17,T_12_18,T_12_19,T_12_20,T_12_21,T_12_22,T_12_23,T_13_0,T_13_1,T_13_2,T_13_3,T_13_4,T_13_5,T_13_6,T_13_7,T_13_8,T_13_9,T_13_10,T_13_11,T_13_12,T_13_13,T_13_14,T_13_15,T_13_16,T_13_17,T_13_18,T_13_19,T_13_20,T_13_21,T_13_22,T_13_23,T_14_0,T_14_1,T_14_2,T_14_3,T_14_4,T_14_5,T_14_6,T_14_7,T_14_8,T_14_9,T_14_10,T_14_11,T_14_12,T_14_13,T_14_14,T_14_15,T_14_16,T_14_17,T_14_18,T_14_19,T_14_20,T_14_21,T_14_22,T_14_23,T_15_0,T_15_1,T_15_2,T_15_3,T_15_4,T_15_5,T_15_6,T_15_7,T_15_8,T_15_9,T_15_10,T_15_11,T_15_12,T_15_13,T_15_14,T_15_15,T_15_16,T_15_17,T_15_18,T_15_19,T_15_20,T_15_21,T_15_22,T_15_23
24.963715_121.4306,121.4306,24.963715,5.024802001953131,5.036398681640631,4.940970214843756,4.97976049804688,4.909357666015629,5.08022314453125,5.159733642578135,4.990543701171889,6.288471435546877,8.567386230468761,10.403696044921878,11.134610351562516,12.545370849609387,12.837438720703137,11.901612304687507,10.18258398437502,8.312338623046887,6.428628906250002,5.563526367187513,5.456584228515637,5.21488012695314,5.172891601562507,5.03301367187501,4.93044531250001,8.067626708984388,7.837663330078139,7.704026855468764,7.858538574218758,7.719950927734382,7.800960449218754,7.73532446289063,7.79536352539063,9.751668457031226,12.51396582031252,14.580517333984382,16.54002954101564,16.550578857421954,16.01317041015625,15.870455566406246,13.135066894531256,10.852897705078131,9.221346191406262,8.425204345703118,8.161366943359377,8.079150146484379,8.116294921875001,7.965114501953148,8.242448486328135,7.6929233398437615,7.4796213378906335,7.332416748046882,6.999163574218758,7.03682836914063,6.916170410156256,6.797088378906257,6.704759277343753,11.088840087890642,15.443083740234371,18.29755395507813,19.612270751953243,20.50630273437504,20.260870605468867,18.76728051757817,16.510702880859288,13.634256347656253,10.222338623046896,9.135916503906255,8.856011718750006,8.62325659179688,8.388875488281252,8.184605468749984,7.898682617187517,6.045416015625015,5.564754394531264,5.258238281250013,4.920147460937511,4.536651367187512,4.249904541015634,3.983558105468759,3.911241210937504,11.96654028320314,17.07890527343762,19.53527490234375,21.61928613281253,22.636910644531337,22.619349609375035,21.24259667968764,18.780489746093853,14.94705664062501,10.970258544921888,9.167825683593753,8.441124023437501,8.090910400390644,7.617677978515641,6.989441894531267,6.49808325195314,7.013884033203143,6.893191894531266,6.471437744140641,6.218075927734389,5.964739746093764,5.8148679199218885,5.356719726562518,5.494197753906264,11.500357421875009,15.915240722656243,18.700034423828143,20.25570703125001,20.767309814453164,20.497444091797,19.54428613281261,17.15088232421871,14.028625976562456,10.315663818359392,8.880768798828132,8.577190917968752,8.417277587890643,8.02657641601563,7.554960693359393,7.417688964843765
24.963806_121.45114,121.45114,24.963806,5.232690917968768,5.185393554687516,5.056724609375,5.088206542968768,5.169067138671893,5.359830078125014,5.3844785156250135,5.319882568359389,6.530176757812515,8.939789794921893,10.70620458984376,11.576114257812517,13.275793701171864,13.549937988281236,11.894910644531269,10.527609863281247,8.559645751953141,6.098147949218766,5.361032470703127,5.292428955078127,5.096683105468755,5.2376401367187615,5.168356689453126,5.1229147949218765,8.061141113281256,7.826016601562508,7.934931396484379,7.8516281738281295,7.922056640625002,8.055368408203144,8.045109130859352,8.098870361328082,10.051139892578137,12.945940917968754,14.90963159179687,17.18812158203127,17.04967309570326,16.36078027343752,15.85042749023436,13.165101074218764,10.82040014648439,8.95553198242188,8.244131835937512,7.96516333007814,7.985306152343765,7.940060791015639,7.944805664062511,8.21290747070313,7.73876318359376,7.7248728027343825,7.569087890625009,7.453212646484384,7.427406982421883,7.493622802734381,7.446421875000007,7.541552490234378,11.235166992187514,15.753563476562483,18.760046874999905,20.43529321289064,21.425624023437614,20.676084228515748,19.08489648437504,16.253438476562486,13.674684814453132,9.807341064453134,8.244447998046876,7.957012695312501,7.907209228515625,7.771528076171875,7.809793457031268,7.665755371093765,6.035276855468768,5.851183837890644,5.6445429687500095,5.459670410156275,5.434594238281276,5.228615478515644,5.121143554687518,5.157712158203139,12.206003417968706,17.371305175781295,20.380023437500046,22.164712158203173,23.288279052734502,23.095918212890684,21.54038720703139,18.846280761718837,14.87345190429689,10.328779052734392,7.716993164062516,7.059306396484392,6.813924316406268,6.673117431640642,6.282367919921893,6.108559326171894,6.873002685546889,6.784910644531263,6.565333007812515,6.42138159179689,6.505551513671889,6.4808566894531365,6.212841552734392,6.213780273437515,11.674083007812502,16.402132812500025,19.540501953125077,20.912088867187556,21.542613769531343,20.95142846679701,19.907682128906373,17.336382080078206,14.084240478515628,9.840187744140628,7.57040625,7.410704833984391,7.276064208984391,7.2082272949218895,7.034379638671889,7.019288085937512
24.963875_121.47168,121.47168,24.963875,5.32184301757814,5.132620605468767,5.033689941406268,5.184699462890639,5.228677734375013,5.384283203125009,5.427913574218759,5.420265869140633,6.466318115234388,8.85708227539064,10.482551025390634,11.549144042968765,13.20697290039061,13.072348876953116,11.602214111328143,10.11763159179688,8.36733618164064,6.015206054687513,5.299864990234391,5.263730712890654,5.17608398437501,5.253714355468767,5.176928466796894,5.144587890625028,8.13525732421875,7.940763916015627,8.05997021484372,7.948941650390635,8.03254980468752,8.13499487304689,8.088982910156266,8.137923339843766,9.912183593750012,12.846454833984378,14.524322753906269,17.59513818359386,16.801035400390752,16.20604882812503,15.15709008789062,12.912973388671888,10.744264892578135,8.941562255859376,8.240557617187509,8.007704833984386,8.112750000000009,8.01193945312501,7.872596191406258,8.145976318359377,7.8745004882812575,7.937079833984378,7.717786621093755,7.6573532714843795,7.659704345703129,7.695638183593751,7.564897216796878,7.696427246093762,10.942159179687518,15.539000488281236,18.59854077148428,20.70837304687509,21.536040283203132,20.265709472656354,18.998264404296943,16.386140380859395,13.607604736328128,9.630168212890633,8.132309814453105,7.965762451171898,7.935943359375018,7.855898193359391,7.857447265625015,7.806691650390637,6.042823242187514,6.0103818359375145,5.769441894531266,5.665501464843765,5.501152099609391,5.321393798828141,5.263106445312515,5.326709960937513,11.893863281250006,17.233290039062528,20.488125244140704,22.26398583984384,23.3956520996094,23.264287353515737,21.649144531250037,18.95852807617201,14.906542724609384,10.278390869140638,7.643084472656263,7.076922363281264,6.890755371093763,6.693002685546888,6.405729736328138,6.302630371093764,7.0316501464843855,6.832420410156261,6.634206298828137,6.530994628906263,6.535562500000013,6.556503662109384,6.356940673828139,6.361255859375013,11.678406005859364,16.35747949218754,19.604376464843867,20.9164345703126,21.528943115234515,20.981166015625035,19.876789794921887,17.207982421875112,13.950436767578145,9.665190185546878,7.517040771484376,7.406067871093767,7.376088623046887,7.228130859375011,7.118744873046887,7.110722412109385
24.963943_121.49225,121.49225,24.963943,6.177765869140626,6.144166015625001,5.85269506835938,6.100614257812529,6.170967773437519,6.36951147460939,6.31739721679689,6.385221923828138,7.3658908691406415,9.565555175781256,10.921154541015632,12.04014746093751,13.200774169921868,13.077065673828123,11.545059570312503,10.808716796875018,8.847720703125011,6.670435546875004,6.025845703125008,6.088228515625006,6.147272705078129,6.115375732421877,5.975199951171882,5.896860107421882,8.88955419921876,8.85898535156251,8.776332763671885,8.832032226562507,8.962959960937503,8.882564453125005,8.861280273437506,8.716011718750009,10.253923095703136,13.040652832031256,14.27457373046876,17.81340478515634,17.211213623047012,16.582749267578162,15.414625488281246,13.127874511718764,11.36686743164063,9.466596435546892,8.831016601562501,8.699516357421876,8.83087988281252,8.73618261718745,8.644855712890644,8.834290527343763,8.501345214843736,8.599296630859392,8.415182861328143,8.256999267578143,8.278354248046892,8.344532226562514,8.28301733398439,8.447514404296886,11.736388916015631,16.094297119140627,18.98464990234371,21.062651611328214,21.88836572265626,20.43907495117196,19.220855957031304,16.63043115234376,13.905467285156252,10.109139160156252,8.60542456054689,8.66333593750001,8.644360107421882,8.653155273437504,8.533626464843755,8.558647216796876,6.524822753906256,6.485220703125006,6.183486083984385,6.181249755859384,5.804881347656262,5.604756835937512,5.682724365234384,5.706460937500007,12.534046630859336,17.50720117187501,20.716167236328182,22.365670410156294,23.640389892578103,23.78144433593764,22.291825195312576,19.394209960937456,15.336243652343756,10.588785156250012,8.015215820312509,7.358599609375008,7.266297363281256,7.146185058593754,6.90132055664063,6.763877929687506,7.632665771484379,7.346338867187504,7.257054199218754,7.077334960937505,6.906006835937506,6.967087158203129,6.902693847656255,6.941598876953127,12.33439916992189,16.683558593750035,19.687719970703203,21.00110009765631,21.67819848632824,21.2027712402344,19.894062744140754,17.348581787109467,14.175269775390614,9.765715087890634,8.012011474609395,7.97640478515626,7.941136230468754,7.773848632812505,7.671541503906256,7.625383056640628
24.964012_121.51276,121.51276,24.964012,6.546553710937515,6.743561767578137,6.2716269531250015,6.575665039062511,6.777913574218757,7.145570312500017,6.745247558593753,6.7571005859375015,7.500113281250017,9.884100097656257,11.051502441406264,12.514549316406262,13.231658691406253,13.489101074218745,11.900231689453136,10.663472656250011,9.180013183593768,7.574423583984376,7.13632421875,7.0372458496093815,6.966675781250017,7.12478125000001,6.432698730468752,6.347419189453128,9.278475097656257,9.208743652343756,9.246976074218754,9.25497167968752,9.42826147460939,9.222049316406268,8.964540527343729,8.773160156250004,10.274072021484386,13.096418212890637,14.963660644531254,17.023772216796925,17.134841552734407,17.076253906250017,15.022203125000017,13.054867919921884,11.75069677734376,10.26266333007814,9.456158203125002,9.201973632812503,9.302964843749956,9.48817602539064,9.413119873046886,9.406475585937509,8.90547460937502,9.115322021484385,8.712972167968763,8.512300781250012,8.174380859375011,7.92569433593751,7.759183105468758,7.774897216796879,11.848978027343753,16.405941406250058,18.560454345703132,20.84533349609387,21.24200341796888,19.8394057617188,18.69659814453128,16.797771972656204,14.00505102539064,10.789640869140634,9.737917236328142,9.850495361328132,9.624065917968757,9.537640136718752,9.304493164062505,9.331065429687518,6.999628662109379,6.545545410156255,6.190593017578132,6.042780517578129,5.4734689941406325,5.187272705078134,4.9108469238281325,4.713442138671881,12.332702392578144,17.343850341796962,20.29008325195319,22.152929931640703,23.195269531249917,23.369750000000128,22.04565209960946,19.30925561523439,15.6958005371093,11.409969238281256,9.758938964843765,9.33450048828126,9.010499023437507,8.559723876953127,7.929360107421878,7.562354492187503,8.008771728515631,7.876036132812502,7.711475585937505,7.329325927734376,7.125628417968753,6.777962402343753,6.662782958984376,6.638376220703143,12.447020019531264,16.287865234375044,18.96336694335942,20.677943359375075,21.24954736328136,21.26952050781259,19.739051757812504,17.426751464843694,14.089457763671891,10.00748266601563,9.220700439453127,9.21508276367189,9.111773437500007,8.877572998046883,8.500993408203135,8.245127929687508
24.96408_121.533325,121.533325,24.96408,5.666259521484387,5.980396484375008,5.822793945312513,5.863946289062505,6.128559326171893,6.268191894531266,6.085605224609391,5.922770751953142,6.857936767578134,9.83384741210938,11.42373999023438,12.621904052734385,13.373092041015584,13.174910644531256,12.174415039062504,10.781918701171884,9.007184570312468,7.329043945312505,6.787364257812507,6.38970312500001,6.374532226562507,6.343372558593752,5.908311523437514,5.73497045898439,8.40138159179688,8.303046630859379,8.474313720703144,8.53410620117189,8.51254736328126,8.634358886718758,8.887917236328144,8.562063964843757,10.290419677734386,13.529329589843751,15.814491210937488,17.279062744140717,17.6879763183595,17.380567871093817,15.06599829101564,13.331196044921878,12.191713623046876,10.232695068359387,9.20584448242188,8.944996093750008,8.903798583984383,9.108447753906235,9.052234863281267,8.993042968750018,8.586984619140633,8.606558593750018,8.103443359375003,8.011426757812501,7.785429443359376,7.456717285156251,7.148628906250003,7.091878417968752,12.04626538085937,16.52518823242195,18.78979516601568,21.043199707031253,21.05181420898449,19.92054956054696,18.43518945312501,16.413321289062413,13.90313208007814,10.784068359375008,9.699698242187518,9.65920751953126,9.285176757812511,9.147992919921888,8.944164794921887,8.782347167968759,6.764378417968765,6.376550048828141,5.984451660156265,5.8101376953125135,5.518052734375014,5.2876462402343885,4.882872070312513,4.816558593750012,12.12836401367188,17.622170654297,20.476810546875107,22.38359399414075,23.22040795898439,23.199826904297,21.86039819335945,19.150675292968764,15.59440161132807,11.401508544921878,9.45243286132808,8.991864990234392,8.63970434570314,8.180379394531263,7.727852539062513,7.2074948730468895,7.47035131835939,7.259704345703137,7.190865234375008,6.809349121093761,6.644977783203138,6.289422363281266,6.249156250000012,6.138018554687508,12.067482177734371,16.515364013671952,19.12431665039071,21.02170068359389,21.49250146484376,21.158913818359466,19.72786767578128,17.529310546875028,14.128099121093763,10.276886962890645,9.111844238281254,8.821087402343752,8.616728271484394,8.30795117187496,8.028725341796894,7.578521484375018
24.964142_121.55386,121.55386,24.964142,5.445025390625019,5.5301718750000175,5.598221191406265,5.596193603515636,5.625878662109385,5.753770507812509,5.6668735351562605,5.7732736816406325,6.905553955078134,9.769340576171876,11.70215185546876,12.82647241210937,14.515548339843734,13.76437646484373,13.01705346679687,10.887593750000011,9.009372314453133,6.60401831054688,5.8344602050781385,5.583436035156267,5.726131347656264,5.658301757812514,5.472973388671903,5.486490234375018,8.064111083984386,8.086708740234384,8.116458496093756,8.198090576171877,8.144501708984377,8.066316894531251,8.336745361328141,8.389449218750016,10.734414062499972,14.151673339843752,16.279558349609413,17.915222412109507,18.76353784179696,18.335427490234384,16.286825195312517,14.124864257812517,12.215503906250008,9.679780029296888,8.768901123046877,8.746664794921877,8.468060058593757,8.414482177734381,8.406692871093755,8.394578613281254,8.237571777343762,8.377118896484381,8.087675537109384,8.07314672851563,7.987146972656254,7.90299780273438,7.743874267578133,7.722858642578132,12.296375488281267,17.028823486328236,19.99976708984377,21.9557509765626,21.8892202148438,20.611620117187503,19.02653588867195,16.798792968750075,13.969443115234393,10.529852050781264,8.937865966796888,8.86895361328126,8.604837402343763,8.49985571289064,8.459153808593765,8.292132324218764,6.568564208984376,6.340940917968752,6.158375000000002,6.183268798828126,6.069032958984376,5.887524169921876,5.919802734375004,6.006387695312518,12.41421118164063,18.192248779297,21.4668666992188,23.19144799804693,23.92656762695323,23.816415039062548,22.381684570312427,19.35839624023442,15.393161376953126,10.854747070312508,7.905302490234393,7.666658691406266,7.487529052734392,7.08339575195315,6.974881591796885,6.669852050781251,7.051453613281267,6.935019287109392,7.020961669921889,6.88431372070314,6.853742431640641,6.665557617187518,6.797082275390641,6.742957519531264,12.178365234375018,17.43328759765626,20.391993652343825,22.10515039062512,22.62414208984375,21.893292480468773,20.121129394531323,17.9526223144532,14.336224121093762,10.110929931640644,8.107360595703144,7.818265136718769,7.571133789062519,7.432375000000013,7.351774658203143,7.126801513671892
24.964203_121.5744,121.5744,24.964203,4.765298828125018,4.805164550781268,4.972695068359388,4.95934423828126,4.835091308593763,4.983349365234386,4.842433837890639,5.154274658203133,6.154604248046886,8.750145019531256,10.829297851562512,12.000111328124992,14.119289794921867,13.197436767578118,12.354121337890614,9.762342285156269,7.9332956542968835,5.782679199218754,4.953117431640641,4.875682128906267,4.940309814453141,4.928296875000016,4.862336181640642,4.874218505859392,7.567557128906256,7.490297607421881,7.444400390625005,7.594821533203125,7.572013671875016,7.442953857421876,7.540415039062527,7.616789306640643,9.979037841796876,12.995541748046884,15.259583984374991,17.39478173828129,18.21906298828119,17.288227294921825,15.863048339843736,13.653731445312506,11.41166479492188,9.005785888671884,8.335770019531266,8.242404541015642,7.837146972656252,7.634805664062507,7.69776831054688,7.618328613281256,7.620098632812511,7.626207031250009,7.6167185058593825,7.536131347656252,7.400547851562504,7.283581298828131,7.267813476562506,7.36646948242188,11.72951025390627,16.706206298828135,19.996695556640564,21.569288574218778,21.60761254882813,20.58604565429684,18.652610107421896,16.48686914062502,13.465463623046883,10.041576904296882,8.204390625000011,7.943827880859387,7.8249570312500145,7.794458984375015,7.806727050781265,7.730486816406263,5.945341552734377,5.734655517578129,5.59961401367188,5.594427246093754,5.496630615234378,5.335210937500004,5.4563193359375015,5.523669189453144,11.84380346679688,17.79412011718752,21.003268066406356,23.114477783203164,23.78778100585947,23.626672607421902,22.20917871093764,18.908925781249906,14.91743505859376,10.176230224609377,6.994118408203144,6.831746582031268,6.764721435546892,6.351177734375001,6.3163962402343765,6.014382080078128,6.2735495605468925,6.270365966796892,6.36488256835939,6.20393286132814,6.239230712890641,6.147146972656267,6.198936523437516,6.1586667480468895,11.72583715820314,16.937512451171937,20.172629638671896,21.973897949218845,22.614530273437506,21.623480224609292,19.9138686523438,17.58519921875003,13.686053222656254,9.497450927734386,7.146282714843767,6.947612060546892,6.732751464843772,6.595496337890636,6.460324462890644,6.460542968750016
24.964264_121.59494,121.59494,24.964264,3.957336181640643,4.009554199218766,4.0970517578125145,4.183425048828135,4.130798095703137,4.286138671875009,4.127259277343762,4.480105957031255,4.871532958984376,7.173856689453131,9.372978271484376,10.67760888671875,11.723388183593793,11.901487060546874,10.532408203125003,8.29863989257813,6.236489013671878,4.8725327148437545,4.042208007812516,4.003521484375017,4.09350073242189,4.145157226562515,4.161159423828139,4.084974121093766,7.025330566406251,6.860413574218751,6.910087890625012,7.076015380859389,6.992377685546889,6.888379882812516,6.895072998046891,7.05394018554689,8.340990966796895,11.11049902343751,13.72428979492186,16.440108886718782,16.81115380859383,16.06719506835937,14.593862548828117,12.18529760742189,9.835112060546894,8.078570312500009,7.6174533691406365,7.5381955566406385,7.2023642578125004,6.96553930664063,7.051666015625002,6.89172827148438,6.816137451171884,6.762082275390633,6.886459716796879,6.8637773437500025,6.76538427734375,6.703482421875001,6.6376572265625,6.790970214843767,10.990467285156267,15.589905029296856,19.13167138671876,20.225465332031387,19.85412744140631,19.506451416015576,17.846449218750067,15.407115722656249,12.391801513671885,9.337321533203127,7.409321044921882,7.111847900390637,6.952287353515639,6.928392089843764,6.923765625000013,6.926902832031261,5.040890869140644,4.855171142578151,4.625339111328125,4.5970441894531495,4.652046875000019,4.498981689453143,4.744825195312516,4.992494873046886,11.11442846679688,16.599886474609338,19.92808251953135,22.42234643554698,23.064850097656265,22.936417480468865,21.230257812500025,18.024686523437545,13.995000976562505,9.319853271484394,6.172632812500015,5.927537597656264,5.812376464843763,5.386036132812518,5.337765869140644,5.151030029296893,5.313143066406266,5.375523437500015,5.477914794921888,5.395018066406263,5.419849609375013,5.405312255859388,5.429471191406264,5.517784179687511,10.928934082031263,15.78486840820312,19.08568383789064,20.874391113281348,21.6046071777344,20.56249902343751,18.654336181640677,16.101737060546814,12.498187011718754,8.416944335937512,6.26990209960939,5.938591064453141,5.695327148437525,5.658059082031267,5.470478271484393,5.58789526367189
24.964302_121.61548,121.61548,24.964302,3.8496127929687662,3.972625488281263,3.928431152343765,4.078445800781259,4.165464843750008,4.208151611328131,4.200296386718757,4.5102744140625015,4.779777587890625,6.538465332031261,8.86734716796876,10.16007055664063,10.912513671874994,11.505277343749984,9.863432373046887,8.262511962890628,5.650849365234387,4.775855468750003,3.809522460937517,3.901016601562515,4.048443359375011,4.059589599609388,4.116150878906262,3.980984863281264,7.069864257812518,6.87342724609378,7.054642089843765,7.143212646484385,7.006276611328137,6.926126464843763,6.762190917968765,7.068891357421886,8.187895996093724,10.716818603515645,13.685553222656234,16.07527856445312,16.311063476562506,15.849242187499987,14.293124023437496,12.017223876953144,9.265920166015633,7.899928955078134,7.33263647460939,7.381648925781264,7.128186035156255,7.019992431640625,7.101315673828144,7.042854736328146,6.774866699218754,6.695472167968753,6.9155627441406535,6.91236791992189,6.809960693359391,6.631064208984392,6.60735571289064,6.774770263671887,11.140308593750014,15.359828124999984,18.43733056640632,19.722052246093828,19.800023437500077,19.352321777343683,17.630219970703184,15.426848388671868,12.401471923828131,9.342343505859397,7.3612106933593795,6.946672119140634,6.882278808593759,6.870378173828134,6.8654672851562575,6.893597167968756,4.971869873046884,4.863136962890633,4.607414306640636,4.532548583984384,4.547753662109385,4.4653696289062585,4.699362548828131,4.998873046875,11.356479248046892,16.398183593749902,19.883031250000112,22.398403564453243,23.061202636718782,22.709200683593853,21.061567626953156,17.97630151367194,13.956941894531251,9.26613989257814,5.956949218750007,5.765169433593756,5.590688232421882,5.268750976562511,5.209911865234386,5.070186523437509,5.200239013671886,5.287104248046885,5.319886230468756,5.283559326171882,5.262114013671883,5.411388916015631,5.355357421875007,5.551917480468753,11.053455566406258,15.523836914062496,18.67174218750013,20.44654321289068,21.40253686523439,20.72655297851568,18.514171386718807,15.998034912109375,12.268084472656254,8.323749755859383,6.022297119140638,5.635077880859389,5.534825195312515,5.426080078125016,5.343544677734388,5.44900976562501
