,lon,lat,mPET_v_11,Ta2_11,PET_v_11,WBGT_11,mPET_v_12,Ta2_12,PET_v_12,WBGT_12,mPET_v_13,Ta2_13,PET_v_13,WBGT_13,mPET_v_14,Ta2_14,PET_v_14,WBGT_14
24.963715_121.4306,121.4306,24.963715,43.52809472656234,30.647095,43.28809472656239,31.662419624328617,43.45845971679679,30.92746,43.24845971679683,31.94464507865906,43.64767114257798,30.806671,43.38767114257803,31.651597129821777,43.41142114257799,31.650421,43.11142114257805,32.96309624671936
24.963806_121.45114,121.45114,24.963806,44.10204492187496,29.821045,43.73204492187484,32.03132120513916,42.73354028320301,30.07254,42.33354028320309,32.244205694198605,44.29943749999994,29.898438,43.95643750000008,32.07426356315612,43.114641357421824,30.763641,42.65464135742172,33.35437220573425
24.963875_121.47168,121.47168,24.963875,44.36845117187488,29.637451,44.01845117187494,31.97594676971436,42.16754663085933,29.866547,41.42754663085928,32.151583005905145,43.66564843749984,29.764648,43.24564843749992,32.04389990997314,42.60398828125012,30.562988,42.30398828124987,33.27923867607117
24.963943_121.49225,121.49225,24.963943,44.06119555664074,30.019196,43.720195556640505,32.29848802566528,42.26821411132833,30.263214,41.704214111328056,32.42274304771423,43.71531640624991,30.174316,43.50531640624995,32.23858905982971,42.86557031249984,30.93457,42.33557031249994,33.55695834541321
24.964012_121.51276,121.51276,24.964012,43.35819726562492,30.877197,43.30819726562493,31.99096264839173,42.500882812499945,31.129883,41.92088281249986,32.140687807083125,43.6880458984374,31.097046,43.45804589843745,31.954456899642945,43.98951318359373,31.788513,43.89951318359375,33.27060870361328
24.96408_121.533325,121.533325,24.96408,43.40666284179678,30.835663,43.26666284179681,31.91652534866333,41.7065712890624,31.085571,41.1965712890625,32.04951172637939,43.36884057617184,31.06784,43.21884057617186,31.87887342262268,43.22113427734367,31.700134,42.62113427734359,33.20935074043274
24.964142_121.55386,121.55386,24.964142,42.38889184570303,29.807892,41.860891845703215,31.97943532943725,41.36869897460933,30.047699,40.68869897460927,32.031006858825684,43.00843408203108,30.057434,42.738434082031134,31.953607988357543,43.06968286132805,30.618683,42.70768286132813,33.199477447509764
24.964203_121.5744,121.5744,24.964203,41.02511499023432,28.624115,40.125114990234295,31.311447336196903,41.1188576660156,28.897858,40.31885766601556,31.34498106002808,41.61079858398426,28.949799,40.95179858398458,31.343741928100588,42.59240502929687,29.471405,42.17240502929676,32.51780904388428
24.964264_121.59494,121.59494,24.964264,40.10408715820305,27.633087,39.16408715820304,30.4832449131012,39.778290039062334,27.84729,38.98829003906249,30.469616189956664,41.21233666992183,27.901337,40.66233666992174,30.46614538002014,41.42349169921877,28.341492,40.922491699218654,31.63428541755676
24.964302_121.61548,121.61548,24.964302,40.35602319335924,27.555023,39.33602319335924,30.67386754798889,38.40105249023426,27.710052,37.75805249023448,30.65132785987854,39.84855078125008,27.78955,38.98055078124998,30.58302070808411,40.71171655273428,28.140717,39.891716552734245,31.723378124237065
