,lon,lat,T_11_0,T_11_1,T_11_2,T_11_3,T_11_4,T_11_5,T_11_6,T_11_7,T_11_8,T_11_9,T_11_10,T_11_11,T_11_12,T_11_13,T_11_14,T_11_15,T_11_16,T_11_17,T_11_18,T_11_19,T_11_20,T_11_21,T_11_22,T_11_23,T_12_0,T_12_1,T_12_2,T_12_3,T_12_4,T_12_5,T_12_6,T_12_7,T_12_8,T_12_9,T_12_10,T_12_11,T_12_12,T_12_13,T_12_14,T_12_15,T_12_16,T_12_17,T_12_18,T_12_19,T_12_20,T_12_21,T_12_22,T_12_23,T_13_0,T_13_1,T_13_2,T_13_3,T_13_4,T_13_5,T_13_6,T_13_7,T_13_8,T_13_9,T_13_10,T_13_11,T_13_12,T_13_13,T_13_14,T_13_15,T_13_16,T_13_17,T_13_18,T_13_19,T_13_20,T_13_21,T_13_22,T_13_23,T_14_0,T_14_1,T_14_2,T_14_3,T_14_4,T_14_5,T_14_6,T_14_7,T_14_8,T_14_9,T_14_10,T_14_11,T_14_12,T_14_13,T_14_14,T_14_15,T_14_16,T_14_17,T_14_18,T_14_19,T_14_20,T_14_21,T_14_22,T_14_23
24.963715_121.4306,121.4306,24.963715,22.702800048828,22.423025390625103,22.351839355468627,22.09695166015611,22.05849218749987,21.79015771484382,24.033619140624864,30.704963623047,36.59079370117174,41.15329248046872,42.85002465820297,44.73847924804674,44.04612084960932,44.65494653320297,43.27263574218743,41.77697412109365,36.53906396484373,32.30468286132809,27.12671484374989,24.386044677734272,23.897377685546772,23.434441894531133,23.193025878906127,23.030330566406143,22.10920141601549,21.832942871093834,21.875531982421755,21.8440537109374,21.69280737304677,21.439388183593643,24.118511718749957,30.76072900390629,35.61808740234371,39.35538842773441,42.23139550781248,42.209697509765554,42.18611840820295,40.47191308593744,39.35679467773424,38.03981347656234,33.97749169921872,29.057412597656228,25.455311035156267,23.16191625976549,22.84306860351549,22.566749511718843,22.58048803710925,22.360688232421747,23.10921606445301,22.64998168945317,22.47658129882816,22.42812841796861,22.13710668945312,21.91501562499997,24.29232421875,30.67608422851567,36.76301049804681,40.42743652343759,41.89327539062491,42.376711669921846,42.88410424804686,44.30404687499993,44.34271020507802,43.67802392578116,39.5950893554686,34.044719482421755,28.620777343749864,25.24395483398431,24.327615722656155,23.898281005859268,23.48364355468737,23.29980810546863,22.52082250976553,22.38887426757803,22.14119726562488,22.039219726562383,21.863444580078,21.768302978515504,23.49150488281248,28.893274169921945,32.89198022460925,37.49034448242182,41.50465478515616,42.82079858398437,43.74862573242181,43.51899438476545,41.00231079101575,36.25150537109359,32.025158935546884,28.45123437500002,25.52472875976561,23.404108642578013,23.113886474609263,23.156059326171796,22.984368652343672,22.713714355468657
24.963806_121.45114,121.45114,24.963806,20.319356445312447,19.996360839843668,20.02978369140619,19.85621801757806,19.796781982421816,19.65821874999993,22.789101318359357,30.796297851562564,37.47283349609371,41.82197778320303,43.86808129882802,45.477323242187445,44.44566064453112,44.55499658203112,43.23037622070306,41.40765771484372,36.15391015624984,30.76568994140628,25.7956113281249,22.24514501953111,21.650779541015684,21.08416479492185,20.758334716796835,20.569189208984344,20.178633789062463,19.900107177734327,19.942295898437465,19.76931127929684,19.75983129882809,19.672807373046847,22.90705786132801,29.631678710937614,35.00397485351557,39.20133813476549,42.08629174804672,42.19525537109372,41.23087304687485,40.90557397460923,38.66868212890645,37.00989648437484,32.62605004882804,28.226781250000037,24.483573974609254,21.373944091796893,20.82232519531248,20.56519750976558,20.52792822265621,20.35670385742184,20.712072509765598,20.30789770507805,20.15541113281243,20.15560644531244,19.84784033203116,19.684192871093654,23.01312719726559,31.186302734375065,37.59705712890608,41.087138916015554,42.26809594726552,42.75319360351556,43.92358056640625,45.33659448242183,45.49551049804673,43.37712060546871,39.98361596679684,32.86225488281238,27.302878173828,23.04279760742179,21.895977539062493,21.488555664062485,21.156021484374968,20.996863769531224,20.51410131835937,20.387308105468733,20.220556396484344,20.094374755859334,19.9198911132812,19.82937597656245,22.208470214843675,28.712127929687632,33.00864892578117,37.79192041015619,41.8176748046874,43.31742089843745,43.67568139648435,43.29967187499989,40.25587670898432,34.60707666015618,31.08141870117192,27.23760766601563,24.558826660156114,21.589292724609464,21.21304296875004,21.284893554687372,20.986935791015483,20.83796850585947
24.963875_121.47168,121.47168,24.963875,20.322800048828093,20.03938574218744,19.93450903320307,19.745867675781188,19.65656347656244,19.540918945312427,22.7044748535156,30.80058374023445,37.35767846679685,41.55024316406243,44.526469970703054,44.881573730468574,43.72407495117184,44.8059816894531,43.311198974609255,40.30882958984368,36.08752221679687,30.19065502929684,25.587973388671788,22.02425146484362,21.53868505859361,21.08517529296876,20.779195312499983,20.60039282226561,20.19701147460936,19.852889160156213,19.831153320312477,19.758582519531224,19.610976318359334,19.63493872070311,23.0732663574218,29.54972924804699,35.10802880859365,39.1236245117186,41.84532250976548,42.12354516601556,41.10106225585937,40.843976074218574,38.65739038085936,35.84937646484358,32.32339746093752,28.47639306640636,24.264275878906133,21.25428076171861,20.823619140625063,20.495837158203106,20.43620581054685,20.25511572265623,20.64093603515622,20.27121679687493,20.087054199218688,20.049772705078063,19.78693945312492,19.642416748046788,23.11553198242187,31.39267358398448,37.226645751953,41.23112329101549,42.67765527343747,42.861736083984255,44.32881005859362,45.57880517578109,44.705718017578064,42.84176269531263,38.83052392578119,31.82123925781264,26.953760742187548,22.8486472167968,21.77124755859377,21.37297705078124,21.10002416992185,20.960948242187488,20.501409179687588,20.300669921874988,20.14948339843748,20.068560546874977,19.93192114257809,19.907314208984342,22.459876464843724,28.45549951171886,33.17075952148424,37.86658593749989,41.79365380859362,44.0961879882812,43.49921289062495,42.70171777343745,39.1066921386718,34.091716552734354,30.92401391601569,27.450475097656323,24.270138916015483,21.40907690429674,21.204762939452998,21.156467041015507,20.942547363281125,20.885909179687385
24.963943_121.49225,121.49225,24.963943,20.669842285156204,20.46851293945306,20.26269140624993,20.01137426757804,19.997603515624924,19.84798193359366,23.03374487304683,30.72363061523438,36.65874047851562,41.245780273437376,44.38886376953109,44.417142578125,43.62652001953112,44.84378808593735,43.11837670898437,40.77471704101552,36.61071191406246,30.65115502929689,26.04896582031243,22.656419433593644,22.10254980468737,21.578728515625027,21.23506689453124,20.828025878906207,20.398715576171835,20.226839355468705,20.12903051757808,20.13904394531247,19.860982421874947,19.81990820312496,23.4647263183593,30.07237939453139,35.18924584960933,39.38437158203112,42.00635522460927,42.50750756835931,41.41680981445324,41.41126367187499,39.19373559570306,36.55491479492184,32.76948999023436,28.84249169921885,24.844963134765543,21.78878271484364,21.388053955078004,21.00179296875,20.787686523437475,20.67559667968748,20.99964453124995,20.69268164062492,20.49017797851555,20.369784912109296,20.167774414062404,20.11603857421866,23.38508886718748,31.64792626953133,37.06979272460936,41.31451440429681,43.50574609374989,43.37251123046862,44.36003564453119,45.31963769531245,45.746496093750125,43.01980249023423,38.1725942382812,32.46488671874997,27.481679443359244,23.39759374999995,22.307263916015696,21.82544897460936,21.501387695312463,21.25127539062496,20.759369873046865,20.547745117187468,20.40240942382809,20.407142089843724,20.306352294921847,20.270036376953097,22.72365698242184,28.962003417968877,33.26444848632804,37.84056909179685,41.179398437499856,43.531350341796816,43.51206445312484,42.10652490234369,39.34954614257807,34.268790771484525,31.213082519531294,27.650544677734437,24.4816286621094,22.03762670898428,21.650079101562383,21.589888671874885,21.27077124023424,21.096119140624864
24.964012_121.51276,121.51276,24.964012,23.05855566406238,22.77450292968736,22.55333911132819,22.336092285156244,22.24167431640625,21.97327612304686,24.28834936523436,30.837912841796932,37.60203393554684,42.32394433593733,45.36671557617208,45.56289697265618,44.19831445312493,45.19825341796873,42.72987329101549,41.02021630859362,36.689092041015584,31.45790551757825,27.1105527343749,24.448158935546772,24.098438476562404,23.78699438476552,23.46728857421863,23.186625732421746,22.424673828124877,22.26254492187488,22.08931494140612,22.04004248046863,21.636094482421903,21.55860327148424,24.347999023437435,31.022126708984395,36.42520654296861,40.05350244140616,42.66713525390618,42.703557373046735,41.33465283203128,41.09029077148421,38.91267114257795,36.2655837402345,32.622199707031335,29.345561767578143,25.729533447265496,23.310295166015504,23.11222021484365,22.93800390624989,22.635069335937363,22.572979492187372,23.448283447265496,23.076531250000027,22.908901611328197,22.73966528320319,22.50311499023437,22.402222412109385,24.899650634765504,32.10823999023437,37.187052246093685,40.83782275390633,42.95656640624997,42.62269067382811,43.01143212890624,45.20623193359371,45.99709619140621,42.94951440429676,37.681755615234245,33.352762695312336,28.46585668945309,25.38782812499995,24.671257080078043,24.266404785156144,23.90444189453113,23.656719726562372,22.77272436523428,22.596971191406144,22.47418798828114,22.518230957031165,22.258104003906144,22.026888183593627,23.99523754882821,29.24344018554693,34.08780419921866,38.47753564453125,40.81856225585926,42.67468530273425,43.24014550781237,41.17413110351552,38.069619384765616,34.55396752929685,31.6798720703126,28.793917480468814,25.64781835937499,23.55213354492178,23.35727880859365,23.320151123046788,23.12403417968741,23.050712646484293
24.96408_121.533325,121.533325,24.96408,22.888344482421736,22.57473999023441,22.297749999999983,21.99480566406246,21.9802219238281,21.72937353515621,23.962270263671822,30.943368164062587,37.25277978515607,41.982318359374894,44.492044921874985,44.482158447265554,43.99157495117182,44.38493066406242,41.97878198242185,40.19054931640631,35.806302734374896,31.070261474609467,26.811567138671755,24.172845214843637,23.90894995117176,23.56714941406237,23.24713891601572,23.001625488281327,22.43691381835926,22.14014624023424,21.8485751953125,21.68640478515625,21.60961474609385,21.46333715820299,23.972212890624885,30.769161376953058,36.19432153320303,39.48847802734394,41.74944604492178,41.764395996093576,40.62912377929679,40.57295190429679,39.33014916992181,35.5084255371093,32.39880517578124,29.08500634765619,25.737776855468635,23.14886572265612,22.90693334960925,22.77826147460925,22.527952636718613,22.47064306640612,23.39045385742175,23.123442138671734,22.902393554687364,22.596858154296907,22.417686523437496,22.313858886718798,24.687488769531114,32.091405273437495,37.40708276367177,41.37212670898428,42.86487695312499,42.79825341796871,43.229436279296834,44.69278466796861,44.59235131835947,42.09680200195296,37.04204736328121,33.09146630859361,28.0581101074218,25.20215429687493,24.761634277343685,24.35853124999991,23.97389379882802,23.70637548828114,22.683631347656146,22.48962866210926,22.25662084960924,22.188385986328,21.9366801757813,21.660717529296868,23.799531005859365,29.29176416015633,34.124530273437394,37.75892114257806,40.20967309570312,42.04307031249999,42.62356591796873,39.7666335449218,37.81739135742189,34.387002197265616,31.39905053710944,28.703269287109435,25.40856420898434,23.37375463867177,23.181482910156134,23.10889257812489,22.94407812499989,22.87208837890615
24.964142_121.55386,121.55386,24.964142,20.904085449218705,20.64367529296869,20.34251074218741,20.084825195312398,20.04122900390616,19.78407202148426,22.609548095703037,31.21958642578135,37.52509545898436,41.678054443359336,43.882768798828025,44.25499047851558,43.57329101562504,43.04729638671871,41.31840478515611,39.28706933593743,34.75358789062485,30.469944091796904,25.60380590820301,22.53046484374986,22.06062109375,21.68303198242185,21.318626464843707,21.018350585937444,20.621424316406216,20.371382812499963,20.155199951171813,19.883995117187418,19.837560791015555,19.719466308593677,22.49974584960932,29.69386987304697,35.26199609374992,38.92029687499994,40.86098168945301,41.21479150390619,40.19065087890625,40.27604638671871,39.136490722656205,35.36714135742179,32.36786157226563,28.53340356445321,24.87812841796868,21.848788818359257,21.27226904296874,21.064919189453104,20.73951391601558,20.6112680664062,21.31707006835933,21.090191406249957,20.78403662109369,20.48835668945305,20.37952978515617,20.248263916015546,23.07720800781244,31.75568017578136,36.89901367187513,41.06465966796872,42.15803979492181,42.64346215820312,42.2397329101562,43.34977441406242,43.04873681640613,41.17028833007811,35.72199853515622,31.85905664062512,26.654043945312413,23.360992187499907,22.876268066406144,22.365842041015483,21.91766333007811,21.64330908203123,20.890401367187486,20.656835693359344,20.53557714843746,20.39803320312496,20.228127197265565,19.92813330078117,22.40222509765617,28.81762353515637,34.03278466796869,37.7677993164062,39.8471193847655,41.52849267578114,41.64974267578122,39.36318017578123,37.58702929687508,34.03145410156233,31.23614648437506,28.10979394531264,24.625608886718613,21.952760986328,21.516170654296875,21.26338720703124,21.01395239257809,21.03584814453124
24.964203_121.5744,121.5744,24.964203,19.650412353515534,19.49197241210928,19.174469970703,18.913876708984237,18.843333496093816,18.64500952148436,21.47220092773441,30.059890380859407,36.70737939453122,40.38202172851545,42.718644042968656,43.13368554687494,42.53835473632809,41.92941308593743,40.39964624023437,38.18867700195303,33.77583032226545,29.33331323242189,24.499310058593625,21.150613769531237,20.6983041992187,20.434224609374947,20.06721289062492,19.742918457031152,19.49177465820305,19.43280004882807,19.17283300781241,18.844393066406127,18.81944189453113,18.758478759765516,21.298686279296746,28.598092285156294,34.70822778320298,38.470499511718586,39.62193139648429,40.14232324218744,39.072497802734574,39.49493188476552,38.53092919921861,35.01315820312496,31.841830078125064,27.907777343750137,23.454451416015733,20.703854736327983,20.01276831054683,19.8115280761718,19.543731445312407,19.415564941406146,19.98396704101553,19.765103515624897,19.57301611328115,19.371128906249886,19.34767187499989,19.149224609374883,22.00465429687489,30.676701904296948,35.49952783203116,38.92035913085936,40.32532861328113,41.36078979492204,41.207085205078045,42.2265749511718,42.260217529297016,40.03719018554686,34.5216896972656,30.65940698242198,25.4832333984374,21.95332006835925,21.37780981445312,20.98082983398434,20.688069824218697,20.41729467773431,19.842084716796837,19.67267797851557,19.612712158203077,19.41365209960931,19.272697509765543,18.96383032226551,21.31421728515611,28.00161157226573,33.50098901367175,36.59307885742186,38.17075341796875,39.7249782714842,40.360613037109374,38.58310449218741,36.04522851562488,33.33739770507808,30.89873193359376,26.82523583984384,23.528699707031247,20.70080786132812,20.33143286132808,19.992966064453054,19.75202490234366,19.782201904296805
24.964264_121.59494,121.59494,24.964264,19.052768310546835,18.832070068359315,18.521648925781165,18.297657226562404,18.05611425781238,17.910491699218618,20.58750781250004,28.206496826171907,34.8889895019531,40.08652490234365,41.45929833984369,41.7293317871094,41.39659204101558,40.82458032226553,39.65125390624989,36.9474453124999,33.291693359374904,28.09259252929677,23.357934082031345,20.49447900390635,20.010647949218725,19.868010009765605,19.46319799804683,19.128954833984317,18.925146240234344,19.122955078124868,18.77269384765623,18.36042944335931,18.31707617187494,18.24305029296869,20.37282080078111,26.6411831054688,32.72476708984361,37.661014160156384,39.34574487304685,39.42867578124986,38.47807275390616,38.57331201171859,37.74762109374998,34.19482202148427,29.978792968750103,26.885956054687632,22.04382177734369,19.92766088867173,19.484599365234363,19.162619384765577,18.901392578124927,18.802393554687427,19.324632324218683,19.07500708007805,19.002908691406198,18.817065185546813,18.773029541015568,18.534594482421813,21.39367407226556,28.96499047851573,36.27874658203124,38.33983300781244,39.651481201172025,40.91594384765614,40.371899658203,41.57641503906234,41.51505517578119,38.18831689453117,32.94743554687485,29.052649169921917,24.501923583984286,21.28098120117177,20.66133276367197,20.26558569335937,19.97173681640622,19.680716308593706,19.31515698242192,19.28556640625005,19.196533691406344,19.005708984374994,18.79834814453123,18.39410131835931,20.364963134765624,26.9599465332032,32.87196923828108,36.15372583007802,37.724139648437394,38.710259033203336,39.23476098632811,37.38938012695303,34.55102441406244,33.58261865234365,29.811695800781266,25.61179833984381,21.990030273437405,20.027229003906275,19.58736669921872,19.307300781249943,19.131365722656188,19.05223608398432
24.964302_121.61548,121.61548,24.964302,19.315711425781146,19.017637695312363,18.64937353515624,18.34869116210935,18.00806494140619,17.95496435546869,20.651119140624893,27.674988037109507,33.25507592773426,38.59514306640624,40.89003320312485,41.007622314453045,40.57702661132801,40.23359277343748,39.51729394531238,37.069364257812346,33.47967553710921,28.175379882812532,23.23737768554675,20.88268652343747,20.20981787109365,19.883852294921752,19.49637670898424,19.23266699218758,19.20181494140617,19.36797338867183,19.165943359374943,18.377369140625017,18.34239062500004,18.24914843750001,20.62165014648431,26.04014184570326,31.96741601562501,36.68223706054695,38.66268579101553,38.89375756835931,38.183646484374925,38.61275048828124,36.5678383789062,33.50923608398436,29.440704589843804,26.52764184570323,22.095243896484355,19.922759765624907,19.5741757812499,19.20802734375009,18.99007421875,18.96364306640632,19.31906347656249,18.9976779785156,18.983749023437507,18.7987705078125,18.62090917968748,18.51677465820311,21.39068212890622,28.739024902343846,36.00144067382798,40.57039941406241,40.6622709960938,41.76471704101552,41.04918115234365,41.44569970703108,40.93889746093761,37.48146582031253,33.18339624023433,29.117816406250085,24.653724121093724,21.431543945312463,20.837818359374943,20.278541015624896,19.901541015625103,19.42645117187498,19.363616699218657,19.53619116210931,19.320052246093677,19.2246433105468,18.938453124999896,18.548894531250088,20.684748291015552,26.85147851562508,32.14496240234372,36.436615234374834,37.945342041015465,38.765775390625,38.86752587890607,37.22073266601552,33.02766870117186,33.759308105468584,29.01897973632821,25.21002587890628,21.771220458984285,20.21332250976555,19.645245117187372,19.328117675781293,19.122999023437497,19.101513916015712
24.96437_121.63605,121.63605,24.96437,19.14452978515625,18.848963378906216,18.49828955078119,18.220688232421804,18.043995117187404,17.95424169921865,20.769024414062372,28.10769238281245,34.26394189453121,39.96863159179688,41.52386987304697,41.34665063476555,40.74737695312493,40.9002712402343,40.034662109374864,38.32562768554679,34.370693603515576,28.7941848144532,23.901056884765552,21.02855932617184,20.181805175781125,19.81068823242189,19.41331884765623,19.155625976562472,19.153720458984257,19.1311826171874,19.02119604492177,18.511915039062497,18.29546728515622,18.11951025390621,20.65864111328116,27.07581323242196,33.13059350585922,37.4876931152343,39.51172045898455,39.485479980468654,38.64667504882802,39.63065576171864,37.667934814453126,33.80750390624999,30.404854492187425,27.893436523437607,22.79675878906239,20.037505859374907,19.56148413085925,19.19434545898436,19.0732395019531,18.93028784179686,19.125230468749933,18.952480224609307,18.78949804687494,18.538660644531177,18.275796874999905,18.217764648437413,21.50047949218745,29.056651855468846,36.47465112304671,41.11193749999989,41.04587060546857,41.92004296874994,41.24751245117179,41.62298730468738,40.89837426757802,38.071915527343705,33.841765380859265,29.93981713867188,25.118122314453142,21.638813232421857,20.70709204101553,20.09738378906249,19.75048315429684,19.29381933593743,19.120503173828126,19.26765966796862,19.19433935546863,19.239909423828035,18.967406982421743,18.572369140624996,20.599175781249883,27.251466308593848,33.401162353515616,37.04777856445312,38.76606713867184,39.26855615234373,39.10435937499984,37.78919580078108,33.89292260742177,33.541045166015564,29.83589428710937,26.519269042968773,22.257486328124944,20.4683237304687,19.832002929687377,19.310280517578104,19.1436740722656,19.09332128906248
