,lon,lat,Time-2011-0,Time-2011-1,Time-2011-2,Time-2011-3,Time-2011-4,Time-2011-5,Time-2011-6,Time-2011-7,Time-2011-8,Time-2011-9,Time-2011-10,Time-2011-11,Time-2011-12,Time-2011-13,Time-2011-14,Time-2011-15,Time-2011-16,Time-2011-17,Time-2011-18,Time-2011-19,Time-2011-20,Time-2011-21,Time-2011-22,Time-2011-23,Time-2012-0,Time-2012-1,Time-2012-2,Time-2012-3,Time-2012-4,Time-2012-5,Time-2012-6,Time-2012-7,Time-2012-8,Time-2012-9,Time-2012-10,Time-2012-11,Time-2012-12,Time-2012-13,Time-2012-14,Time-2012-15,Time-2012-16,Time-2012-17,Time-2012-18,Time-2012-19,Time-2012-20,Time-2012-21,Time-2012-22,Time-2012-23,Time-2013-0,Time-2013-1,Time-2013-2,Time-2013-3,Time-2013-4,Time-2013-5,Time-2013-6,Time-2013-7,Time-2013-8,Time-2013-9,Time-2013-10,Time-2013-11,Time-2013-12,Time-2013-13,Time-2013-14,Time-2013-15,Time-2013-16,Time-2013-17,Time-2013-18,Time-2013-19,Time-2013-20,Time-2013-21,Time-2013-22,Time-2013-23,Time-2014-0,Time-2014-1,Time-2014-2,Time-2014-3,Time-2014-4,Time-2014-5,Time-2014-6,Time-2014-7,Time-2014-8,Time-2014-9,Time-2014-10,Time-2014-11,Time-2014-12,Time-2014-13,Time-2014-14,Time-2014-15,Time-2014-16,Time-2014-17,Time-2014-18,Time-2014-19,Time-2014-20,Time-2014-21,Time-2014-22,Time-2014-23
24.963715-121.4306,121.4306,24.963715,23.1760471191405,22.929350341796734,22.6242099609375,22.338785156249983,22.225262207031243,22.023580078124983,23.584687255859286,29.75005761718758,36.48928979492185,41.85596582031244,43.52809472656234,43.97048242187497,44.60900659179687,45.70472314453123,45.56269921874996,43.89325341796872,39.28068749999995,33.69300195312494,28.12001684570308,25.252782958984305,24.54065893554678,24.14936010742177,23.83762182617177,23.56485571289052,23.534821533203,23.19051855468736,23.02271337890611,22.733421142578184,22.55017431640625,22.40270361328126,23.966454833984297,31.087052246093823,38.30421655273428,43.066153808593725,43.45845971679679,43.286258789062416,43.22105737304672,43.595598388671874,43.6775734863281,40.53365747070303,37.3555627441407,32.96781030273433,28.161429199218663,25.350444091796785,24.67578710937489,24.443703369140525,24.15741674804677,23.864740966796763,23.020587646484408,22.70898779296875,22.49226293945315,22.27654150390624,22.131674560546863,21.858616699218715,23.59559912109365,31.513770996093758,38.47951318359358,42.16229394531243,43.64767114257798,43.04620507812498,42.72479150390624,42.56878686523421,41.287271972656185,40.3381374511718,35.61477807617175,32.66664941406271,27.51405981445304,25.052217773437416,24.40402807617177,24.053450683593635,23.71234472656238,23.34322851562486,24.05396093749989,23.75966772460926,23.53293920898425,23.315286621093616,23.174061035156114,23.00422949218736,24.660187744140572,32.384035888671846,37.94611718749988,41.98523095703118,43.41142114257799,43.3467885742186,42.73445092773429,42.83007348632803,43.79256249999988,40.43541064453146,38.08016381835934,32.90934960937485,28.81354101562492,26.197416748046816,25.38910009765616,25.025124267578025,24.660508789062398,24.39003027343739
24.963806-121.45114,121.45114,24.963806,20.90236791992184,20.671967529296825,20.473844970703063,20.101645263671788,19.91254736328116,19.833964599609285,22.14303320312486,30.40562280273448,37.656351562500106,42.442120605468624,44.10204492187496,44.501434570312384,44.39067163085923,45.07381372070305,45.693473144531175,42.82230859374997,37.5372951660155,32.611369873046804,26.801108154296827,23.179715332031147,22.18112231445322,21.847873291015624,21.460406249999977,21.118250488281216,21.40569433593746,21.12844824218745,20.89356420898432,20.540552734374927,20.39825659179679,20.27260473632804,22.530853027343618,30.672760253906343,37.26568749999998,41.21031518554687,42.73354028320301,42.50366113281239,42.356731201171705,42.96377221679678,42.37239404296874,39.79151953125002,36.38388574218746,31.943880859375064,26.856742919921796,23.11182543945317,22.387967285156225,22.092201904296854,21.836219238281224,21.59078466796872,20.544274658203047,20.38733251953117,20.21959814453117,20.090263427734293,19.990347656249916,19.71885595703113,22.11260424804694,31.354863525390694,38.35269555664054,41.70474877929673,44.29943749999994,43.12968896484374,42.638102050781086,43.10015405273428,42.02997216796872,41.04335839843747,36.24391748046868,31.46181396484369,26.012560791015524,22.647145751952998,21.780993408203106,21.381879638671837,21.05152441406245,20.76172460937493,21.94477148437498,21.76257299804686,21.528591064453096,21.31768286132809,21.119062255859333,21.030063232421835,23.487168945312437,32.11312402343753,37.24111108398425,41.40523339843738,43.114641357421824,43.254243408203,41.72782861328116,42.97987084960925,43.00105981445295,40.1584694824217,37.624980712890455,32.09024682617188,27.29657202148429,23.930839599609254,23.18179663085937,22.684313720703106,22.358658203124968,22.116064208984344
24.963875-121.47168,121.47168,24.963875,20.855268310546837,20.67494848632808,20.56395727539058,20.09387426757804,19.919524902343657,19.822898925781168,22.263604492187383,30.35491357421886,37.61299462890624,42.31286035156237,44.36845117187488,44.78284692382811,43.33188012695295,44.21580346679674,44.26266870117184,42.16261010742175,37.16464990234365,32.31365624999995,26.52880712890619,22.817538818359257,22.12087866210924,21.77916699218756,21.49260595703124,21.066635498046843,21.391373046874968,21.116365722656205,20.877787841796824,20.68005468749995,20.48279516601556,20.354600585937437,22.624202636718643,30.10328149414064,36.27240624999995,40.23844140624995,42.16754663085933,41.94276513671871,40.90307885742175,42.541849609374935,41.40475976562491,39.20510522460923,35.64292016601548,31.48595605468753,26.49281347656239,22.95344946289064,22.279374755859347,21.99761816406248,21.7345236816406,21.514815429687463,20.48062353515617,20.289877685546788,20.276231445312437,20.02320654296867,20.024163574218672,19.683771728515516,22.257673095703005,31.119657226562545,38.16450097656243,41.14009545898431,43.66564843749984,42.62601220703111,42.06837548828116,42.81910058593744,42.305057617187366,40.85879052734371,37.28332055664053,31.33074731445313,25.833962158203025,22.51849462890612,21.786846679687493,21.35723364257809,20.99831030273432,20.69556249999993,21.945697998046857,21.85681494140625,21.53974340820311,21.316982177734342,21.12604223632809,21.049402832031216,23.46262304687493,31.224367919921978,36.68622216796872,40.98328759765618,42.60398828125012,42.85132226562492,41.9878408203125,43.29702172851559,42.33437768554678,40.2831997070312,37.0588955078124,31.95738793945318,27.219163574218683,23.68122290039049,23.089759033203165,22.60889624023436,22.28699316406247,22.140175537109357
24.963943-121.49225,121.49225,24.963943,21.217365478515568,21.14044165039057,20.962198242187444,20.56342749023429,20.373464111328037,20.23566748046866,22.484616455077983,30.64923120117197,37.47334497070303,42.290810791015566,44.06119555664074,45.28306420898434,43.85364526367187,43.93652001953125,43.90765649414055,42.02806542968749,38.58964624023428,32.58297143554684,26.783381103515552,23.32166357421865,22.57381323242175,22.132175048828124,21.821022705078104,21.48760351562496,21.828141845703097,21.625534423828093,21.45308935546872,21.25253759765621,20.972087158203077,20.91382055664058,23.21612768554679,30.10738427734385,35.8247292480468,40.10308496093735,42.26821411132833,42.40343164062494,41.10140527343741,42.51305200195296,41.83780786132802,39.365897460937376,35.64511376953117,31.94338647460941,26.94319189453114,23.47047827148424,22.831137451171863,22.45318579101561,22.146469482421843,21.866314453124957,20.78244604492177,20.64601416015615,20.630892089843663,20.4104599609374,20.328844970703024,20.11000952148426,22.64649511718737,30.66686303710944,37.62057885742179,41.47709863281245,43.71531640624991,42.74554956054679,42.67985498046861,41.979570556640624,43.21508569335932,41.390471435546814,38.464603515624965,31.84215478515627,26.461962646484317,23.06220068359364,22.334739746093742,21.71992285156246,21.39770239257806,21.06656103515617,22.42900732421874,22.31731494140628,22.102552246093747,21.851967529296854,21.61044775390621,21.46723730468746,23.68299291992178,31.38884667968756,36.972878662109366,41.26313989257808,42.86557031249984,42.97361596679684,42.2738063964842,42.96858178710929,41.98101831054671,40.57731225585936,37.3259597167968,32.44741479492179,27.69257421874994,24.10970434570301,23.594177001952996,23.153159179687503,22.78422949218748,22.665722412109368
24.964012-121.51276,121.51276,24.964012,23.39493872070319,23.222677734375026,23.006529296875005,22.741618408203117,22.60748388671874,22.500755371093742,24.03649999999991,30.626922851562632,38.562407470702965,42.501469970702985,43.35819726562492,44.64032128906238,45.52900048828109,45.15803979492181,43.91036279296867,41.44385156249992,38.611185546874935,33.31951562499985,27.86617529296864,25.25581884765616,24.6752402343749,24.300164550781133,23.937734130859244,23.71310400390612,23.837095458984464,23.604794677734237,23.31758740234377,23.123874267578124,22.946739257812496,22.80884521484377,24.468163818359297,30.462367187500035,36.25689013671883,40.59090356445305,42.500882812499945,42.75324365234359,41.52018286132813,42.57507470703108,42.32503930664063,39.64132714843733,36.45224877929687,32.74443627929674,28.12751074218736,25.574490722656147,24.842571777343625,24.51032446289049,24.21655053710948,23.90845947265627,23.15521948242185,23.057657226562483,22.92855078125,22.701680664062486,22.54027197265623,22.28455053710934,24.09857275390616,30.388591552734432,38.94259936523448,42.88244531249984,43.6880458984374,44.24330346679688,42.8296120605467,42.56058129882799,43.2392641601562,41.48228173828117,39.69314111328121,32.755725341796726,27.751426757812418,25.183501953124907,24.56168920898425,24.19361303710924,23.83817041015627,23.535066894531244,24.289461425781127,24.152316650390507,23.93295507812488,23.68148535156236,23.437532714843744,23.3327060546875,24.813820556640525,31.52231347656261,38.17995507812492,42.19132348632807,43.98951318359373,44.09693749999992,42.70613916015617,43.3786235351564,42.1803811035156,40.74820458984371,37.8202993164061,33.368460937499975,28.97205908203117,26.15767919921868,25.48714086914053,25.161180175781144,24.867842773437385,24.62885961914051
24.96408-121.533325,121.533325,24.96408,23.29664575195313,23.085726074218744,22.86884619140624,22.54204931640622,22.459928955078105,22.31997534179685,23.716048339843635,30.70148559570312,38.35306054687487,41.90828759765622,43.40666284179678,44.66411767578112,44.92244287109369,44.33437036132801,43.12694238281234,40.876887451171946,37.32614648437496,32.75740624999993,27.693648437499885,25.03484838867177,24.47353491210926,24.225812744140505,23.833982910156116,23.514948486328173,23.68138769531249,23.391082519531235,23.18832373046873,22.954393066406222,22.785936035156222,22.642138427734352,24.09529638671862,30.135154296874923,35.778166748046765,39.59939965820304,41.7065712890624,42.15337915039057,41.03959130859364,42.03751855468742,41.88148950195301,39.29180078124988,36.44297631835934,32.53156274414055,28.01883886718737,25.454311279296768,24.748208984374862,24.434476562500105,24.128807861328152,23.83583715820312,23.163840087890616,22.898394531249977,22.822979492187493,22.4928244628906,22.263879150390583,21.98212499999994,23.65559790039049,30.531257568359457,38.70148461914047,41.911612792968576,43.36884057617184,43.20080346679687,41.15240502929681,42.174078613281154,42.55310937499989,40.9297033691408,37.84028588867179,32.699114013671746,27.61505102539053,25.022254394531146,24.253010253906336,23.944507324218783,23.664501708984368,23.442404541015616,24.15857763671861,24.02976416015612,23.75764941406257,23.46941137695311,23.274217285156222,23.118730224609347,24.46504467773444,31.154391113281317,37.91564355468746,41.69306665039045,43.22113427734367,43.64001489257811,42.03909570312482,43.1162331542967,41.645782714843584,40.39610742187499,37.64385888671859,33.51849267578119,28.8362058105468,25.94470434570304,25.245884765624886,24.99751074218738,24.697631591796743,24.521628173828
24.964142-121.55386,121.55386,24.964142,21.38820043945306,21.23080175781244,20.984045166015555,20.695101074218663,20.596764892578047,20.36635351562491,22.18400976562498,30.81321997070304,37.76187280273439,41.22192895507804,42.38889184570303,43.66338891601547,43.50230810546885,43.02081445312493,42.63822290039052,40.29153710937487,36.48275781249989,31.72666406250009,26.398290771484263,23.174660400390486,22.56939672851561,22.36418676757811,22.011246093749968,21.65588354492182,21.83282202148431,21.483565429687424,21.361181396484305,21.15319189453117,21.022677978515546,20.893700927734297,22.817430419921887,29.32033837890621,35.308449951171866,39.19392846679686,41.36869897460933,41.25600610351554,40.44976708984374,41.36798242187483,41.18328515625,38.93092309570304,35.5315224609374,31.489950683593705,26.870042480468644,23.558980957031288,22.998879150390604,22.63433203124996,22.281636718749947,22.004849609374936,21.118216308593663,20.868620361328027,20.71082617187491,20.4893271484374,20.36273779296864,20.040688232421736,22.084139160156205,30.840394531250094,38.32374047851556,41.15000390624999,43.00843408203108,42.60506127929676,40.5183395996095,41.514383789062485,41.41656274414052,40.1937478027343,36.60565454101555,32.00874414062503,26.390557617187422,23.11054296874986,22.11919775390618,21.865706542968677,21.686375488281172,21.476231445312425,22.372358154296837,22.27112402343747,22.04115087890621,21.78078100585932,21.701374267578068,21.50416601562493,23.243387207031237,30.642116943359493,37.56433984374984,41.64097192382796,43.06968286132805,43.28624536132796,41.75224633789047,42.56314721679678,41.37993310546859,39.89875146484359,37.199676757812384,32.549427734374895,27.296680664062404,24.043332275390483,23.290380615234344,23.07208715820309,22.82128027343745,22.786150878906227
24.964203-121.5744,121.5744,24.964203,20.177546142578013,20.09155981445302,19.91431494140615,19.685208496093647,19.51935522460927,19.287945312499875,21.172758544921816,29.870240722656387,36.47191796874986,39.74572534179687,41.02511499023432,41.87932153320307,41.87507226562488,42.71373437499994,41.78590234375019,39.00142724609362,35.40320092773425,30.68711572265635,25.07096044921886,21.772865966796854,21.019096435546796,20.937433837890552,20.79482641601556,20.45221899414053,20.53907690429676,20.33235083007801,20.252732910156144,20.004682373046755,19.915590576171752,19.76289038085925,21.82342016601559,28.178247314453237,34.569121337890564,38.9320192871092,41.1188576660156,41.38758325195296,39.52436425781243,40.78315087890614,40.324076171874935,37.92822167968739,34.35106958007803,30.13761743164073,25.35753393554686,22.10827978515621,21.65511816406244,21.29583837890616,20.98805395507802,20.70478735351551,20.00189306640612,19.86360815429675,19.673727783203,19.531160644531127,19.353747314452985,18.99408789062498,21.11494116210929,29.497418457031277,37.35432641601557,39.87170190429672,41.61079858398426,41.41947534179676,40.11506127929671,41.14538989257816,40.9484731445312,38.37846337890611,35.309378906249975,30.58994775390639,25.2099082031249,21.714985107421857,20.832635253906133,20.526479248046744,20.449617675781127,20.18282080078112,21.236474365234297,21.142320312499933,20.98023046874993,20.761089843749915,20.66327246093742,20.40918676757802,22.38006079101559,29.492704101562584,36.78264184570312,41.42794335937486,42.59240502929687,42.09848901367172,41.53330590820296,41.91849999999997,41.04294335937486,38.94360595703132,35.76763574218745,30.97304589843753,25.885858154296955,22.634598144531218,21.963119873046804,21.70686010742179,21.54531958007804,21.57892675781244
24.964264-121.59494,121.59494,24.964264,19.484915527343663,19.46935644531243,19.341958984374944,19.12879614257808,19.009686035156204,18.678307861328047,20.40515478515621,28.377145019531294,35.87832299804688,39.40649682617175,40.10408715820305,40.264043212890485,40.44385888671868,41.58038598632805,40.81842187499998,36.72903588867175,34.01394677734368,29.33667260742194,23.823313964843734,20.94367285156248,20.14508154296866,20.01923803710929,19.969203857421807,19.66990332031241,19.675278076171764,19.545988525390527,19.549522460937418,19.274870361328027,19.11671606445302,18.967769531249893,21.00152441406248,27.0617629394532,32.9142226562499,37.21195581054685,39.778290039062334,40.40963647460953,38.20656640624997,38.967021728515455,38.58637841796862,36.13846093749982,32.992007080078096,28.59011254882816,24.03613134765619,21.076097167968683,20.620585693359285,20.37176489257803,20.03651342773426,19.80725439453113,19.21408544921864,19.19155981445304,18.960256103515533,18.888847412109293,18.715859130859275,18.243926269531308,20.369037841796818,27.44561791992189,34.495317626953074,40.17060083007812,41.21233666992183,40.93569726562495,39.654754882812384,40.15968164062497,39.92372949218742,37.46845605468733,34.359428955078094,29.373081298828232,23.96837255859361,20.93286230468749,20.012905029296768,19.767245849609257,19.648769287109268,19.357476562499883,20.3641501464843,20.25469702148431,20.17785498046869,20.04665014648432,19.921315673828072,19.57947851562491,21.37117773437496,28.367331787109435,34.53160180664048,39.44446435546861,41.42349169921877,41.30188378906247,40.88070214843741,40.158052001953,39.784497314453,37.33760522460926,33.465324951171844,29.12208642578133,24.540196289062465,21.70401342773433,21.043501953124924,20.758726562499906,20.582273925781152,20.656164306640555
24.964302-121.61548,121.61548,24.964302,19.533660644531235,19.47460302734376,19.428271240234235,19.26493261718737,19.156239990234244,18.77319555664062,20.510617431640483,27.60236962890636,34.494183593749874,39.58960961914046,40.35602319335924,40.26595971679672,38.97046044921873,40.783572265625104,40.12727197265612,36.7976650390625,33.75185205078118,29.151526123046956,23.753825439453,20.752247070312364,20.051172851562463,19.897790283203086,19.72686132812496,19.63250463867185,19.63549902343745,19.542037109374963,19.56468603515623,19.3172873535156,19.18256079101559,19.00848608398433,21.16852270507801,26.736368652343803,31.92711450195322,35.9825759277342,38.40105249023426,38.33952636718754,36.77622143554693,38.18952783203117,37.69791528320312,35.79642602539047,32.62082275390625,28.30598291015628,23.89737280273433,20.82545385742184,20.278437255859306,20.148233398437444,19.767236083984297,19.54309301757804,19.037615722656188,19.15743017578124,18.90930029296873,18.740435546874977,18.613976806640583,18.16888525390616,20.52535742187486,27.172697998046885,32.91259545898422,38.2160061035156,39.84855078125008,40.14460229492176,38.990105224609344,38.59062768554671,39.07923364257796,36.89704248046864,33.92988598632827,29.21933618164074,24.061567138671798,20.59043750000004,19.70393530273431,19.37837011718742,19.375770019531185,19.17474218749994,20.204817871093717,20.188487304687488,20.13610083007812,20.099607666015714,19.9078044433594,19.570704101562463,21.217913574218727,28.004123779296904,33.91402734374996,37.93294580078117,40.71171655273428,40.85977416992195,39.61387597656241,39.82460717773425,39.29901879882802,36.677663818359306,32.825952392578266,28.80275048828133,24.37055517578124,21.407208007812493,20.840132812499963,20.46716040039056,20.31726660156243,20.409344238281204
