月份,縣市代碼,縣市名稱,鄉鎮代碼,鄉鎮名稱,村里名稱,用電量_2012
7,63000,臺北市,6300100,松山區,民有里,--
7,63000,臺北市,6300100,松山區,東榮里,40
7,63000,臺北市,6300100,松山區,民福里,--
7,63000,臺北市,6300100,松山區,富錦里,--
7,63000,臺北市,6300100,松山區,精忠里,228
7,63000,臺北市,6300100,松山區,三民里,293
7,63000,臺北市,6300100,松山區,中華里,--
7,63000,臺北市,6300100,松山區,東昌里,--
7,63000,臺北市,6300100,松山區,龍田里,--
7,63000,臺北市,6300100,松山區,莊敬里,40
7,63000,臺北市,6300100,松山區,新益里,--
7,63000,臺北市,6300100,松山區,新東里,--
7,63000,臺北市,6300100,松山區,敦化里,2510931
7,63000,臺北市,6300100,松山區,吉仁里,1434280
7,63000,臺北市,6300100,松山區,復建里,1553933
7,63000,臺北市,6300100,松山區,復源里,1075068
7,63000,臺北市,6300100,松山區,中正里,2343448
7,63000,臺北市,6300100,松山區,中崙里,7175
7,63000,臺北市,6300100,松山區,松基里,--
7,63000,臺北市,6300100,松山區,富泰里,--
7,63000,臺北市,6300100,松山區,鵬程里,--
7,63000,臺北市,6300100,松山區,美仁里,--
7,63000,臺北市,6300100,松山區,新聚里,--
7,63000,臺北市,6300100,松山區,自強里,--
7,63000,臺北市,6300100,松山區,福成里,--
7,63000,臺北市,6300100,松山區,介壽里,--
7,63000,臺北市,6300100,松山區,東光里,3080
7,63000,臺北市,6300100,松山區,東勢里,5676
7,63000,臺北市,6300100,松山區,安平里,21720
7,63000,臺北市,6300100,松山區,復勢里,1338
7,63000,臺北市,6300100,松山區,吉祥里,2640
7,63000,臺北市,6300100,松山區,復盛里,17699
7,63000,臺北市,6300100,松山區,慈祐里,76519
7,63000,臺北市,6300200,信義區,興雅里,1045
7,63000,臺北市,6300200,信義區,敦厚里,912
7,63000,臺北市,6300200,信義區,中行里,772066
7,63000,臺北市,6300200,信義區,中坡里,559829
7,63000,臺北市,6300200,信義區,六藝里,576695
7,63000,臺北市,6300200,信義區,大仁里,985324
7,63000,臺北市,6300200,信義區,黎平里,2344900
7,63000,臺北市,6300200,信義區,五全里,1500427
7,63000,臺北市,6300200,信義區,大道里,1964777
7,63000,臺北市,6300200,信義區,松友里,1792702
7,63000,臺北市,6300200,信義區,松光里,1688344
7,63000,臺北市,6300200,信義區,廣居里,2750448
7,63000,臺北市,6300200,信義區,雙和里,1587772
7,63000,臺北市,6300200,信義區,永春里,1632423
7,63000,臺北市,6300200,信義區,四維里,1480635
7,63000,臺北市,6300200,信義區,黎順里,1566368
7,63000,臺北市,6300200,信義區,國業里,2312498
7,63000,臺北市,6300200,信義區,黎忠里,1450208
7,63000,臺北市,6300200,信義區,長春里,1465760
7,63000,臺北市,6300200,信義區,景勤里,1256051
7,63000,臺北市,6300200,信義區,景聯里,1382794
7,63000,臺北市,6300200,信義區,松隆里,547932
7,63000,臺北市,6300200,信義區,富台里,1455868
7,63000,臺北市,6300200,信義區,嘉興里,1190500
7,63000,臺北市,6300200,信義區,永吉里,4764
