月份,縣市代碼,縣市名稱,鄉鎮代碼,鄉鎮名稱,村里名稱,用電量
2,63000,臺北市,6300100,松山區,精忠里,--
2,63000,臺北市,6300100,松山區,東榮里,4480
2,63000,臺北市,6300100,松山區,富錦里,5111
2,63000,臺北市,6300100,松山區,東昌里,--
2,63000,臺北市,6300100,松山區,敦化里,679
2,63000,臺北市,6300100,松山區,復源里,561
2,63000,臺北市,6300100,松山區,民有里,5463
2,63000,臺北市,6300100,松山區,吉仁里,2539
2,63000,臺北市,6300100,松山區,復建里,3104
2,63000,臺北市,6300100,松山區,民福里,74756
2,63000,臺北市,6300100,松山區,新東里,929071
2,63000,臺北市,6300100,松山區,介壽里,906320
2,63000,臺北市,6300100,松山區,三民里,727792
2,63000,臺北市,6300100,松山區,福成里,677085
2,63000,臺北市,6300100,松山區,慈祐里,2002794
2,63000,臺北市,6300100,松山區,莊敬里,635990
2,63000,臺北市,6300100,松山區,新益里,804490
2,63000,臺北市,6300100,松山區,鵬程里,1270644
2,63000,臺北市,6300100,松山區,松基里,1528408
2,63000,臺北市,6300100,松山區,美仁里,858618
2,63000,臺北市,6300100,松山區,東勢里,1175289
2,63000,臺北市,6300100,松山區,中華里,1010183
2,63000,臺北市,6300100,松山區,中崙里,1005261
2,63000,臺北市,6300100,松山區,龍田里,1603104
2,63000,臺北市,6300100,松山區,復勢里,1714480
2,63000,臺北市,6300100,松山區,自強里,2139564
2,63000,臺北市,6300100,松山區,中正里,1185483
2,63000,臺北市,6300100,松山區,復盛里,1601760
2,63000,臺北市,6300100,松山區,新聚里,2280649
2,63000,臺北市,6300100,松山區,吉祥里,2560546
2,63000,臺北市,6300100,松山區,安平里,2291560
2,63000,臺北市,6300100,松山區,東光里,2030785
2,63000,臺北市,6300200,信義區,松友里,40
2,63000,臺北市,6300200,信義區,中行里,3536
2,63000,臺北市,6300200,信義區,廣居里,6248
2,63000,臺北市,6300200,信義區,黎平里,60
2,63000,臺北市,6300200,信義區,黎忠里,--
2,63000,臺北市,6300200,信義區,長春里,6160
2,63000,臺北市,6300200,信義區,四維里,--
2,63000,臺北市,6300200,信義區,永春里,7600
2,63000,臺北市,6300200,信義區,大道里,--
2,63000,臺北市,6300200,信義區,大仁里,--
2,63000,臺北市,6300200,信義區,松光里,1573
2,63000,臺北市,6300200,信義區,中坡里,4057
2,63000,臺北市,6300200,信義區,國業里,2039
2,63000,臺北市,6300200,信義區,松隆里,--
2,63000,臺北市,6300200,信義區,五全里,40
2,63000,臺北市,6300200,信義區,敦厚里,295
2,63000,臺北市,6300200,信義區,黎安里,2282
2,63000,臺北市,6300200,信義區,嘉興里,18960
2,63000,臺北市,6300200,信義區,景勤里,3240
2,63000,臺北市,6300200,信義區,安康里,18276
2,63000,臺北市,6300200,信義區,新仁里,5264
2,63000,臺北市,6300200,信義區,富台里,2503
2,63000,臺北市,6300200,信義區,興雅里,3826
2,63000,臺北市,6300200,信義區,六藝里,4238
2,63000,臺北市,6300200,信義區,黎順里,11160
2,63000,臺北市,6300200,信義區,五常里,856779
2,63000,臺北市,6300200,信義區,景聯里,247206
2,63000,臺北市,6300200,信義區,四育里,1254760
2,63000,臺北市,6300200,信義區,興隆里,255586
2,63000,臺北市,6300200,信義區,雙和里,577327
2,63000,臺北市,6300200,信義區,雅祥里,1147836
2,63000,臺北市,6300200,信義區,西村里,937370
2,63000,臺北市,6300200,信義區,正和里,1222090
2,63000,臺北市,6300200,信義區,中興里,875111
2,63000,臺北市,6300200,信義區,惠安里,1645151
2,63000,臺北市,6300200,信義區,景新里,1891299
2,63000,臺北市,6300200,信義區,泰和里,2027001
2,63000,臺北市,6300200,信義區,三犁里,1906756
2,63000,臺北市,6300200,信義區,三張里,2604377
2,63000,臺北市,6300200,信義區,六合里,2321405
2,63000,臺北市,6300300,大安區,通安里,1801
2,63000,臺北市,6300300,大安區,臥龍里,2483
2,63000,臺北市,6300300,大安區,福住里,569
2,63000,臺北市,6300300,大安區,錦華里,733
2,63000,臺北市,6300300,大安區,新龍里,--
2,63000,臺北市,6300300,大安區,龍陣里,--
2,63000,臺北市,6300300,大安區,臨江里,--
2,63000,臺北市,6300300,大安區,法治里,2821
2,63000,臺北市,6300300,大安區,義安里,15161
2,63000,臺北市,6300300,大安區,龍泉里,--
2,63000,臺北市,6300300,大安區,昌隆里,--
2,63000,臺北市,6300300,大安區,龍淵里,--
2,63000,臺北市,6300300,大安區,龍門里,--
2,63000,臺北市,6300300,大安區,敦安里,--
2,63000,臺北市,6300300,大安區,敦煌里,--
2,63000,臺北市,6300300,大安區,全安里,4678
2,63000,臺北市,6300300,大安區,龍圖里,792
2,63000,臺北市,6300300,大安區,龍生里,1778
2,63000,臺北市,6300300,大安區,義村里,4709
2,63000,臺北市,6300300,大安區,車層里,75721
2,63000,臺北市,6300300,大安區,建倫里,11205
2,63000,臺北市,6300300,大安區,通化里,9610
2,63000,臺北市,6300300,大安區,光武里,9482
2,63000,臺北市,6300300,大安區,民輝里,80512
2,63000,臺北市,6300300,大安區,古莊里,37045
2,63000,臺北市,6300300,大安區,誠安里,519814
2,63000,臺北市,6300300,大安區,建安里,24173
2,63000,臺北市,6300300,大安區,華聲里,1392932
2,63000,臺北市,6300300,大安區,學府里,281700
2,63000,臺北市,6300300,大安區,仁慈里,1529738
2,63000,臺北市,6300300,大安區,龍雲里,1168720
2,63000,臺北市,6300300,大安區,古風里,400402
2,63000,臺北市,6300300,大安區,錦安里,579786
2,63000,臺北市,6300300,大安區,群英里,1479066
2,63000,臺北市,6300300,大安區,住安里,1118535
2,63000,臺北市,6300300,大安區,龍坡里,771212
2,63000,臺北市,6300300,大安區,群賢里,1414193
2,63000,臺北市,6300300,大安區,正聲里,1597737
2,63000,臺北市,6300300,大安區,黎元里,849505
2,63000,臺北市,6300300,大安區,光信里,1380705
2,63000,臺北市,6300300,大安區,光明里,917233
2,63000,臺北市,6300300,大安區,永康里,989660
2,63000,臺北市,6300300,大安區,仁愛里,2650387
2,63000,臺北市,6300300,大安區,德安里,1874807
2,63000,臺北市,6300300,大安區,芳和里,1339629
2,63000,臺北市,6300300,大安區,黎和里,1250393
2,63000,臺北市,6300300,大安區,和安里,1691544
2,63000,臺北市,6300300,大安區,黎孝里,1837745
2,63000,臺北市,6300300,大安區,龍安里,1717760
2,63000,臺北市,6300300,大安區,大學里,1993111
2,63000,臺北市,6300300,大安區,虎嘯里,1391640
2,63000,臺北市,6300300,大安區,民炤里,2645517
2,63000,臺北市,6300400,中山區,龍洲里,991223
2,63000,臺北市,6300400,中山區,新庄里,5262
2,63000,臺北市,6300400,中山區,康樂里,--
2,63000,臺北市,6300400,中山區,中原里,--
2,63000,臺北市,6300400,中山區,永安里,1685
2,63000,臺北市,6300400,中山區,金泰里,--
2,63000,臺北市,6300400,中山區,北安里,--
2,63000,臺北市,6300400,中山區,成功里,2287
2,63000,臺北市,6300400,中山區,正守里,6874
2,63000,臺北市,6300400,中山區,大直里,6621
2,63000,臺北市,6300400,中山區,正義里,4039
2,63000,臺北市,6300400,中山區,中庄里,19532
