,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
0,松山區,自強里,1463044,3491896,3723146,3581703
1,松山區,龍田里,1225510,2592077,2825239,2739252
2,松山區,復勢里,2858397,2828139,2997644,3031601
3,松山區,中華里,1602938,1557914,1730038,1739430
4,松山區,東勢里,1991162,1934795,2092437,2124598
5,松山區,吉祥里,4141504,4077472,4315008,4051379
6,松山區,東光里,3244331,3203579,3477216,3302602
7,松山區,莊敬里,1038663,1030084,1112195,1133303
8,松山區,新益里,1352215,1282714,1358016,1396758
9,松山區,鵬程里,2260345,2141668,2303421,2246673
10,松山區,美仁里,1377660,1399440,1482633,1465275
11,松山區,福成里,1237680,1141358,1199606,1210924
12,松山區,中崙里,1590970,1568288,1698625,1817979
13,松山區,新東里,1630489,365353,1675812,1674693
14,松山區,安平里,3708039,3468583,3989296,3937693
15,松山區,松基里,2339836,--,2481985,2475707
16,松山區,敦化里,--,--,--,3980
17,松山區,復源里,--,3473,2440,--
18,松山區,東昌里,--,--,--,--
19,松山區,民有里,--,--,8349,1585
20,松山區,精忠里,7,--,--,--
21,松山區,富錦里,--,--,--,4900
22,松山區,東榮里,11,--,9240,36108
23,松山區,復建里,1984,6845,1895,4051
24,松山區,吉仁里,4476,6884,3925,3495
25,松山區,民福里,114488,--,111160,90139
26,松山區,富泰里,1889339,5160,1891612,1828824
27,松山區,復盛里,2851565,2700278,2870928,2728991
28,松山區,三民里,1330638,--,1326319,1274770
29,松山區,介壽里,1637304,2037,1647241,1583467
30,松山區,中正里,1914729,2573,1964245,1976127
31,松山區,新聚里,4024222,3720130,4037468,3925156
32,松山區,慈祐里,3531101,31397,3567399,3381607
33,信義區,三張里,4266787,4191473,4430662,4324782
34,信義區,六合里,2800671,2781509,3071828,2901685
35,信義區,三犁里,2841420,2791413,2963169,2973596
36,信義區,惠安里,2466223,2455706,2611986,2518689
37,信義區,泰和里,2642596,2681028,2900170,2903035
38,信義區,景新里,3149990,3119646,3277254,3248209
39,信義區,中興里,1109425,1204801,1365947,1293591
40,信義區,西村里,1509652,1459378,1566485,1528871
41,信義區,正和里,1931791,1908412,2056592,2000068
42,信義區,四育里,2369568,2275039,2342452,2250480
43,信義區,雙和里,818995,832401,872328,861880
44,信義區,景聯里,414696,406770,435939,445815
45,信義區,興隆里,424020,433548,453070,432765
46,信義區,永吉里,2086522,322351,2009416,1843975
47,信義區,景勤里,4764,8337,5133,4615
48,信義區,黎安里,4119,3594,4069,3297
49,信義區,五全里,468,451,40,425
50,信義區,國業里,25,--,--,3286
51,信義區,松隆里,--,--,--,849
52,信義區,松光里,26,--,--,--
53,信義區,中坡里,--,--,4051,--
54,信義區,中行里,--,6720,8120,6470
55,信義區,大道里,--,--,--,--
56,信義區,大仁里,18,--,--,--
57,信義區,嘉興里,1,--,32160,--
58,信義區,黎順里,10,2040,15880,--
59,信義區,長春里,--,--,--,10080
60,信義區,四維里,--,--,--,7366
61,信義區,永春里,--,--,--,19880
62,信義區,新仁里,--,23597,6709,57507
63,信義區,興雅里,119,--,2911,--
64,信義區,廣居里,--,--,11376,--
65,信義區,安康里,444,7964,24432,12605
66,信義區,黎忠里,--,16240,--,15
67,信義區,六藝里,573,553,650,7834
68,信義區,富台里,687,685,772,711
69,信義區,黎平里,119,79,71,82
70,信義區,敦厚里,1817,1673,365,7267
71,信義區,松友里,993,17734,1282,2000
72,信義區,雅祥里,2071813,1871258,2053050,1877711
73,信義區,五常里,1623909,1557558,1581316,1448961
74,大安區,仁愛里,40,4230064,4415777,4260135
75,大安區,德安里,6706,2944144,3104268,2965971
76,大安區,群英里,--,2416874,2611883,2510505
77,大安區,仁慈里,10210,2490277,2658568,2596866
78,大安區,群賢里,--,2289910,2393708,2368316
79,大安區,龍雲里,--,1858217,1933390,1866659
80,大安區,住安里,--,1749298,1904431,1816067
81,大安區,大學里,3134110,2955735,3388903,3244313
82,大安區,龍坡里,1268874,1250089,1300836,1257662
83,大安區,正聲里,2651396,2559830,2663343,2726578
84,大安區,黎孝里,2973702,2913306,3137535,3047715
85,大安區,民炤里,4022871,3945678,4307709,4271787
86,大安區,光信里,2140126,2131010,2300791,2305753
87,大安區,芳和里,2108007,2076331,2221072,2205843
88,大安區,虎嘯里,1977005,2084186,2194200,2266021
89,大安區,黎元里,1337448,1292800,1423541,1406527
90,大安區,和安里,2711114,2597398,2753549,2675978
91,大安區,黎和里,1834106,1786560,1943167,1780088
92,大安區,學府里,374869,391041,441952,403521
93,大安區,華聲里,2366718,2363300,2403913,2398910
94,大安區,錦泰里,195400,56726,21861,--
95,大安區,龍安里,2475974,2424418,2609205,2594558
96,大安區,古風里,588203,574710,630593,622145
97,大安區,永康里,1619702,1558546,1665100,1709939
98,大安區,古莊里,43640,43427,57292,35128
99,大安區,車層里,8010,42532,80380,40728
100,大安區,誠安里,949468,951239,990854,984035
101,大安區,光武里,3610,18004,7234,50596
102,大安區,民輝里,129389,104804,125208,112358
103,大安區,建倫里,--,3684,3552,16436
104,大安區,龍生里,--,4031,3860,3341
105,大安區,臥龍里,56,2645,6692,47597
106,大安區,龍陣里,--,--,--,6865
107,大安區,通化里,3508,3693,4092,29912
108,大安區,全安里,194,3757,7561,42994
109,大安區,義安里,--,--,24820,6760
110,大安區,通安里,--,21833,3557,12086
111,大安區,臨江里,--,--,--,--
112,大安區,法治里,77,7283,--,28
113,大安區,錦華里,1121,9032,1027,1
114,大安區,龍圖里,219,13160,853,--
115,大安區,新龍里,--,--,--,--
116,大安區,昌隆里,--,1494,--,--
117,大安區,義村里,40,40,5609,--
118,大安區,龍泉里,67,--,--,3518
119,大安區,龍淵里,--,--,--,--
120,大安區,龍門里,--,--,--,--
121,大安區,敦安里,--,--,--,11282
122,大安區,敦煌里,--,10840,--,1298
123,大安區,建安里,123,4720,33010,9825
124,大安區,福住里,433,761,806,502
125,大安區,光明里,1523342,1354848,1461151,1506729
126,大安區,錦安里,888432,831351,922250,901070
127,中山區,中央里,1682095,--,1804106,1821393
128,中山區,力行里,2177655,16672,2262566,2361340
129,中山區,復華里,2625958,791,2935214,2923746
130,中山區,興亞里,3367674,3273277,3639740,3568427
131,中山區,埤頭里,651423,658620,724036,761106
132,中山區,圓山里,2093038,2101421,2174080,2220033
133,中山區,大佳里,154193,178467,155419,183471
134,中山區,恆安里,4237,9791,8967,20649
135,中山區,行孝里,1658024,804,1648637,1655588
136,中山區,朱園里,3089019,3181084,3477692,3362796
137,中山區,中吉里,2056,2618,41325,30447
138,中山區,朱崙里,2383,10716,12581,3095
139,中山區,中原里,--,--,--,--
140,中山區,晴光里,359,9126,12253,10675
141,中山區,劍潭里,--,6124,4921,567
142,中山區,大直里,--,15841,7942,4623
143,中山區,成功里,--,4343,5788,--
144,中山區,永安里,--,--,--,2697
145,中山區,康樂里,--,8600,--,6782
146,中山區,金泰里,--,--,--,10854
147,中山區,北安里,--,--,--,--
148,中山區,中庄里,3911,25593,23022,113914
149,中山區,正守里,6751,6604,6354,6895
