,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,用電量_2015
0,松山區,精忠里,1002883,126,987114,1022204,1008954
1,松山區,民有里,2935636,--,2724746,2860800,2782233
2,松山區,中正里,1428593,1461211,1465259,1542955,1516509
3,松山區,中華里,713341,89,697682,719738,712531
4,松山區,三民里,896999,352,852848,866270,835908
5,松山區,復建里,1056529,1045958,929968,963873,997152
6,松山區,民福里,1616578,--,1548717,1561707,1509459
7,松山區,東昌里,556020,--,538260,552946,535503
8,松山區,東榮里,1932465,--,1821530,1864136,1794449
9,松山區,莊敬里,490024,40,474773,486460,472451
10,松山區,復盛里,586,12136,12877,6662,8691
11,松山區,慈祐里,16881,60320,55116,63968,55247
12,松山區,吉祥里,413,5,19318,30796,35246
13,松山區,復勢里,764,740,785,800,886
14,松山區,福成里,--,--,--,1409,937
15,松山區,新聚里,--,--,--,2957,53150
16,松山區,美仁里,--,--,--,--,--
17,松山區,安平里,--,36,--,5680,14890
18,松山區,鵬程里,--,--,--,--,--
19,松山區,自強里,--,--,--,--,--
20,松山區,東勢里,--,57,7720,7400,--
21,松山區,東光里,--,13,--,--,--
22,松山區,富泰里,--,--,--,4457,17
23,松山區,介壽里,--,--,--,--,596
24,松山區,松基里,89,--,6768,18090,17849
25,松山區,中崙里,8029,4861,4760,9555,9585
26,松山區,新東里,221506,7,214961,206410,203503
27,松山區,龍田里,526302,--,516105,536273,510773
28,松山區,新益里,322749,--,291645,290627,279311
29,松山區,富錦里,1194283,--,1130836,,1079717
30,松山區,復源里,729016,718693,692209,734058,686540
31,松山區,吉仁里,977099,963873,909727,920445,895775
32,松山區,敦化里,1687757,1650688,1606650,1617044,1652269
33,信義區,新仁里,13148,1188247,1248733,1263616,1018643
34,信義區,安康里,2944249,3909615,3878119,4027250,4008264
35,信義區,興隆里,--,624844,638490,650877,595025
36,信義區,中行里,1628690,634090,581049,604018,1566303
37,信義區,松光里,1202609,1185125,1148235,1152283,1163506
38,信義區,永春里,1261488,1271462,1183721,1202626,1206410
39,信義區,國業里,1688795,1695774,1598015,1608728,1607978
40,信義區,黎順里,1139405,1166755,1086820,1149223,1169211
41,信義區,五全里,1146376,1188913,1059815,1147937,1076422
42,信義區,松隆里,473193,477065,449102,,475607
43,信義區,長春里,1141386,1180735,1058848,1201615,1158177
44,信義區,興雅里,1499368,--,1512102,1539135,1454129
45,信義區,中坡里,973881,447887,410909,422863,963964
46,信義區,四維里,1112205,1115651,1080168,1105278,1053927
47,信義區,景勤里,942814,963926,901707,933756,907481
48,信義區,大道里,1487929,1533880,1421923,1479641,1443847
49,信義區,富台里,1046994,1075410,1030663,1071538,1005653
50,信義區,黎安里,345389,374437,352221,370260,217010
51,信義區,敦厚里,1222190,374,1178177,1272063,1219647
52,信義區,廣居里,1921017,1866898,1792012,1811602,1785450
53,信義區,松友里,1382153,1396384,1281431,1315803,1270802
54,信義區,六藝里,802510,483034,725806,765286,756860
55,信義區,嘉興里,842114,887886,836248,837466,813257
56,信義區,大仁里,906070,739891,719485,740667,832620
57,信義區,雙和里,1242402,1261398,1155193,1202796,1188850
58,信義區,三犁里,10840,10360,16280,16880,20240
59,信義區,正和里,--,--,--,2421,--
60,信義區,黎平里,1779594,1771953,1604277,1688328,1869365
61,信義區,永吉里,11180,3688,34741,38470,15652
62,信義區,黎忠里,1099517,1115648,1015155,1047501,1052481
63,信義區,泰和里,1272,1456,1141,1137,1221
64,信義區,三張里,960,4102,960,1000,7040
65,信義區,景新里,257,271,265,13404,8279
66,信義區,六合里,--,--,1958,3815,--
67,信義區,雅祥里,--,--,1190,1195,--
68,信義區,西村里,--,--,--,--,--
69,信義區,惠安里,1486,1513,2697,2600,995
70,信義區,四育里,6440,5170,5059,5562,13669
71,信義區,五常里,8431,--,10887,7996,25187
72,信義區,景聯里,1023706,1031097,959411,1009681,1006168
73,信義區,中興里,524755,583067,604467,627861,613737
74,大安區,民輝里,320417,2493465,2454204,2506283,2424211
75,大安區,敦安里,--,1910734,1927480,1998863,1904071
76,大安區,敦煌里,--,1781624,1701196,1753367,1706458
77,大安區,義村里,--,1506161,1461660,1460584,1407718
78,大安區,光信里,491,1062491,1040692,1037222,1028512
79,大安區,昌隆里,16314,895879,906554,913618,873011
80,大安區,誠安里,82121,757942,756529,768404,761803
81,大安區,通化里,1429579,1714827,1671874,1710082,1738992
82,大安區,通安里,1305377,1427064,1389378,1432568,1447775
83,大安區,義安里,1646305,1783922,1769021,1828985,1799416
84,大安區,仁愛里,9630,10688,21768,36912,21031
85,大安區,建倫里,2353277,2350980,2188379,2275442,2385777
86,大安區,龍生里,1468871,1444710,1446021,1427330,1449350
87,大安區,福住里,1391190,1387531,1400359,1388180,1440166
88,大安區,大學里,7055,7324,21331,23702,5691
89,大安區,龍門里,1144495,1119044,1092288,1131128,1137134
90,大安區,錦華里,1116894,1143439,1100170,1121741,1120994
91,大安區,民炤里,2536,34498,36700,44482,40579
92,大安區,學府里,460446,430251,422810,394416,391114
93,大安區,車層里,2246992,2219625,2138900,2127669,2066128
94,大安區,新龍里,1380419,1339666,1338902,,1312391
95,大安區,臥龍里,577493,579175,538745,574552,559348
96,大安區,古風里,775661,766818,713126,715095,734247
97,大安區,法治里,1299978,1242131,1208763,1265481,1212696
98,大安區,全安里,1460691,1434915,1381576,1412658,1420571
99,大安區,龍泉里,1228429,1267741,1148878,1207690,1234858
100,大安區,黎元里,297978,298023,284649,290938,321976
101,大安區,錦安里,842030,869664,856601,867907,866064
102,大安區,古莊里,2093433,2090989,1942906,2019652,2041082
103,大安區,仁慈里,3826,2529,2495,8875,3758
104,大安區,錦泰里,676889,676028,671699,699763,602915
105,大安區,住安里,409350,411632,427149,436511,481216
106,大安區,黎和里,3489,4124,4822,4469,3583
107,大安區,群賢里,449464,481797,474456,451223,457425
108,大安區,光明里,868,809,1018,2457,18407
109,大安區,群英里,--,49,4396,1797,2389
110,大安區,和安里,--,101,1649,1622,--
111,大安區,德安里,--,19,6880,18360,32148
112,大安區,龍安里,--,12047,--,--,--
113,大安區,正聲里,--,7840,10200,27776,36600
114,大安區,華聲里,--,--,3680,--,2555
115,大安區,龍坡里,33,80,80,80,748
116,大安區,黎孝里,468,1528,4041,5244,1747
117,大安區,芳和里,32866,2131,2158,6842,2556
118,大安區,永康里,36983,68982,75758,83420,86029
119,大安區,虎嘯里,4053,5485,31485,27594,22562
120,大安區,龍雲里,394419,379585,370948,353756,350281
121,大安區,龍淵里,1840553,1828091,1734916,1799618,1769761
122,大安區,龍圖里,1783721,1802771,1777536,1751007,1808682
123,大安區,臨江里,1170471,1158052,1112016,1112642,1124495
124,大安區,光武里,2716372,2681566,2504705,2572571,2590644
125,大安區,龍陣里,1015891,1009352,995557,999132,985662
126,大安區,建安里,1966200,2011949,1914234,1954580,1935740
127,中山區,永安里,863959,2462703,2022796,2070655,2381037
128,中山區,成功里,1770686,2719183,2668511,2812591,3028717
129,中山區,北安里,--,458948,192087,204126,539536
130,中山區,中吉里,1645278,--,1559423,1633658,1676838
131,中山區,晴光里,1926324,2226989,1896158,2120766,2092074
132,中山區,民安里,957064,985236,971010,1032118,1017742
133,中山區,新庄里,1224372,1302999,1107244,1201924,1206555
134,中山區,朱崙里,1030303,1026459,996847,,1014065
135,中山區,力行里,863785,855644,859594,866638,869721
136,中山區,中庄里,1427432,1593470,1370824,1515118,1649322
137,中山區,朱馥里,1020881,351,1016597,1037494,1011354
138,中山區,江寧里,977343,--,914402,958620,905870
139,中山區,江山里,1239192,33,1192612,1231708,1213052
140,中山區,大佳里,121382,2182,121966,126842,135606
141,中山區,中央里,173867,1515,164681,177470,190747
142,中山區,新福里,738725,802653,692938,801380,805960
143,中山區,聚盛里,208725,249453,226895,232321,226942
144,中山區,正得里,16091,14526,3612,4869,26769
145,中山區,下埤里,1238,--,11744,13741,18974
146,中山區,康樂里,1059778,1128257,1030727,1132698,1167050
147,中山區,圓山里,4080,1061,3839,1975,16462
148,中山區,新喜里,--,72,--,4000,--
149,中山區,聚葉里,--,569,--,5640,6120
150,中山區,新生里,--,--,--,2373,3146
151,中山區,行仁里,--,--,8778,19214,19316
152,中山區,行孝里,--,--,--,--,10
153,中山區,龍洲里,--,--,--,733,12575
154,中山區,朱園里,--,6067,17530,17582,17360
155,中山區,復華里,--,--,6720,40800,18273
156,中山區,興亞里,308,842,7140,15363,4983
157,中山區,集英里,42405,41162,56089,57843,11110
158,中山區,行政里,13731,12744,27940,29537,96824
159,中山區,埤頭里,496448,623944,562405,553593,529439
160,中山區,中山里,1920113,1961497,1915235,1980433,1991454
161,中山區,松江里,908539,1057020,912266,1058856,1005125
162,中山區,中原里,1516251,586,1425584,1458136,1525606
163,中山區,正義里,2116614,2154665,2183083,2212474,2260168
164,中山區,正守里,864378,904034,904194,914695,914074
165,中山區,恆安里,1823320,1985568,1707900,1888430,1921470
166,中山區,劍潭里,929882,896844,818140,828491,855187
167,中山區,金泰里,2568284,2603028,2597089,2653929,2686725
168,中山區,大直里,2218648,2160165,1552186,1592372,2345811
169,中正區,螢圃里,478844,1018349,1021578,1046175,1022298
170,中正區,網溪里,185488,693951,694105,710863,676496
171,中正區,忠勤里,1182713,1182510,1161088,1188720,1185056
172,中正區,黎明里,1695267,1784601,1625298,,1625007
173,中正區,愛國里,675580,708557,623157,649745,621377
174,中正區,文祥里,1529163,1532468,1500311,1505299,1526589
175,中正區,幸市里,3930,31344,36352,37018,35630
176,中正區,梅花里,1551740,1577699,1539979,1543531,1379692
177,中正區,螢雪里,958780,980515,990254,1006404,990294
178,中正區,頂東里,1568584,1594812,1468609,1529243,1563282
179,中正區,三愛里,2166873,2206470,2326605,2336922,2330624
180,中正區,河堤里,1173504,1184541,1110246,1150778,1214615
181,中正區,文盛里,--,--,--,2431,4280
182,中正區,東門里,--,34,--,--,569
183,中正區,永功里,2020,2700,2573,2558,3612
184,中正區,永昌里,1583,1222,1104,1023,1421
185,中正區,龍興里,--,1,--,--,28892
186,中正區,林興里,607,526,243,1990,11826
187,中正區,水源里,--,18,--,3973,4762
188,中正區,富水里,--,218,--,--,46
189,中正區,幸福里,711,465,2691,2785,1392
190,中正區,龍光里,--,--,--,--,--
191,中正區,龍福里,--,--,--,--,7240
192,中正區,文北里,423364,439212,408662,435662,416169
193,中正區,建國里,176625,182135,160828,167173,168009
194,中正區,板溪里,139337,139021,131407,136921,148956
195,中正區,南福里,14445,15580,18412,17742,52370
196,中正區,光復里,113873,131417,126237,129058,144095
197,中正區,廈安里,643554,643560,620779,649801,690826
198,中正區,南門里,588610,628818,566861,614051,628997
199,中正區,新營里,1841375,1861853,1898762,1929308,1773606
200,大同區,建功里,478713,500925,487593,509020,480986
201,大同區,光能里,968845,991659,962163,965511,943571
202,大同區,保安里,812224,831006,778044,847630,833621
203,大同區,老師里,966588,1086570,1023359,1113577,1019858
204,大同區,雙連里,1548856,1631632,1513624,1634200,1505562
205,大同區,玉泉里,516272,519090,520682,519808,533162
206,大同區,民權里,1266133,1348496,1286098,1463660,1393608
207,大同區,國慶里,797342,814800,680280,747399,685929
208,大同區,星明里,1073604,1105653,1135972,,1150735
209,大同區,永樂里,1416209,1466605,1444651,1470009,1501814
210,大同區,至聖里,986695,1007603,980665,1055376,995782
211,大同區,南芳里,--,19,--,--,83
212,大同區,揚雅里,--,38,--,--,251
213,大同區,斯文里,--,32,--,--,--
214,大同區,建泰里,376,121,6520,7320,3840
215,大同區,隆和里,--,--,4576,3914,10196
216,大同區,蓬萊里,--,--,--,--,9138
217,大同區,景星里,382,798,676,761,46090
218,大同區,大有里,14092,28960,20592,21788,19891
219,大同區,延平里,1856,970,963,2889,7303
220,大同區,鄰江里,1053222,1271343,1130783,1203368,1087402
221,大同區,國順里,15455,16251,15446,17263,13992
222,大同區,建明里,12040,11560,11842,30069,40519
223,大同區,重慶里,1226733,1305437,1225370,1376102,1238829
224,大同區,朝陽里,1314581,1340992,1323627,1312605,1278941
225,萬華區,新和里,1421872,1362655,1334825,1369628,1522067
226,萬華區,日善里,721,719,658,694,1302
227,萬華區,頂碩里,1510021,1532891,1512391,1542753,1486206
228,萬華區,西門里,779963,881321,919744,940836,898464
229,萬華區,萬壽里,1059709,1066512,1111612,1192422,1125726
230,萬華區,新忠里,585188,543073,600516,624529,635322
231,萬華區,柳鄉里,660189,678851,633033,667751,663508
232,萬華區,華江里,1753877,1765181,1614066,1690188,1661944
233,萬華區,雙園里,866903,907694,902886,915566,898860
234,萬華區,富民里,149329,148521,146460,155466,168408
235,萬華區,綠堤里,838287,842213,778340,810064,820647
