,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
0,松山區,復盛里,590,17699,8950,11176
1,松山區,復勢里,1323,1338,1435,1349
2,松山區,福成里,--,--,--,1349
3,松山區,新聚里,10,--,3978,--
4,松山區,美仁里,11,--,--,--
5,松山區,富泰里,32,--,2993,--
6,松山區,介壽里,--,--,--,1126
7,松山區,東光里,--,3080,--,--
8,松山區,東勢里,--,5676,11560,--
9,松山區,安平里,--,21720,--,11060
10,松山區,鵬程里,19,--,--,243
11,松山區,自強里,--,--,--,--
12,松山區,吉祥里,576,2640,32148,33327
13,松山區,松基里,1399,--,6492,7579
14,松山區,中崙里,20143,7175,14377,11186
15,松山區,慈祐里,39859,76519,91054,77743
16,松山區,復源里,1129101,1075068,1146179,1027108
17,松山區,新東里,313296,--,313115,289950
18,松山區,復建里,1659070,1553933,1568826,1486759
19,松山區,新益里,464023,--,436347,382761
20,松山區,敦化里,2688300,2510931,2623719,2439910
21,松山區,莊敬里,720841,40,708608,644594
22,松山區,龍田里,765572,--,783129,698225
23,松山區,東昌里,824707,--,806031,723017
24,松山區,中正里,2379661,2343448,2499576,2319365
25,松山區,中華里,1109442,--,1075286,958362
26,松山區,精忠里,1476049,228,1436336,1329160
27,松山區,吉仁里,1540289,1434280,1471266,1372649
28,松山區,三民里,1303511,293,1234227,1128747
29,松山區,富錦里,1781711,--,1674752,1493276
30,松山區,民福里,2302802,--,2207538,2008752
31,松山區,東榮里,2730318,40,2649658,2408868
32,松山區,民有里,4211793,--,4100935,3579798
33,信義區,新仁里,48865,1745584,2032562,1477477
34,信義區,興隆里,42,939939,1020842,899550
35,信義區,安康里,4883925,5921601,6482103,6090265
36,信義區,黎忠里,1591128,1450208,1544169,1432574
37,信義區,雙和里,1757271,1587772,1694444,1565709
38,信義區,國業里,2468992,2312498,2483709,2368744
39,信義區,景聯里,1507609,1382794,1472271,1378745
40,信義區,黎安里,463795,464172,485535,276887
41,信義區,永吉里,13663,4764,45831,20691
42,信義區,正和里,--,--,--,--
43,信義區,五常里,12105,9680,17206,23300
44,信義區,惠安里,2353,3274,3887,1364
45,信義區,雅祥里,3281,--,2498,21
46,信義區,六合里,42,1919,3924,--
47,信義區,西村里,--,--,--,136
48,信義區,泰和里,1271,1251,1091,1279
49,信義區,景新里,274,239,12715,6868
50,信義區,三張里,925,5400,880,880
51,信義區,三犁里,18760,16760,17440,20800
52,信義區,四育里,6560,5923,6780,7110
53,信義區,松隆里,660309,547932,581641,602609
54,信義區,嘉興里,1223179,1190500,1228391,1093523
55,信義區,黎順里,1724713,1566368,1693590,1616260
56,信義區,中興里,821143,870471,976035,903517
57,信義區,景勤里,1391293,1256051,1369727,1241049
58,信義區,中坡里,1346818,559829,612146,1274072
59,信義區,大仁里,1257716,985324,1128359,1169018
60,信義區,永春里,1799880,1632423,1781123,1561849
61,信義區,松友里,1973947,1792702,1905582,1745258
62,信義區,廣居里,2927668,2750448,2917427,2692952
63,信義區,中行里,2234623,772066,852739,1975217
64,信義區,六藝里,1105561,576695,1065247,960162
65,信義區,黎平里,2614282,2344900,2462105,2534071
66,信義區,松光里,1868425,1688344,1816937,1713275
67,信義區,大道里,2152799,1964777,2129035,1902966
68,信義區,五全里,1697188,1500427,1676109,1466465
69,信義區,長春里,1602863,1465760,1649834,1488644
70,信義區,富台里,1561947,1455868,1646226,1442066
71,信義區,四維里,1642232,1480635,1662852,1439668
72,信義區,敦厚里,1796019,912,1781904,1638809
73,信義區,興雅里,2256836,1045,2285310,1990153
74,大安區,民輝里,519029,3725184,4096137,3774798
75,大安區,敦安里,--,2876833,3163720,2904486
76,大安區,敦煌里,--,2541381,2776144,2521150
77,大安區,義村里,--,2216522,2385425,2147661
78,大安區,光信里,1386,1543212,1623417,1532601
79,大安區,昌隆里,30626,1327883,1450480,1321644
80,大安區,誠安里,134585,1151707,1251503,1188550
81,大安區,通化里,2124845,2402446,2685706,2544693
82,大安區,義安里,2654322,2643961,2976515,2704063
83,大安區,通安里,2025295,2072581,2349135,2183717
84,大安區,仁愛里,19813,24010,57897,19256
85,大安區,法治里,1876763,1730345,1928247,1785383
86,大安區,仁慈里,5229,3247,2643,3400
87,大安區,龍雲里,417772,401633,414086,381317
88,大安區,大學里,9101,7592,28854,6522
89,大安區,黎孝里,637,2428,4731,2074
90,大安區,華聲里,1502,3424,--,4032
91,大安區,正聲里,17,21440,30116,9360
92,大安區,群英里,--,--,3355,2281
93,大安區,和安里,--,40,1647,--
94,大安區,德安里,--,--,15000,32039
95,大安區,龍安里,--,18328,--,66
96,大安區,龍坡里,80,80,80,80
97,大安區,芳和里,46877,2614,8677,2805
98,大安區,黎和里,5504,4741,5310,4345
99,大安區,光明里,1992,1069,1393,23403
100,大安區,民炤里,37622,34616,47436,35506
101,大安區,虎嘯里,5011,14391,36750,21566
102,大安區,黎元里,444611,411515,430130,442431
103,大安區,臥龍里,917928,830179,917465,829130
104,大安區,學府里,632775,549326,550054,485263
105,大安區,古風里,1170088,1039007,1112538,1007611
