,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
0,松山區,自強里,1002772,2164497,2242606,2154771
1,松山區,龍田里,842499,1619568,1708845,1637790
2,松山區,松基里,1627865,--,1660305,1675869
3,松山區,吉祥里,2716615,2637449,2806203,2617048
4,松山區,新東里,1056623,255147,1018829,1023507
5,松山區,精忠里,9,--,--,23
6,松山區,東榮里,--,--,7000,26503
7,松山區,富錦里,4,--,--,4047
8,松山區,東昌里,--,--,--,--
9,松山區,民有里,709,--,7199,1235
10,松山區,敦化里,--,--,--,--
11,松山區,復源里,--,--,1911,--
12,松山區,復建里,2010,7329,1981,3519
13,松山區,吉仁里,3530,5137,2389,2537
14,松山區,民福里,77453,--,71120,56849
15,松山區,介壽里,1033343,1203,990422,968183
16,松山區,中正里,1273129,335,1231156,1300125
17,松山區,復盛里,1790124,1799050,1809249,1723428
18,松山區,三民里,824810,--,793770,774205
19,松山區,富泰里,1166401,5240,1116196,1060233
20,松山區,中華里,1201754,1103733,1175255,1132454
21,松山區,莊敬里,774222,700036,731950,716202
22,松山區,福成里,862400,807414,787311,749766
23,松山區,新益里,995611,862582,907363,873494
24,松山區,鵬程里,1512027,1387185,1446485,1389884
25,松山區,美仁里,1006970,950120,979710,917529
26,松山區,新聚里,2556018,2510421,2429103,2567847
27,松山區,東勢里,1479838,1321631,1397669,1356513
28,松山區,中崙里,1166819,1098479,1171506,1204834
29,松山區,慈祐里,2383124,32938,2251357,2161571
30,松山區,復勢里,2122086,1990554,2047569,1981231
31,松山區,東光里,2196807,2081557,2208532,2043100
32,松山區,安平里,2524126,2440915,2486078,2487755
33,信義區,四育里,1517252,1489422,1420328,1372020
34,信義區,五常里,990870,1025901,998574,975233
35,信義區,雅祥里,1224744,1253668,1223339,1188177
36,信義區,安康里,135,8039,21640,7632
37,信義區,敦厚里,762,883,322,5898
38,信義區,景勤里,3372,6629,3523,3263
39,信義區,黎平里,75,73,74,59
40,信義區,五全里,566,501,40,446
41,信義區,四維里,--,--,--,5052
42,信義區,永春里,--,--,--,15960
43,信義區,廣居里,--,--,10020,24
44,信義區,新仁里,--,23000,5623,37113
45,信義區,興雅里,127,--,1791,--
46,信義區,長春里,95,--,--,8920
47,信義區,國業里,--,--,--,2090
48,信義區,松隆里,--,--,--,377
49,信義區,松光里,--,--,--,--
50,信義區,中坡里,--,--,3518,--
51,信義區,中行里,--,5640,5760,4761
52,信義區,大道里,--,--,--,--
53,信義區,大仁里,--,--,--,--
54,信義區,黎忠里,--,13520,--,--
55,信義區,嘉興里,--,--,25880,--
56,信義區,黎順里,--,84,12920,--
57,信義區,富台里,725,753,765,806
58,信義區,六藝里,612,623,746,5227
59,信義區,黎安里,2987,2668,2595,1964
60,信義區,松友里,643,5446,879,1702
61,信義區,景聯里,290323,288575,282799,281453
62,信義區,興隆里,293825,281455,297201,283641
63,信義區,永吉里,1446207,286399,1318113,1184575
64,信義區,雙和里,598353,581871,612191,566008
65,信義區,中興里,808425,868027,926716,905351
66,信義區,西村里,1062034,972086,1014641,919806
67,信義區,惠安里,1780694,1696590,1729040,1628385
68,信義區,正和里,1356037,1271757,1308958,1252916
69,信義區,泰和里,1980362,1934466,1997063,1951113
70,信義區,六合里,2104080,1942036,2149963,2001752
71,信義區,三犁里,2029784,1864355,1981124,1951223
72,信義區,景新里,2210095,2075989,2099953,2014556
73,信義區,三張里,3002282,2734722,2846082,2709653
74,大安區,仁愛里,40,2965585,3005364,3002286
75,大安區,德安里,4530,1967519,1986082,1977832
76,大安區,仁慈里,8841,1688200,1738752,1728753
77,大安區,群英里,--,1496497,1561529,1543281
78,大安區,群賢里,--,1533249,1547736,1600536
