,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
0,松山區,自強里,1002772,2164497,2242606,2154771
1,松山區,自強里,1002772,2164497,2242606,--
2,松山區,自強里,1002772,2164497,--,2154771
3,松山區,自強里,1002772,2164497,--,--
4,松山區,自強里,1002772,--,2242606,2154771
5,松山區,自強里,1002772,--,2242606,--
6,松山區,自強里,1002772,--,--,2154771
7,松山區,自強里,1002772,--,--,--
8,松山區,自強里,--,2164497,2242606,2154771
9,松山區,自強里,--,2164497,2242606,--
10,松山區,自強里,--,2164497,--,2154771
11,松山區,自強里,--,2164497,--,--
12,松山區,自強里,--,--,2242606,2154771
13,松山區,自強里,--,--,2242606,--
14,松山區,自強里,--,--,--,2154771
15,松山區,自強里,--,--,--,--
16,松山區,龍田里,842499,1619568,1708845,1637790
17,松山區,龍田里,842499,1619568,1708845,698225
18,松山區,龍田里,842499,1619568,783129,1637790
19,松山區,龍田里,842499,1619568,783129,698225
20,松山區,龍田里,842499,--,1708845,1637790
21,松山區,龍田里,842499,--,1708845,698225
22,松山區,龍田里,842499,--,783129,1637790
23,松山區,龍田里,842499,--,783129,698225
24,松山區,龍田里,765572,1619568,1708845,1637790
25,松山區,龍田里,765572,1619568,1708845,698225
26,松山區,龍田里,765572,1619568,783129,1637790
27,松山區,龍田里,765572,1619568,783129,698225
28,松山區,龍田里,765572,--,1708845,1637790
29,松山區,龍田里,765572,--,1708845,698225
30,松山區,龍田里,765572,--,783129,1637790
31,松山區,龍田里,765572,--,783129,698225
32,松山區,松基里,1627865,--,1660305,1675869
33,松山區,松基里,1627865,--,1660305,7579
34,松山區,松基里,1627865,--,6492,1675869
35,松山區,松基里,1627865,--,6492,7579
36,松山區,松基里,1627865,--,1660305,1675869
37,松山區,松基里,1627865,--,1660305,7579
38,松山區,松基里,1627865,--,6492,1675869
39,松山區,松基里,1627865,--,6492,7579
40,松山區,松基里,1399,--,1660305,1675869
41,松山區,松基里,1399,--,1660305,7579
42,松山區,松基里,1399,--,6492,1675869
43,松山區,松基里,1399,--,6492,7579
44,松山區,松基里,1399,--,1660305,1675869
45,松山區,松基里,1399,--,1660305,7579
46,松山區,松基里,1399,--,6492,1675869
47,松山區,松基里,1399,--,6492,7579
48,松山區,吉祥里,2716615,2637449,2806203,2617048
49,松山區,吉祥里,2716615,2637449,2806203,33327
50,松山區,吉祥里,2716615,2637449,32148,2617048
51,松山區,吉祥里,2716615,2637449,32148,33327
52,松山區,吉祥里,2716615,2640,2806203,2617048
53,松山區,吉祥里,2716615,2640,2806203,33327
54,松山區,吉祥里,2716615,2640,32148,2617048
55,松山區,吉祥里,2716615,2640,32148,33327
56,松山區,吉祥里,576,2637449,2806203,2617048
57,松山區,吉祥里,576,2637449,2806203,33327
58,松山區,吉祥里,576,2637449,32148,2617048
59,松山區,吉祥里,576,2637449,32148,33327
60,松山區,吉祥里,576,2640,2806203,2617048
61,松山區,吉祥里,576,2640,2806203,33327
62,松山區,吉祥里,576,2640,32148,2617048
63,松山區,吉祥里,576,2640,32148,33327
64,松山區,新東里,1056623,255147,1018829,1023507
65,松山區,新東里,1056623,255147,1018829,289950
66,松山區,新東里,1056623,255147,313115,1023507
67,松山區,新東里,1056623,255147,313115,289950
68,松山區,新東里,1056623,--,1018829,1023507
69,松山區,新東里,1056623,--,1018829,289950
70,松山區,新東里,1056623,--,313115,1023507
71,松山區,新東里,1056623,--,313115,289950
72,松山區,新東里,313296,255147,1018829,1023507
73,松山區,新東里,313296,255147,1018829,289950
74,松山區,新東里,313296,255147,313115,1023507
75,松山區,新東里,313296,255147,313115,289950
76,松山區,新東里,313296,--,1018829,1023507
77,松山區,新東里,313296,--,1018829,289950
78,松山區,新東里,313296,--,313115,1023507
79,松山區,新東里,313296,--,313115,289950
80,松山區,精忠里,9,--,--,23
81,松山區,精忠里,9,--,--,1329160
82,松山區,精忠里,9,--,1436336,23
83,松山區,精忠里,9,--,1436336,1329160
84,松山區,精忠里,9,228,--,23
85,松山區,精忠里,9,228,--,1329160
86,松山區,精忠里,9,228,1436336,23
87,松山區,精忠里,9,228,1436336,1329160
88,松山區,精忠里,1476049,--,--,23
89,松山區,精忠里,1476049,--,--,1329160
90,松山區,精忠里,1476049,--,1436336,23
91,松山區,精忠里,1476049,--,1436336,1329160
92,松山區,精忠里,1476049,228,--,23
93,松山區,精忠里,1476049,228,--,1329160
94,松山區,精忠里,1476049,228,1436336,23
95,松山區,精忠里,1476049,228,1436336,1329160
96,松山區,東榮里,--,--,7000,26503
97,松山區,東榮里,--,--,7000,2408868
98,松山區,東榮里,--,--,2649658,26503
99,松山區,東榮里,--,--,2649658,2408868
100,松山區,東榮里,--,40,7000,26503
101,松山區,東榮里,--,40,7000,2408868
102,松山區,東榮里,--,40,2649658,26503
103,松山區,東榮里,--,40,2649658,2408868
104,松山區,東榮里,2730318,--,7000,26503
105,松山區,東榮里,2730318,--,7000,2408868
106,松山區,東榮里,2730318,--,2649658,26503
107,松山區,東榮里,2730318,--,2649658,2408868
108,松山區,東榮里,2730318,40,7000,26503
