year,district,village,total_2012
101,松山區,三民里,7153.00 
101,松山區,中正里,10833.00 
101,松山區,中崙里,4586.00 
101,松山區,中華里,6945.00 
101,松山區,介壽里,5027.00 
101,松山區,民有里,8913.00 
101,松山區,民福里,6540.00 
101,松山區,吉仁里,4469.00 
101,松山區,吉祥里,8755.00 
101,松山區,安平里,8681.00 
101,松山區,自強里,10183.00 
101,松山區,東光里,7493.00 
101,松山區,東昌里,2983.00 
101,松山區,東勢里,4808.00 
101,松山區,東榮里,8744.00 
101,松山區,松基里,3854.00 
101,松山區,美仁里,3731.00 
101,松山區,莊敬里,5725.00 
101,松山區,富泰里,4861.00 
101,松山區,富錦里,5398.00 
101,松山區,復建里,4830.00 
101,松山區,復盛里,6929.00 
101,松山區,復勢里,6716.00 
101,松山區,復源里,3654.00 
101,松山區,敦化里,7696.00 
101,松山區,慈祐里,7975.00 
101,松山區,新東里,5161.00 
101,松山區,新益里,4915.00 
101,松山區,新聚里,8339.00 
101,松山區,福成里,3043.00 
101,松山區,精忠里,4827.00 
101,松山區,龍田里,11284.00 
101,松山區,鵬程里,5854.00 
101,信義區,三張里,9401.00 
101,信義區,三犁里,5409.00 
101,信義區,大仁里,4288.00 
101,信義區,大道里,6385.00 
101,信義區,中行里,8390.00 
101,信義區,中坡里,4691.00 
101,信義區,中興里,3554.00 
101,信義區,五全里,5179.00 
101,信義區,五常里,3899.00 
101,信義區,六合里,7064.00 
101,信義區,六藝里,3991.00 
101,信義區,四育里,5840.00 
101,信義區,四維里,5485.00 
101,信義區,正和里,4892.00 
101,信義區,永吉里,4393.00 
101,信義區,永春里,5133.00 
101,信義區,安康里,10819.00 
101,信義區,西村里,6192.00 
101,信義區,松友里,7217.00 
101,信義區,松光里,5139.00 
101,信義區,松隆里,2457.00 
101,信義區,長春里,4274.00 
101,信義區,泰和里,8382.00 
101,信義區,國業里,8135.00 
101,信義區,富台里,4597.00 
101,信義區,惠安里,6777.00 
101,信義區,敦厚里,5421.00 
101,信義區,景勤里,4392.00 
101,信義區,景新里,5369.00 
101,信義區,景聯里,4879.00 
101,信義區,雅祥里,5065.00 
101,信義區,新仁里,3685.00 
101,信義區,嘉興里,3317.00 
101,信義區,廣居里,8380.00 
101,信義區,黎平里,7344.00 
101,信義區,黎安里,2245.00 
101,信義區,黎忠里,4952.00 
101,信義區,黎順里,4116.00 
101,信義區,興隆里,3035.00 
101,信義區,興雅里,6111.00 
101,信義區,雙和里,7440.00 
101,大安區,大學里,8833.00 
101,大安區,仁慈里,5825.00 
101,大安區,仁愛里,5653.00 
101,大安區,古風里,4452.00 
101,大安區,古莊里,7313.00 
101,大安區,正聲里,5207.00 
101,大安區,民炤里,8404.00 
101,大安區,民輝里,7043.00 
101,大安區,永康里,4099.00 
101,大安區,光明里,3915.00 
101,大安區,光武里,8249.00 
101,大安區,光信里,8265.00 
101,大安區,全安里,4660.00 
101,大安區,住安里,5607.00 
101,大安區,車層里,6703.00 
101,大安區,和安里,7448.00 
101,大安區,昌隆里,3172.00 
101,大安區,法治里,4599.00 
101,大安區,臥龍里,1996.00 
101,大安區,芳和里,6114.00 
101,大安區,虎嘯里,3767.00 
101,大安區,建安里,5296.00 
101,大安區,建倫里,6459.00 
101,大安區,通化里,6410.00 
101,大安區,通安里,5871.00 
101,大安區,敦安里,6718.00 
101,大安區,敦煌里,6437.00 
101,大安區,華聲里,4556.00 
101,大安區,新龍里,7268.00 
101,大安區,義安里,5695.00 
101,大安區,義村里,6183.00 
101,大安區,群英里,7455.00 
101,大安區,群賢里,6224.00 
101,大安區,誠安里,4368.00 
101,大安區,福住里,6842.00 
101,大安區,德安里,6073.00 
101,大安區,黎元里,5649.00 
101,大安區,黎孝里,7799.00 
101,大安區,黎和里,4930.00 
101,大安區,學府里,3155.00 
101,大安區,錦安里,6496.00 
101,大安區,錦泰里,4218.00 
101,大安區,錦華里,5957.00 
101,大安區,龍生里,7263.00 
101,大安區,龍安里,8129.00 
101,大安區,龍坡里,6381.00 
101,大安區,龍門里,4675.00 
101,大安區,龍泉里,5031.00 
101,大安區,龍陣里,3675.00 
101,大安區,龍淵里,10288.00 
101,大安區,龍雲里,5238.00 
101,大安區,龍圖里,7049.00 
101,大安區,臨江里,4314.00 
101,中山區,力行里,5897.00 
101,中山區,下埤里,7799.00 
101,中山區,大佳里,1143.00 
101,中山區,大直里,10340.00 
101,中山區,中山里,6142.00 
101,中山區,中央里,3872.00 
101,中山區,中吉里,5797.00 
101,中山區,中原里,5089.00 
101,中山區,中庄里,5129.00 
101,中山區,北安里,2846.00 
101,中山區,正守里,3209.00 
101,中山區,正得里,3682.00 
101,中山區,正義里,5250.00 
101,中山區,民安里,4847.00 
101,中山區,永安里,9926.00 
101,中山區,成功里,6912.00 
101,中山區,朱崙里,2942.00 
101,中山區,朱園里,4531.00 
101,中山區,朱馥里,6261.00 
101,中山區,江山里,7743.00 
101,中山區,江寧里,6970.00 
101,中山區,行仁里,8402.00 
101,中山區,行孝里,4179.00 
101,中山區,行政里,7685.00 
101,中山區,松江里,6828.00 
101,中山區,金泰里,7619.00 
101,中山區,恆安里,4449.00 
101,中山區,埤頭里,3607.00 
101,中山區,康樂里,2575.00 
101,中山區,復華里,4806.00 
101,中山區,晴光里,5234.00 
101,中山區,集英里,7343.00 
101,中山區,圓山里,4331.00 
101,中山區,新生里,5063.00 
101,中山區,新喜里,5516.00 
101,中山區,新福里,5196.00 
101,中山區,新庄里,5086.00 
101,中山區,聚盛里,4051.00 
101,中山區,聚葉里,3914.00 
101,中山區,劍潭里,3888.00 
101,中山區,興亞里,5331.00 
101,中山區,龍洲里,5229.00 
101,中正區,三愛里,8694.00 
101,中正區,文北里,5749.00 
101,中正區,文盛里,2735.00 
101,中正區,文祥里,8493.00 
101,中正區,水源里,3154.00 
101,中正區,永功里,6750.00 
101,中正區,永昌里,5182.00 
101,中正區,光復里,4162.00 
101,中正區,幸市里,4586.00 
101,中正區,幸福里,4937.00 
101,中正區,忠勤里,6984.00 
101,中正區,東門里,4573.00 
101,中正區,林興里,4707.00 
101,中正區,板溪里,3459.00 
101,中正區,河堤里,4507.00 
101,中正區,南門里,3126.00 
101,中正區,南福里,10954.00 
101,中正區,建國里,1629.00 
101,中正區,梅花里,3289.00 
101,中正區,頂東里,6117.00 
101,中正區,富水里,2856.00 
101,中正區,廈安里,4740.00 
101,中正區,愛國里,3775.00 
101,中正區,新營里,10280.00 
101,中正區,網溪里,5868.00 
101,中正區,黎明里,3644.00 
101,中正區,螢圃里,5602.00 
101,中正區,螢雪里,4574.00 
101,中正區,龍光里,3912.00 
101,中正區,龍福里,8520.00 
101,中正區,龍興里,4596.00 
101,大同區,大有里,5211.00 
101,大同區,民權里,6787.00 
101,大同區,永樂里,5750.00 
101,大同區,玉泉里,3264.00 
101,大同區,光能里,5417.00 
101,大同區,老師里,6139.00 
101,大同區,至聖里,8043.00 
101,大同區,延平里,4205.00 
101,大同區,保安里,4257.00 
101,大同區,南芳里,4120.00 
101,大同區,建功里,4882.00 
101,大同區,建明里,3573.00 
101,大同區,建泰里,3933.00 
101,大同區,星明里,6086.00 
101,大同區,重慶里,7168.00 
101,大同區,國順里,3123.00 
