年,行政區,里別,total_2013
102,松山區,三民里,7132.00 
102,松山區,中正里,10812.00 
102,松山區,中崙里,4549.00 
102,松山區,中華里,6919.00 
102,松山區,介壽里,4925.00 
102,松山區,民有里,8950.00 
102,松山區,民福里,6605.00 
102,松山區,吉仁里,4422.00 
102,松山區,吉祥里,8774.00 
102,松山區,安平里,8749.00 
102,松山區,自強里,10202.00 
102,松山區,東光里,7539.00 
102,松山區,東昌里,2951.00 
102,松山區,東勢里,4787.00 
102,松山區,東榮里,8671.00 
102,松山區,松基里,3862.00 
102,松山區,美仁里,3803.00 
102,松山區,莊敬里,5664.00 
102,松山區,富泰里,4909.00 
102,松山區,富錦里,5424.00 
102,松山區,復建里,4841.00 
102,松山區,復盛里,6858.00 
102,松山區,復勢里,6709.00 
102,松山區,復源里,3596.00 
102,松山區,敦化里,7645.00 
102,松山區,慈祐里,7975.00 
102,松山區,新東里,5139.00 
102,松山區,新益里,4907.00 
102,松山區,新聚里,8313.00 
102,松山區,福成里,3003.00 
102,松山區,精忠里,4676.00 
102,松山區,龍田里,11284.00 
102,松山區,鵬程里,5748.00 
102,信義區,三張里,9418.00 
102,信義區,三犁里,5415.00 
102,信義區,大仁里,4260.00 
102,信義區,大道里,6408.00 
102,信義區,中行里,8407.00 
102,信義區,中坡里,4731.00 
102,信義區,中興里,3537.00 
102,信義區,五全里,5204.00 
102,信義區,五常里,3927.00 
102,信義區,六合里,7095.00 
102,信義區,六藝里,3976.00 
102,信義區,四育里,5877.00 
102,信義區,四維里,5546.00 
102,信義區,正和里,4897.00 
102,信義區,永吉里,4369.00 
102,信義區,永春里,5133.00 
102,信義區,安康里,11003.00 
102,信義區,西村里,6124.00 
102,信義區,松友里,7251.00 
102,信義區,松光里,5177.00 
102,信義區,松隆里,2445.00 
102,信義區,長春里,4295.00 
102,信義區,泰和里,8393.00 
102,信義區,國業里,8139.00 
102,信義區,富台里,4557.00 
102,信義區,惠安里,6867.00 
102,信義區,敦厚里,5477.00 
102,信義區,景勤里,4375.00 
102,信義區,景新里,5365.00 
102,信義區,景聯里,4814.00 
102,信義區,雅祥里,5126.00 
102,信義區,新仁里,3682.00 
102,信義區,嘉興里,3339.00 
102,信義區,廣居里,8373.00 
102,信義區,黎平里,7457.00 
102,信義區,黎安里,2253.00 
102,信義區,黎忠里,4987.00 
102,信義區,黎順里,4172.00 
102,信義區,興隆里,3041.00 
102,信義區,興雅里,6126.00 
102,信義區,雙和里,7458.00 
102,大安區,大學里,8961.00 
102,大安區,仁慈里,5845.00 
102,大安區,仁愛里,5595.00 
102,大安區,古風里,4416.00 
102,大安區,古莊里,7298.00 
102,大安區,正聲里,5157.00 
102,大安區,民炤里,8472.00 
102,大安區,民輝里,7005.00 
102,大安區,永康里,4100.00 
102,大安區,光明里,3890.00 
102,大安區,光武里,8202.00 
102,大安區,光信里,8296.00 
102,大安區,全安里,4649.00 
102,大安區,住安里,5574.00 
102,大安區,車層里,6685.00 
102,大安區,和安里,7511.00 
102,大安區,昌隆里,3168.00 
102,大安區,法治里,4606.00 
102,大安區,臥龍里,1990.00 
102,大安區,芳和里,6114.00 
102,大安區,虎嘯里,3791.00 
102,大安區,建安里,5303.00 
102,大安區,建倫里,6470.00 
102,大安區,通化里,6440.00 
102,大安區,通安里,5915.00 
102,大安區,敦安里,6668.00 
102,大安區,敦煌里,6400.00 
102,大安區,華聲里,4556.00 
102,大安區,新龍里,7341.00 
102,大安區,義安里,5707.00 
102,大安區,義村里,6163.00 
102,大安區,群英里,7533.00 
102,大安區,群賢里,6180.00 
102,大安區,誠安里,4327.00 
102,大安區,福住里,6814.00 
102,大安區,德安里,6028.00 
102,大安區,黎元里,5751.00 
102,大安區,黎孝里,7810.00 
102,大安區,黎和里,4981.00 
102,大安區,學府里,2978.00 
102,大安區,錦安里,6495.00 
102,大安區,錦泰里,4080.00 
102,大安區,錦華里,6037.00 
102,大安區,龍生里,7236.00 
102,大安區,龍安里,8144.00 
102,大安區,龍坡里,6279.00 
102,大安區,龍門里,4666.00 
102,大安區,龍泉里,5091.00 
102,大安區,龍陣里,3672.00 
102,大安區,龍淵里,10400.00 
102,大安區,龍雲里,5164.00 
102,大安區,龍圖里,7102.00 
102,大安區,臨江里,4307.00 
