district,village,total_2014
松山區,莊敬里,5667.00 
松山區,東榮里,8568.00 
松山區,三民里,7149.00 
松山區,新益里,4866.00 
松山區,富錦里,5457.00 
松山區,新東里,5202.00 
松山區,富泰里,4938.00 
松山區,介壽里,4931.00 
松山區,精忠里,4722.00 
松山區,東光里,7532.00 
松山區,龍田里,11219.00 
松山區,東昌里,2927.00 
松山區,東勢里,4744.00 
松山區,中華里,6894.00 
松山區,民有里,8958.00 
松山區,民福里,6624.00 
松山區,慈祐里,8134.00 
松山區,安平里,8755.00 
松山區,鵬程里,5769.00 
松山區,自強里,10218.00 
松山區,吉祥里,8817.00 
松山區,新聚里,8379.00 
松山區,復盛里,6857.00 
松山區,中正里,10877.00 
松山區,中崙里,4563.00 
松山區,美仁里,3840.00 
松山區,吉仁里,4384.00 
松山區,敦化里,7615.00 
松山區,復源里,3561.00 
松山區,復建里,4896.00 
松山區,復勢里,6615.00 
松山區,福成里,2983.00 
松山區,松基里,3812.00 
信義區,西村里,6127.00 
信義區,正和里,4954.00 
信義區,興隆里,3021.00 
信義區,中興里,3546.00 
信義區,新仁里,3707.00 
信義區,興雅里,6056.00 
信義區,敦厚里,5443.00 
信義區,廣居里,8447.00 
信義區,安康里,11092.00 
信義區,六藝里,4018.00 
信義區,雅祥里,5202.00 
信義區,五常里,3946.00 
信義區,五全里,5276.00 
信義區,永吉里,4343.00 
信義區,長春里,4344.00 
信義區,四育里,5897.00 
信義區,四維里,5580.00 
信義區,永春里,5170.00 
信義區,富台里,4664.00 
信義區,國業里,8211.00 
信義區,松隆里,2379.00 
信義區,松友里,7267.00 
信義區,松光里,5121.00 
信義區,中坡里,4752.00 
信義區,中行里,8496.00 
信義區,大道里,6433.00 
信義區,大仁里,4214.00 
信義區,景新里,5452.00 
信義區,惠安里,6902.00 
信義區,三張里,9408.00 
信義區,三犁里,5438.00 
信義區,六合里,7189.00 
信義區,泰和里,8457.00 
信義區,景聯里,4831.00 
信義區,景勤里,4378.00 
信義區,雙和里,7532.00 
信義區,嘉興里,3353.00 
信義區,黎順里,4260.00 
信義區,黎平里,7427.00 
信義區,黎忠里,5073.00 
信義區,黎安里,2251.00 
大安區,德安里,6041.00 
大安區,仁慈里,5839.00 
大安區,和安里,7505.00 
大安區,民炤里,8467.00 
大安區,仁愛里,5603.00 
大安區,義村里,6179.00 
大安區,民輝里,7125.00 
大安區,昌隆里,3165.00 
大安區,誠安里,4366.00 
大安區,光武里,8155.00 
大安區,龍坡里,6225.00 
大安區,龍泉里,5183.00 
大安區,古風里,4423.00 
大安區,古莊里,7374.00 
大安區,龍安里,8404.00 
大安區,錦安里,6537.00 
大安區,福住里,6873.00 
大安區,永康里,4046.00 
大安區,光明里,3852.00 
大安區,錦泰里,3818.00 
大安區,錦華里,6088.00 
大安區,龍圖里,7116.00 
大安區,新龍里,7329.00 
大安區,龍陣里,3700.00 
大安區,龍雲里,5132.00 
大安區,龍生里,7295.00 
大安區,住安里,5533.00 
大安區,義安里,5679.00 
大安區,通化里,6477.00 
大安區,通安里,5901.00 
大安區,臨江里,4323.00 
大安區,法治里,4613.00 
大安區,全安里,4590.00 
大安區,群賢里,6191.00 
大安區,群英里,7429.00 
大安區,虎嘯里,3813.00 
大安區,臥龍里,1987.00 
大安區,龍淵里,10363.00 
大安區,龍門里,4676.00 
大安區,大學里,8954.00 
大安區,芳和里,6033.00 
大安區,黎元里,5734.00 
大安區,黎孝里,7897.00 
大安區,黎和里,5011.00 
大安區,建安里,5234.00 
大安區,建倫里,6497.00 
大安區,敦安里,6707.00 
大安區,正聲里,5201.00 
