,district,village,population_2011,population_2012,population_2013,population_2014,population_2015
0,松山區,三民里,7118.0,7153.0,7132.0,7149.0,7149.0
1,松山區,中正里,10787.0,10833.0,10812.0,10877.0,10877.0
2,松山區,中崙里,4594.0,4586.0,4549.0,4563.0,4563.0
3,松山區,中華里,6891.0,6945.0,6919.0,6894.0,6894.0
4,松山區,介壽里,5059.0,5027.0,4925.0,4931.0,4931.0
5,松山區,民有里,8733.0,8913.0,8950.0,8958.0,8958.0
6,松山區,民福里,6481.0,6540.0,6605.0,6624.0,6624.0
7,松山區,吉仁里,4468.0,4469.0,4422.0,4384.0,4384.0
8,松山區,吉祥里,8762.0,8755.0,8774.0,8817.0,8817.0
9,松山區,安平里,8427.0,8681.0,8749.0,8755.0,8755.0
10,松山區,自強里,10176.0,10183.0,10202.0,10218.0,10218.0
11,松山區,東光里,7457.0,7493.0,7539.0,7532.0,7532.0
12,松山區,東昌里,3019.0,2983.0,2951.0,2927.0,2927.0
13,松山區,東勢里,4790.0,4808.0,4787.0,4744.0,4744.0
14,松山區,東榮里,8843.0,8744.0,8671.0,8568.0,8568.0
15,松山區,松基里,3836.0,3854.0,3862.0,3812.0,3812.0
16,松山區,美仁里,3750.0,3731.0,3803.0,3840.0,3840.0
17,松山區,莊敬里,5705.0,5725.0,5664.0,5667.0,5667.0
18,松山區,富泰里,4832.0,4861.0,4909.0,4938.0,4938.0
19,松山區,富錦里,5390.0,5398.0,5424.0,5457.0,5457.0
20,松山區,復建里,4840.0,4830.0,4841.0,4896.0,4896.0
21,松山區,復盛里,6935.0,6929.0,6858.0,6857.0,6857.0
22,松山區,復勢里,6638.0,6716.0,6709.0,6615.0,6615.0
23,松山區,復源里,3600.0,3654.0,3596.0,3561.0,3561.0
24,松山區,敦化里,7727.0,7696.0,7645.0,7615.0,7615.0
25,松山區,慈祐里,7775.0,7975.0,7975.0,8134.0,8134.0
26,松山區,新東里,5108.0,5161.0,5139.0,5202.0,5202.0
27,松山區,新益里,4877.0,4915.0,4907.0,4866.0,4866.0
28,松山區,新聚里,8252.0,8339.0,8313.0,8379.0,8379.0
29,松山區,福成里,2985.0,3043.0,3003.0,2983.0,2983.0
30,松山區,精忠里,4883.0,4827.0,4676.0,4722.0,4722.0
31,松山區,龍田里,11327.0,11284.0,11284.0,11219.0,11219.0
32,松山區,鵬程里,5883.0,5854.0,5748.0,5769.0,5769.0
33,信義區,三張里,9339.0,9401.0,9418.0,9408.0,9408.0
34,信義區,三犁里,5381.0,5409.0,5415.0,5438.0,5438.0
35,信義區,大仁里,4273.0,4288.0,4260.0,4214.0,4214.0
36,信義區,大道里,6399.0,6385.0,6408.0,6433.0,6433.0
37,信義區,中行里,8343.0,8390.0,8407.0,8496.0,8496.0
38,信義區,中坡里,4684.0,4691.0,4731.0,4752.0,4752.0
39,信義區,中興里,3596.0,3554.0,3537.0,3546.0,3546.0
40,信義區,五全里,5140.0,5179.0,5204.0,5276.0,5276.0
41,信義區,五常里,3859.0,3899.0,3927.0,3946.0,3946.0
42,信義區,六合里,7087.0,7064.0,7095.0,7189.0,7189.0
43,信義區,六藝里,3959.0,3991.0,3976.0,4018.0,4018.0
44,信義區,四育里,5780.0,5840.0,5877.0,5897.0,5897.0
45,信義區,四維里,5477.0,5485.0,5546.0,5580.0,5580.0
46,信義區,正和里,4916.0,4892.0,4897.0,4954.0,4954.0
47,信義區,永吉里,4456.0,4393.0,4369.0,4343.0,4343.0
